period,value
May.2001,9.24075367634935
Jun.2001,9.48972410095447
Jul.2001,9.19606264068008
Ago.2001,9.4914844759539
Sep.2001,9.54805083979688
Oct.2001,9.71633245341955
Nov.2001,9.45120342828156
Dic.2001,8.86143941652261
Ene.2002,9.32425639872332
Feb.2002,9.9702139392871
Mar.2002,10.6223477792936
Abr.2002,10.678082578049
May.2002,10.1933981668066
Jun.2002,9.87862181779218
Jul.2002,8.94782842520902
Ago.2002,8.71637844869638
Sep.2002,8.51836368383211
Oct.2002,8.49166133180331
Nov.2002,8.46421747806739
Dic.2002,8.6537074537974
Ene.2003,9.26243701931362
Feb.2003,9.47857056262343
Mar.2003,10.0264023092906
Abr.2003,9.86677925342218
May.2003,9.78824630001495
Jun.2003,9.27288642810231
Jul.2003,8.8729939253262
Ago.2003,9.26371690150895
Sep.2003,8.96587259461714
Oct.2003,9.24626056918512
Nov.2003,8.88978798790679
Dic.2003,9.39878116218544
Ene.2004,10.100353765887
Feb.2004,10.487664595618
Mar.2004,10.6377279708553
Abr.2004,10.4950581725371
May.2004,9.9994984610699
Jun.2004,9.45796065345332
Jul.2004,8.5927910149408
Ago.2004,8.71341908047126
Sep.2004,8.89016259388307
Oct.2004,9.2607224390148
Nov.2004,8.8613635051071
Dic.2004,8.73987399390105
Ene.2005,10.0064396502886
Feb.2005,10.7701170982917
Mar.2005,11.3147109043693
Abr.2005,10.2136733015722
May.2005,10.1073879284208
Jun.2005,9.66302828869847
Jul.2005,9.29034512844944
Ago.2005,9.20726887371232
Sep.2005,9.2876273407602
Oct.2005,9.0758896403875
Nov.2005,8.60781319767261
Dic.2005,8.03339270876064
Ene.2006,8.87161215688212
Feb.2006,8.96943698410571
Mar.2006,9.01404580073066
Abr.2006,8.70533819205463
May.2006,8.84469945695303
Jun.2006,8.94099710113056
Jul.2006,8.51572775085648
Ago.2006,8.43648900494099
Sep.2006,8.48563021642574
Oct.2006,8.1200275482011
Nov.2006,7.94284029566829
Dic.2006,7.44274882856833
Ene.2007,8.96481588228953
Feb.2007,9.48704044450345
Mar.2007,9.75332465115758
Abr.2007,9.02035182289368
May.2007,8.53319660574813
Jun.2007,8.28994265640185
Jul.2007,7.93334588965785
Ago.2007,7.91673952834759
Sep.2007,8.16074302585218
Oct.2007,7.92801120246543
Nov.2007,7.92573789854004
Dic.2007,7.45222279917704
Ene.2008,8.09870543227856
Feb.2008,8.96212527506614
Mar.2008,9.2946032706598
Abr.2008,8.99613433452443
May.2008,8.10265756339537
Jun.2008,7.89995941625573
Jul.2008,8.11536694078335
Ago.2008,8.37863133257389
Sep.2008,8.52183800519496
Oct.2008,7.90591362756106
Nov.2008,7.66209292261667
Dic.2008,7.77951957680301
Ene.2009,8.81285911559523
Feb.2009,9.30624936743544
Mar.2009,9.31312859264453
Abr.2009,8.7685325483283
May.2009,8.45965667095405
Jun.2009,8.49764632738254
Jul.2009,8.19947201217057
Ago.2009,8.30453709105596
Sep.2009,7.83074258205295
Oct.2009,7.6331796002941
Nov.2009,7.22130516121932
Dic.2009,7.91187533584095
Ene.2010,8.60543568200624
Feb.2010,9.5873811762248
Mar.2010,9.1774601912494
Abr.2010,9.00446955641761
May.2010,7.7355357827068
Jun.2010,7.58987156594884
Jul.2010,7.04386495121319
Ago.2010,7.40154109589041
Sep.2010,7.63983628922237
Oct.2010,7.86001268767181
Nov.2010,7.59071703080876
Dic.2010,7.15696057408547
Ene.2011,7.68296580377117
Feb.2011,9.12069109423254
Mar.2011,9.38629650286092
Abr.2011,8.80766062602965
May.2011,7.35192150106108
Jun.2011,7.30143906269899
Jul.2011,6.96677158368364
Ago.2011,7.01665505667785
Sep.2011,7.30554451718152
Oct.2011,7.31850485314773
Nov.2011,7.04553565805219
Dic.2011,6.98534760469708
Ene.2012,7.75539867109635
Feb.2012,8.31493593579136
Mar.2012,8.66013071895425
Abr.2012,8.05511173821924
May.2012,7.21934585074751
Jun.2012,6.28582225861309
Jul.2012,6.20804322976203
Ago.2012,6.66124423867025
Sep.2012,6.60230780385739
Oct.2012,6.22250026066104
Nov.2012,5.91418951021504
Dic.2012,5.63776142845334
Ene.2013,6.13019666417725
Feb.2013,6.40239496232064
Mar.2013,6.39137945216748
Abr.2013,5.61315256732716
May.2013,5.67018784167043
Jun.2013,5.7779331907191
Jul.2013,6.03026347989232
Ago.2013,5.56113559495747
Sep.2013,5.94146361389677
Oct.2013,5.76817096319883
Nov.2013,5.76669171863257
Dic.2013,5.68280778500112
Ene.2014,6.36906338501661
Feb.2014,6.97548449223609
Mar.2014,6.94800512738343
Abr.2014,6.2800474724921
May.2014,5.79973461263652
Jun.2014,5.67262925753492
Jul.2014,5.73526412400571
Ago.2014,5.89810157390881
Sep.2014,5.60720926906022
Oct.2014,5.69317951831613
Nov.2014,5.4230939627049
Dic.2014,5.55689634367081
Ene.2015,6.35340700187875
Feb.2015,6.89099983899533
Mar.2015,7.02571897124115
Abr.2015,6.80862986831045
May.2015,6.97665080607922
Jun.2015,6.82215392032785
Jul.2015,6.43798309904281
Ago.2015,6.14365971107544
Sep.2015,6.43850695486841
Oct.2015,5.831083227446
Nov.2015,5.76148663248669
Dic.2015,5.68900373915938
Ene.2016,6.58975669195393
Feb.2016,6.90100346223813
Mar.2016,7.22194066508128
Abr.2016,6.97975927860985
May.2016,7.10844078575191
Jun.2016,6.97788312731404
Jul.2016,7.10088245120969
Ago.2016,6.81075548206764
Sep.2016,6.50809317015397
Oct.2016,6.19828228557983
Nov.2016,5.83645443196005
Dic.2016,6.24458936919259
Ene.2017,7.19526718143752
Feb.2017,7.73809523809524
Mar.2017,7.7339863483861
Abr.2017,6.81954060673854
May.2017,6.60362704360996
Jun.2017,6.92489170792079
Jul.2017,7.06251685220138
Ago.2017,6.67682346219768
Sep.2017,6.42792956426974
Oct.2017,6.19934156061685
Nov.2017,6.56053656092202
Dic.2017,6.45494865586365
Ene.2018,7.30044123545929
Feb.2018,8.02741812642803
Mar.2018,8.06136520340152
Abr.2018,7.32452455510578
May.2018,6.63680233787707
Jun.2018,6.22310557088551
Jul.2018,6.16838916265603
Ago.2018,6.08489845777981
Sep.2018,6.18188758469319
Oct.2018,6.42593336777848
Nov.2018,6.24763418881066
Dic.2018,6.1270630793579
Ene.2019,6.47625184792085
Feb.2019,7.55905811585099
Mar.2019,8.15790974955788
Abr.2019,7.33131693583671
May.2019,6.70985300036415
Jun.2019,6.30787479911227
Jul.2019,6.00379186854856
Ago.2019,5.82743016439769
Sep.2019,5.74980872226473
Oct.2019,6.41770086151277
Nov.2019,6.32634182257547
Dic.2019,6.10219634130357
Ene.2020,6.33843407768254
Feb.2020,7.06807743087193
Mar.2020,7.76628491673518
Abr.2020,8.98246837334396
May.2020,13.124084108646
Jun.2020,16.2800441854264
Jul.2020,16.3732193732194
Ago.2020,15.5666222440439
Sep.2020,16.5316297912122
Oct.2020,16.4300202839757
Nov.2020,15.1261484809312
Dic.2020,13.8406407202999
Ene.2021,13.0120123824332
Feb.2021,14.4906499364442
Mar.2021,15.2793706190813
Abr.2021,15.1130492268394
May.2021,12.0288686657726
Jun.2021,10.3237280278678
Jul.2021,9.39166125417532
Ago.2021,9.53768676648809
Sep.2021,9.97228205255864
Oct.2021,9.59702791683078
Nov.2021,9.09280635065751
Dic.2021,7.83333563173057
Ene.2022,8.61845743904124
Feb.2022,8.89991801257188
Mar.2022,9.41170953182834
Abr.2022,8.26386083287288
May.2022,7.21140084215265
Jun.2022,6.77863983835994
Jul.2022,6.83092451759866
Ago.2022,7.32245029519436
Sep.2022,7.6733621307384
Oct.2022,7.16558165860916
Nov.2022,7.61969860143238
Dic.2022,7.11254342382109
