ym,des_h,des_m,des_joven,des_adulto,des_mayor,ingreso,adecuado_mil,subempleo_mil,pea_ocup_mil
200105,7.99,10.81,14.48,7.42,7.22,788.57,,,3529.62
200106,8.45,10.81,15.23,7.54,7.38,782.49,,,3471.64
200107,8.37,10.25,14.45,7.58,6.96,774.33,,,3470.2
200108,8.43,10.86,15.19,7.76,7.12,773.61,,,3442.36
200109,8.5,10.89,15.32,7.71,7.44,767.2,0.0,,3426.46
200110,8.88,10.79,15.27,7.87,7.97,779.76,0.0,,3413.0
200111,8.58,10.57,14.68,7.83,7.63,783.43,1434.18,2013.26,3447.44
200112,8.05,9.91,13.86,7.44,6.69,789.34,1481.25,2027.81,3509.06
200201,8.23,10.73,14.63,7.61,7.25,787.71,1441.8,2076.03,3517.83
200202,8.78,11.5,15.86,8.09,7.34,800.83,1469.21,2051.91,3521.12
200203,9.4,12.19,17.11,8.36,8.03,779.46,1412.74,2114.25,3527.0
200204,9.27,12.45,17.09,8.34,8.51,751.82,1433.39,2131.3,3564.69
200205,9.13,11.53,15.41,8.01,9.3,735.09,1425.48,2143.18,3568.66
200206,8.63,11.42,14.37,7.99,9.33,746.04,1442.9,2136.81,3579.7
200207,7.85,10.28,13.09,7.35,8.11,758.4,1477.54,2150.97,3628.52
200208,7.54,10.13,13.73,6.76,7.77,769.38,1464.4,2191.86,3656.26
200209,7.62,9.59,13.83,6.29,7.81,751.35,1410.47,2256.03,3666.5
200210,7.54,9.64,14.49,6.07,7.52,754.7,1355.75,2303.9,3659.65
200211,7.32,9.85,14.62,6.24,6.87,760.04,1339.58,2307.48,3647.06
200212,7.52,10.05,15.19,6.34,6.69,790.19,1415.51,2249.13,3664.65
200301,8.04,10.77,15.66,6.77,7.53,805.53,1425.03,2273.4,3698.43
200302,8.19,11.05,15.77,7.31,6.84,810.27,1427.93,2315.97,3743.9
200303,8.51,11.88,16.17,8.11,7.01,803.15,1398.68,2324.18,3722.85
200304,8.41,11.64,15.78,8.2,6.87,800.07,1370.11,2278.73,3648.85
200305,8.77,11.04,14.52,8.46,7.61,789.44,1365.17,2221.29,3586.47
200306,8.44,10.29,13.67,7.87,7.75,779.3,1339.56,2241.04,3580.6
200307,8.27,9.61,13.16,7.66,7.1,781.61,1398.13,2211.57,3609.69
200308,8.45,10.28,14.06,7.52,8.08,794.68,1368.1,2211.69,3579.8
200309,8.32,9.77,13.37,7.52,7.55,794.27,1368.39,2206.8,3575.19
200310,8.68,9.97,14.33,7.54,7.61,781.61,1340.55,2239.97,3580.52
200311,8.34,9.57,14.93,6.96,6.82,777.6,1371.96,2237.14,3609.11
200312,8.64,10.34,15.75,7.2,7.67,794.01,1378.96,2210.46,3589.42
200401,9.18,11.23,16.04,7.8,8.85,810.36,1400.32,2179.29,3579.6
200402,9.41,11.83,16.36,8.13,9.23,828.77,1404.38,2223.61,3627.99
200403,9.46,12.11,16.8,8.27,8.75,819.56,1418.69,2268.32,3687.02
200404,9.26,12.01,17.22,8.15,8.14,821.03,1379.85,2308.04,3687.9
