ym,pea_ocupada_mil,adecuado_mil,subempleo_mil
200111,3447.4,1434.2,2013.3
200112,3509.1,1481.2,2027.8
200201,3517.8,1441.8,2076.0
200202,3521.1,1469.2,2051.9
200203,3527.0,1412.7,2114.3
200204,3564.7,1433.4,2131.3
200205,3568.7,1425.5,2143.2
200206,3579.7,1442.9,2136.8
200207,3628.5,1477.5,2151.0
200208,3656.3,1464.4,2191.9
200209,3666.5,1410.5,2256.0
200210,3659.6,1355.7,2303.9
200211,3647.1,1339.6,2307.5
200212,3664.6,1415.5,2249.1
200301,3698.4,1425.0,2273.4
200302,3743.9,1427.9,2316.0
200303,3722.9,1398.7,2324.2
200304,3648.8,1370.1,2278.7
200305,3586.5,1365.2,2221.3
200306,3580.6,1339.6,2241.0
200307,3609.7,1398.1,2211.6
200308,3579.8,1368.1,2211.7
200309,3575.2,1368.4,2206.8
200310,3580.5,1340.5,2240.0
200311,3609.1,1372.0,2237.1
200312,3589.4,1379.0,2210.5
200401,3579.6,1400.3,2179.3
200402,3628.0,1404.4,2223.6
200403,3687.0,1418.7,2268.3
200404,3687.9,1379.9,2308.0
200405,3699.2,1401.1,2298.1
200406,3696.2,1386.7,2309.5
200407,3743.3,1446.0,2297.4
200408,3739.8,1417.0,2322.8
200409,3712.7,1445.9,2266.8
200410,3703.0,1430.9,2272.1
200411,3726.3,1444.6,2281.7
200412,3772.9,1435.6,2337.3
200501,3721.6,1412.8,2308.8
200502,3710.2,1392.3,2317.9
200503,3692.3,1390.2,2302.2
200504,3744.1,1407.4,2336.7
200505,3731.2,1426.6,2304.6
200506,3714.2,1458.8,2255.5
200507,3725.7,1490.6,2235.2
200508,3705.5,1471.7,2233.9
200509,3717.2,1476.8,2240.4
200510,3706.1,1467.8,2238.3
200511,3747.6,1505.4,2242.2
200512,3777.5,1530.5,2247.0
200601,3760.1,1513.5,2246.5
200602,3771.8,1509.8,2262.0
200603,3790.7,1458.7,2332.0
200604,3826.6,1468.3,2358.3
200605,3776.6,1468.0,2308.7
200606,3755.3,1497.3,2258.1
200607,3762.3,1543.1,2219.2
200608,3802.8,1561.0,2241.8
200609,3835.4,1601.6,2233.7
200610,3921.1,1635.7,2285.4
200611,3987.6,1685.5,2302.1
200612,4067.9,1766.7,2301.2
200701,4023.8,1696.6,2327.3
200702,4029.8,1702.4,2327.4
200703,4003.8,1730.2,2273.6
200704,3996.0,1732.6,2263.4
200705,3994.9,1726.0,2268.9
200706,4016.7,1693.0,2323.7
200707,4068.3,1738.9,2329.4
200708,4047.7,1747.0,2300.7
200709,4017.1,1732.7,2284.4
200710,4007.2,1764.2,2243.0
200711,3971.2,1780.3,2190.9
200712,4022.4,1838.4,2184.0
200801,3996.7,1806.7,2190.0
200802,4012.1,1877.3,2134.8
200803,4039.0,1885.0,2154.0
200804,4068.2,1944.7,2123.5
200805,4099.6,1915.5,2184.0
200806,4097.8,1966.4,2131.4
200807,4103.2,1933.7,2169.5
200808,4076.0,1864.5,2211.6
200809,4024.4,1811.3,2213.1
200810,4028.2,1864.5,2163.7
200811,4050.5,1989.0,2061.5
200812,4012.8,1997.7,2015.1
200901,3967.7,1955.8,2011.9
200902,3982.7,1973.2,2009.5
200903,4050.5,2013.2,2037.3
200904,4129.1,2041.7,2087.4
200905,4138.1,2025.9,2112.2
200906,4120.9,2060.0,2060.9
200907,4103.2,2113.8,1989.4
200908,4086.5,2126.5,1960.0
200909,4097.2,2031.1,2066.1
200910,4145.7,2167.2,1978.5
200911,4215.4,2227.0,1988.4
200912,4284.4,2262.2,2022.2
201001,4307.6,2256.6,2051.0
201002,4327.6,2263.7,2063.9
201003,4340.5,2259.4,2081.1
201004,4316.1,2233.1,2083.0
201005,4334.4,2263.9,2070.5
201006,4295.5,2260.4,2035.1
201007,4306.1,2350.6,1955.5
201008,4326.2,2345.4,1980.8
201009,4332.8,2363.8,1969.0
201010,4357.3,2407.9,1949.4
201011,4352.2,2449.8,1902.4
201012,4373.0,2457.8,1915.2
201101,4332.9,2431.3,1901.6
201102,4355.3,2431.7,1923.6
201103,4386.7,2451.0,1935.7
201104,4428.3,2482.5,1945.8
201105,4409.5,2491.7,1917.8
201106,4367.4,2472.6,1894.8
201107,4404.1,2522.4,1881.7
201108,4404.8,2532.1,1872.7
201109,4432.1,2580.3,1851.8
201110,4421.0,2618.1,1802.9
201111,4427.7,2655.6,1772.1
201112,4475.3,2659.4,1815.9
201201,4442.6,2633.3,1809.3
201202,4443.7,2632.7,1811.0
201203,4416.1,2685.9,1730.2
201204,4431.1,2620.9,1810.2
201205,4462.1,2591.5,1870.6
201206,4463.7,2566.8,1896.9
201207,4512.8,2628.2,1884.6
