year,venta,autoconsumo,n_hogares_agro
2011,64.95518346575383,12.036094333350709,9461
2014,68.562318165189,13.46476878533995,11073
2015,63.0447868913023,13.249019931426542,11494
2016,63.22664162724159,14.18041292404616,12170
2017,66.25232119423808,13.470973250286653,11951
2018,67.25840933279841,13.39314877058824,13340
2019,65.92759754481804,12.989100615910266,11934
2020,64.39896379294558,14.018765345526464,5823
2021,62.426939334658975,14.067317869688672,10645
2022,64.22936201710402,12.69440981282669,11095
2023,63.829321569501296,13.297348412918957,10779
2024,66.99252238273999,12.302088819787697,10490
2025,68.72597515841952,11.82018588970655,10114
