code,val_total,n_hh,val_per_hh,name
1610,2289918225.6273813,1195345.122019291,1915.696298453984,Papa
1212,2186586874.1945124,163027.8776319027,13412.349507067509,Cacao
1213,2061863887.0859356,224440.90430736542,9186.667169466898,Caf O Cafeto
1302,1778945355.099474,77211.1418557167,23040.008376300953,Arroz
1307,1561187744.097825,1283734.533232212,1216.1297399759403,Maiz
1802,900719288.9077129,424434.8484516144,2122.161486488768,Alfalfa
1152,785224694.2998557,545299.702897191,1439.9873869872606,Platano O Guineo
1147,652603108.0989261,255331.8057694435,2555.902137347534,Palto
1617,332199765.2598336,403413.9856131077,823.4711167857929,Yuca
1707,303939747.9567871,66514.22885894775,4569.544790203186,Pastos
1310,234056982.3081832,370657.7794368267,631.4638334687236,Trigo
1701,231400143.414505,257817.07618188858,897.5361401246108,Avena Forrajera
1501,212994870.84522247,372355.59958839417,572.0200557764387,Arveja (Alverjon)
1504,206083474.45721102,405864.2540194988,507.76453559595865,Frijol
1506,206041152.2498939,682774.3552742004,301.7704907313754,Haba
1305,166878247.99294257,414688.29188990593,402.4185183343601,Cebada Grano
1220,147849600.51611328,39195.99256134033,3772.0591023363913,Coca
1127,147807093.5494796,255875.3998042345,577.6526139776003,Limon Acido (Sutil)
1424,142059400.56049156,136817.82566928864,1038.310613880626,Maiz Choclo
1308,140381537.564651,147404.61615800858,952.3550973069306,Quinua
1142,134656592.62127066,203514.7165942192,661.6553086416727,Naranjo
1403,118235960.71024323,58282.608085632324,2028.6662624384244,Ajo
