year,n_prob,seek_all,seek_sis,seek_essalud,seek_sinseg,r_no_dinero,r_no_grave,r_remedios,r_no_seguro,r_autoreceto
2007,52257,30.880397957939646,47.16119657440366,44.954488148172125,20.33119593825734,21.998425066031118,35.32376674788906,12.788625084255948,1.5565214313641982,21.63291688280955
2008,51669,32.22304676972979,40.709722912405375,44.453446589210785,20.312934904822253,18.549750963350863,36.36075915302907,12.56599725423691,1.3862755835985168,20.879390135716452
2009,51184,34.08276391327592,37.999202051691974,45.819088308706405,22.658515503462457,15.176456486515423,39.35440232173008,11.178150115380229,1.5348454224640002,18.81666655703788
2010,52691,32.73890452904943,35.29836558542167,44.366184461783114,21.89201062838909,13.648828873145916,38.6708482522464,10.986801973396947,1.9278050469879742,18.842498614148123
2011,60922,32.078418358586696,34.6068000761546,44.005605084143454,20.528943119803287,12.95153293266243,40.637039366205414,10.471930458398809,2.4193721002220294,18.298073711301164
2012,60321,33.24536438447753,35.317298894987886,44.239173557607785,22.671044034425215,11.437192406834038,41.31214489176326,12.535893056533272,2.295067352700701,19.176615489951036
2013,67960,35.53191565812913,38.52526240656537,46.60481410135091,22.785898604848988,10.369496763564335,43.19857691087944,13.140311420801693,2.2106079476155127,18.733526693795017
2014,68149,34.52836649216006,36.8490441208758,45.175283249404146,21.07084259385862,8.462228832186849,43.53597777933285,15.238274834020878,2.2246040252534103,20.188373658550912
2015,69569,35.4721364834349,37.02420168676983,46.69302896809816,20.524506900746857,6.851340441880311,46.36744085519161,15.66849668054942,2.044191817521827,20.7218882839671
2016,76693,35.29291740826633,37.331141874537096,44.08702720604496,19.773127404920455,6.701269483953939,42.04553739479148,14.42101473017291,2.347817576264987,18.849101131192345
2017,71763,33.303195265882486,35.222210145511575,41.816046540797494,18.211688772121732,5.616421954418181,45.36230092606442,15.139748799126211,2.3293170517303814,19.032755343648343
2018,77378,33.07284568491211,34.88558551612058,41.78075977286768,18.237555035480963,4.848497782788458,47.81878433511839,16.067750824602122,2.611723108384472,19.62490404022244
2019,73055,32.31715181386313,33.95763100338741,41.62657503755113,16.820640742632254,4.008303856652744,51.32806275311761,16.76675113372529,2.7027653694119325,20.88325264575611
2020,54927,21.499536412789883,22.07750273726657,28.949404806911286,11.268216297004791,3.177376904778866,46.091795485531044,23.968593851606148,1.6535237828288936,23.029033419312565
2021,54309,22.036685086201288,22.068236977410123,29.23426668140047,12.255221250812841,4.661112928923941,49.78854105263602,19.791467529386885,1.1686694786159324,22.97862763300964
2022,61476,27.39126647513825,27.416885945770186,35.68469064864127,12.129654571857541,4.611493051973705,48.71032301840314,18.970612676519526,1.0789941909005734,23.099406972428
2023,62937,30.856435951902224,30.167928540815538,39.60486393432029,14.041125516058887,5.012710753189674,48.47339922384267,16.366881044511192,1.2577315455655396,22.891873783183176
2024,62201,30.81738678494885,30.343446414626886,37.75850177354649,12.868309731680183,4.986160360744165,46.665834088327266,17.020315785403564,1.0868409594844206,24.104519681504165
2025,60556,32.605582738499166,31.231686064176344,40.84185128330785,12.408445912254031,4.23006407399701,47.886169782036674,17.546897714914152,0.5874147865230439,23.774982353701706
