year,Refrigeradora,Computadora/laptop,Lavadora de ropa,Auto/camioneta particular
2004,34.361221487267194,7.726548510560624,9.646900727605034,8.422460080876583
2006,33.972448205274,10.296417324438064,10.70338687969216,7.987294284380214
2011,40.74838012490425,23.65191928370207,18.568572963229265,8.783672105041273
2013,45.37238190247966,30.116907036001017,22.139107501722584,10.02049291822323
2014,45.78845772948487,30.566095889921407,22.907663041511046,9.236403829088136
2015,50.44642571041508,32.398102993188296,26.872803595676835,10.242278712825074
2016,51.060921798323754,33.155187056233295,26.596430520646376,10.563117665138792
2017,51.69453925721134,32.857334250094354,27.552219661040933,10.820413248041929
2018,51.686594043236745,32.351530189267194,27.776646231711076,10.476297690503493
2019,53.469422059893326,32.12588469804865,29.94208801088933,11.59922415676109
2020,54.38563812016033,33.11431865645065,28.653333562336254,11.331710485816002
2021,54.70845687138163,33.64765059125887,29.853711636185043,11.966605440060354
2022,52.47196255494991,32.860182610274094,28.31740780901836,11.467581687316027
2023,53.877709776182705,32.91134330358542,29.57246206882927,12.329352274236726
2024,53.16086411300442,32.07365755839322,28.65079389870708,11.947411119177149
2025,51.44082465527943,31.667692775676816,25.102913338436927,11.87810971110667
