year,raw,within_sup,n_ind
2007,68.48817652781084,98.879021095475,1756
2008,76.86732908005905,98.03149056438058,1629
2009,74.05380341326563,97.67911668470134,1664
2010,80.24999873104721,101.13510919895259,1609
2011,80.0665776440818,98.70595917560702,1788
2012,84.46510570046087,96.83767695977795,1795
2013,82.72625845814733,92.11459605902024,2174
2014,83.33100558659218,91.12998431297662,2114
2015,85.275533954829,92.37095770134462,2367
2016,83.76138062236717,98.5337185646722,2652
2017,78.58391396671854,87.82818309933978,2464
2018,80.14770885968461,99.70797767153519,2829
2019,84.50666551263403,95.67069072760201,2354
2020,85.45904343045629,105.67183334978773,2042
2021,81.43936930517242,97.7234180054091,2307
2022,85.75065024385088,97.46454986699214,2324
2023,86.45222538672027,98.01763212359798,2255
2024,87.20577696929607,93.71218578999178,2319
2025,91.76791139886318,100.07323628850733,2300
