year,14-24,n_14-24,14-24_lo,14-24_hi,25-39,n_25-39,25-39_lo,25-39_hi,40-54,n_40-54,40-54_lo,40-54_hi,55+,n_55+,55+_lo,55+_hi
2004,0.7692412979805239,1588,0.6946935488509235,0.9445180761180897,0.8289415738000117,2073,0.7804344327905955,0.8642633091053016,0.7672162413500059,1134,0.6622708059308279,0.8536740888657395,1.0320405694777917,233,0.5806197240395408,1.2180666211403914
2005,0.7825378009662443,1569,0.6706605770197838,0.9215668269790132,0.730470099695247,2035,0.6800924173794195,0.805840196133468,0.6980263767993073,1118,0.6082603193266685,0.7785251532458562,0.5335835357829036,224,0.4268797447317874,0.7704004381332443
2006,0.8047070993783793,1705,0.7190509600160311,0.8487392164915595,0.7761701992883613,2304,0.753934818262274,0.8615854781591499,0.6382780006522619,1319,0.5914554334991275,0.7438268314981721,0.4791656266129128,264,0.38082849275063996,0.6781257148653892
2007,0.745106791089122,1963,0.6966044797808545,0.8349348653244187,0.7301685825468659,2634,0.7037388428540369,0.7608593277965227,0.7311305747709895,1600,0.6610338964961171,0.8099708186635327,0.7413524747622738,353,0.5849935591513169,0.8844243981561736
2008,0.7016595908915476,1940,0.666085162258488,0.7342279328853908,0.7134933333333333,2552,0.6763693911205074,0.7437812815333865,0.729067392784207,1574,0.6513918780667969,0.8074159810799776,0.6307581078289609,367,0.5240660570930694,0.7296940310712641
2009,0.6805022671782351,1928,0.6071160093582888,0.7760030425478754,0.6963939511438542,2518,0.6508736089635981,0.7321692016412646,0.7311171056807363,1669,0.6473232211183407,0.7817308105538654,0.716042584434655,429,0.5889122419025526,0.8694259053269064
2010,0.7048124899404474,1925,0.6649654198152378,0.7623770756085765,0.6886278677014744,2530,0.6664698486819688,0.7298429038624369,0.6403933074300214,1718,0.6013575273172692,0.6858213503379585,0.6397913662581112,457,0.5501771545557304,0.8014563293090285
2011,0.7538675958188154,2100,0.7092436079606791,0.8260291203806165,0.7244711412901541,2856,0.6893382134104147,0.7675612220935094,0.6928481621181866,2043,0.6327316864938162,0.7339859165273848,0.7213900017418569,620,0.6388789017314394,0.891785739414023
2012,0.7851612903225806,2185,0.7632642211367198,0.8381386066136548,0.7381443298969073,2921,0.7020639293849942,0.7741187533392424,0.7517333382962021,2226,0.7184116661815326,0.8259688513237106,0.6948199908856144,650,0.5987062816427481,0.785944230035914
2013,0.8041725936462779,2536,0.7291273679174447,0.8997340326529443,0.7691012096156791,3617,0.7390413177578345,0.7936030102634695,0.7406092063925693,2785,0.7024900399493811,0.8099810324139276,0.6666666666666666,892,0.633372351333272,0.7205641285227485
2014,0.8303734061930783,2422,0.8004654553611485,0.9146755801680716,0.7445032006679655,3662,0.7191690405058014,0.7604014174570927,0.7501125040180007,2872,0.6958594238807014,0.7805884772511797,0.7172009651844191,970,0.6606310013717421,0.8118666280335598
2015,0.9031801350468307,2275,0.8318177101539507,0.931737259536082,0.7453623289098867,3735,0.7302802218669632,0.7680237337642077,0.7667418627135031,2861,0.717060892038998,0.7943081210753135,0.7499828661503667,946,0.679156010243832,0.8379131179573351
2016,0.8892171344165436,2452,0.8217807634035839,0.9441898751479787,0.7624462809917355,4316,0.7135440438156093,0.812495311378145,0.7358992979908012,3400,0.7117332555177658,0.7986804866799098,0.7914846449762013,1198,0.706907498430781,0.8935685262184085
2017,0.8775147928994083,2306,0.8188096985711489,0.9404144390764921,0.77634994807892,3991,0.7605926320293169,0.8126666287590972,0.6768354573136348,3336,0.6599514044310568,0.7183154435099598,0.7717173025846991,1244,0.6960608394832714,0.8888682546755076
2018,0.8750732564954092,2315,0.8036402483521251,0.9349823711609617,0.7695354929397482,4200,0.7588262608918455,0.7840884937920919,0.6840470379409807,3532,0.6686025901348858,0.7187274570627415,0.8638012332245194,1411,0.7377997165706934,0.9531755599264006
2019,0.8057629714723339,2104,0.7270751463071632,0.8957249720062389,0.7441975308641975,3961,0.7186544573694633,0.7774107493570938,0.6837955560456526,3338,0.662125098682972,0.7272999396150565,0.7554122524182404,1436,0.670325063208533,0.8427346210622785
2020,0.855203171456888,1471,0.765288127739843,0.9698248554715836,0.8328021064301552,2946,0.8049694025654809,0.8691753667104666,0.7798100822127334,2751,0.7517974871636659,0.8543292643033581,0.9155716371484797,1216,0.7893775871568675,1.0191747491124628
2021,0.8764242687807903,1831,0.8320631734979553,0.9299486997744486,0.8135728224684464,3526,0.7899228215526539,0.851725264711461,0.7326673170564945,2880,0.6856290303981345,0.7910941015537841,0.8826783695529452,1200,0.7779618345990688,0.9839606349906117
2022,0.8798056431676754,2039,0.804441787628855,0.9313101149548652,0.7429234338747099,3878,0.718966600516933,0.7805387923055732,0.6966394674683273,3252,0.6709478617704489,0.7318295062246442,0.7729885057471264,1447,0.7238956121412575,0.8732742152296297
2023,0.8824867939861845,1945,0.8446594490068755,0.9679385006692909,0.7963579835665112,3992,0.7658300016083596,0.8067108410948733,0.7707304256437204,3144,0.7298863289025362,0.8248268008513303,0.817395670609239,1346,0.7481026968020029,0.8810899414474214
2024,0.9508783344176968,1929,0.8851530376352432,0.9808965534327941,0.8077155243373758,3946,0.7775682335000142,0.8542914955107651,0.70499250882026,3263,0.6832197569201164,0.7607882392808732,0.8651629072681705,1501,0.8001516163741353,0.9591360835045251
2025,0.8865986997635934,1834,0.8434562112931554,0.9248612556688435,0.8221306773739375,3995,0.7839349780304103,0.8545945299820046,0.7471328411570786,3288,0.7191954272776597,0.7780039563476634,0.8058600757424755,1601,0.7561677437614982,0.9015867851274038
