year,formal,informal,n_form_m,n_inf_m,fuente
2007,0.9737537960707016,0.6771903506953865,2022,4528,oficial
2008,0.9405043890204821,0.6138099106417547,1976,4457,oficial
2009,0.9627858627858628,0.6615800349705929,2244,4300,oficial
2010,0.9521184981054082,0.6567099567099567,2238,4392,oficial
2011,0.9122957867583835,0.6688436419515943,2814,4805,oficial
2012,0.888861432013344,0.7131828978622328,2929,5053,oficial
2013,0.8556121552784121,0.6708369283865401,3834,5996,oficial
2014,0.8710557070510323,0.7047347885690183,4002,5924,oficial
2015,0.8675150112928992,0.7351502445842069,4000,5817,oficial
2016,0.9367611979856878,0.756874939267321,4624,6742,oficial
2017,0.9278142613371942,0.7747329307942405,4450,6427,oficial
2018,0.861037611037611,0.729697849559931,4878,6580,oficial
2019,0.8873748609566184,0.733925587122878,4495,6344,oficial
2020,0.8991030279002924,0.7402399542944201,3917,4467,oficial
2021,0.8673653405401109,0.7632578707408826,3872,5565,oficial
2022,0.9125332851920386,0.752013134235009,4161,6455,oficial
2023,0.8844305209853232,0.7426298216949634,4342,6085,oficial
2024,0.9805254036303931,0.7616565909248836,4622,6017,reconstruido
2025,0.915938864628821,0.7697989594707432,4860,5858,reconstruido
