year,univ,n_univ_m,univ_lo,univ_hi,prim,n_prim_m,prim_lo,prim_hi,indigena,n_indigena_m,indigena_lo,indigena_hi,no_indigena,n_no_indigena_m,no_indigena_lo,no_indigena_hi
2004,0.8928460646653397,931,0.8508856162268592,0.9279794472120365,0.5518807420472648,1027,0.4789992351342538,0.6253419165620171,0.45008540044228246,353,0.3912274363140088,0.5844447641295673,0.8085560457338469,2163,0.7221406830492917,0.8967365552729865
2005,0.7977494180261943,943,0.7373804954735741,0.8577644008164736,0.5751947441858594,1031,0.5076913787716361,0.6564991283923074,0.4944624247595693,680,0.41334448284002195,0.5765926333435784,0.7051601911393974,4249,0.6656129338123661,0.7458100752912711
2006,0.9049856910774405,1117,0.8351353171247322,0.9946418296769092,0.6648134561141298,1098,0.603774759160458,0.7149847000895929,0.5495507797290916,797,0.44798625948985943,0.6277189022969462,0.7221871174407045,4782,0.6866637325094738,0.7794973926741829
2007,0.9017694746976463,1439,0.8492613760198737,0.9368181447239975,0.5320723204183506,1242,0.44279167633579225,0.5794957034077074,0.5195892140165355,864,0.4646685752399888,0.5965985568469623,0.751597487364293,5682,0.7162426601222621,0.7698229407236334
2008,0.8678364879074658,1435,0.8051229378673914,0.9147520795972017,0.541263634492694,1182,0.48994794360881916,0.6351242399057926,0.42268884646850285,819,0.38381397284726926,0.47686359905970555,0.7193544694975392,5606,0.6928404223038261,0.7492776186218965
2009,0.8516483516483516,1583,0.8049105973801516,0.909112882571392,0.5025898078529657,1181,0.43682939381209795,0.5683615123492798,0.463477366255144,899,0.42643707086952753,0.5255803869246164,0.6937539168581575,5634,0.6871996977321789,0.7452122690752052
2010,0.8745229635478352,1554,0.8067746188975364,0.9401061647122405,0.5449879711307137,1216,0.49632117722328856,0.5796874573830212,0.46801872074882994,863,0.4245054016177641,0.5369912511898991,0.7363383760419883,5753,0.6907454383434785,0.7472258440065979
2011,0.8985826771653543,1835,0.8356164031924,0.9321956273638772,0.5696969696969697,1302,0.4974975648543338,0.6117495456228678,0.5164894188419809,950,0.4607249904957772,0.5789605384702011,0.7392770181681962,6656,0.7260664631667438,0.7654732396324168
2012,0.9041611749199774,2133,0.844896858214476,0.9298494177239,0.6153945332645694,1298,0.5594534748013992,0.6669463363274438,0.5170443725004761,1015,0.4610979271809502,0.5802898688497169,0.7593871022057586,6953,0.7509183940754646,0.7936564296850311
2013,0.8127402526084568,2831,0.7977772250736642,0.8556492974228058,0.5318335208098988,1508,0.4803785535084835,0.5813622514084686,0.5668866784419447,1235,0.5397792748869781,0.6000490024551992,0.7871939736346516,8575,0.7697965692662546,0.7958658695692705
2014,0.8272665374744671,2985,0.7885308724899672,0.8942165559088955,0.5517733611507631,1571,0.517022440129978,0.5952548288506699,0.5394054614586934,1165,0.5087377226569002,0.6256161687539994,0.777955393164345,8750,0.7439100006046226,0.7939939421692782
2015,0.8225549508787028,2879,0.7803527905831967,0.8793797963553479,0.6341095299698146,1464,0.5618208729178811,0.6598763434629575,0.601076408709125,1214,0.5140619915730623,0.6759423327406817,0.7816256009615384,8593,0.742668783461451,0.8006388517275836
2016,0.8324870753323486,3456,0.8170404066640107,0.8737233854919998,0.6274101094319958,1704,0.5558749789162786,0.6576336011457776,0.6291737066537936,1380,0.5804912247884143,0.6999901331376565,0.7516648168701443,9971,0.7448339586551976,0.7670463837360625
2017,0.8234299296096536,3322,0.7574353079542484,0.8403799590240268,0.6111604061914621,1671,0.5842893720674216,0.6535912644726434,0.6248497957221821,1292,0.5619590938568624,0.6868836291913215,0.7812457032861267,9573,0.7495698552907722,0.8042735947802925
2018,0.8748536054877029,3462,0.8438878414100737,0.9126815951671612,0.6976343262139642,1763,0.6702117734863327,0.7526101285991778,0.5833520641342623,1540,0.5212397604895761,0.6397705032195964,0.8008876336493848,9905,0.7616956976312467,0.8194843637579694
2019,0.8791442512198173,3303,0.8000081416224792,0.9124957915570038,0.5729635411883552,1629,0.5461065573770492,0.660135699966327,0.5796950073114686,1355,0.5188748619194713,0.6386621610543295,0.7662805662805663,9470,0.7415087632413788,0.7720922028357918
2020,0.863537755527743,2709,0.7928916734100692,0.9846461504649948,0.6009708737864078,1165,0.5571671348385783,0.6912077884462587,0.6253682618042837,1097,0.5536261696985846,0.7714177431811486,0.8338675958188153,7238,0.8069518939700941,0.8529517998877417
2021,0.8208961129500245,2859,0.7487470078360371,0.9137820593779534,0.7444190776930671,1376,0.6721871567565361,0.8202064047536589,0.7102622201512435,1185,0.6159938257789801,0.751054508178044,0.8123808457528116,8199,0.7968269452315633,0.8311032368872722
2022,0.8694877320954907,3196,0.7841529175769345,0.916389802408474,0.6268863691981401,1508,0.5814998844513882,0.6671187935810373,0.6347025783311904,1269,0.5792716618007281,0.6749451623833554,0.7813200498132005,9280,0.763648134962085,0.7971083544673674
2023,0.8700609107540014,3179,0.8008999463034387,0.9639659544287508,0.7218847352024922,1346,0.6545812124054115,0.7648278869018017,0.7106986899563319,1222,0.6745171342396311,0.7714809620917324,0.7864535418583257,9144,0.7523803433378808,0.8196145896254772
2024,0.8929397716247481,3312,0.8199800905846939,0.9501492888335427,0.6603444517113581,1293,0.6121044591161668,0.733533078955906,0.6117361440075794,1309,0.5429025527118913,0.6782152441249261,0.8032668078938566,9270,0.8,0.8304298497724764
2025,0.848776139403732,3366,0.8014869919513743,0.9039093822292712,0.7502439704447232,1307,0.6960284278378256,0.8106386276609446,0.6666114241520275,1285,0.6410984874786567,0.7021773412960447,0.8138850230168077,9373,0.8018836428335775,0.8376902752750762
