year,mensual,hora,horas_h,horas_m
2004,0.72,0.7896823930380696,48.0,45.0
2005,0.6694607906548579,0.7987764148077935,48.0,45.0
2006,0.6682868838052403,0.7920029019356356,48.0,45.0
2007,0.6787778880933284,0.7989080019492292,48.0,43.0
2008,0.7112940321994916,0.780552070848626,48.0,44.0
2009,0.6690337852377878,0.7839500069215101,48.0,42.0
2010,0.6910389746822145,0.7609408644316739,48.0,42.0
2011,0.7180774056558247,0.802192697203382,48.0,42.0
2012,0.7568139719502514,0.8043503737488914,48.0,42.0
2013,0.7595651091376878,0.8359385566611922,48.0,42.0
2014,0.7468334757945451,0.8410779063741578,48.0,41.0
2015,0.7715945574071242,0.8411366313309776,48.0,42.0
2016,0.7282753775904461,0.8486022695820649,48.0,40.0
2017,0.7465062921504554,0.836269228272863,48.0,41.0
2018,0.7716329618929701,0.8325691406465321,48.0,42.0
2019,0.7595190380761523,0.8333547365266899,48.0,42.0
2020,0.8372069593381811,0.8890537421694691,46.0,40.0
2021,0.8034922720417365,0.8659660261811419,48.0,44.0
2022,0.772499524322953,0.8387073303825865,48.0,42.0
2023,0.7862394644031323,0.8472410444286959,48.0,42.0
2024,0.7920386693204435,0.8672068794443526,48.0,42.0
2025,0.8081637060633875,0.8755468594392568,48.0,44.0
