year,ratio,med_h,med_m,n_h,n_m
2004,0.7214299481765151,6666.242860421975,4809.227241326289,9338,5028
2005,0.6887759416216291,6788.760019387894,4675.9345747971665,9196,4946
2006,0.6701152046204505,7219.112161451208,4837.6368232488585,10078,5592
2007,0.6982211512001364,7687.326855125123,5367.454206437187,11203,6550
2008,0.7048909840895698,8485.0,5981.0,10934,6433
2009,0.6765993805404251,9363.0,6335.0,11140,6544
2010,0.693125,9600.0,6654.0,11013,6630
2011,0.7359915853891758,10458.0,7697.0,12397,7619
2012,0.7742299349240781,11525.0,8923.0,12800,7982
2013,0.7699743865157399,12103.0,9319.0,15595,9830
2014,0.7470724191063174,12980.0,9697.0,15434,9926
2015,0.7731888451045772,13196.0,10203.0,15433,9817
2016,0.7289341517857143,14336.0,10450.0,16984,11366
2017,0.749843912591051,14415.0,10809.0,15822,10877
2018,0.7791343713560601,14579.0,11359.0,16741,11458
2019,0.7389311991738737,15494.0,11449.0,15605,10839
2020,0.8115891008941772,14203.0,11527.0,12957,8384
2021,0.8003970089525254,14778.4765625,11828.6484375,14344,9437
2022,0.7765715728351427,15844.0,12304.0,15024,10616
2023,0.778944264228841,16955.0,13207.0,14817,10427
2024,0.7994750949296404,17908.0,14317.0,14691,10639
2025,0.8031432709327898,18643.0,14973.0,14429,10718
