year,urbano,rural,n_urb_m,n_rur_m
2004,0.7125879474702902,0.5922956042701328,4111,917
2005,0.6527620247854322,0.5752517875004501,3921,1025
2006,0.6900336462139103,0.5789654755187799,4516,1076
2007,0.7020277095628628,0.539092612490012,5387,1163
2008,0.6740055307381408,0.5781101614434948,5170,1263
2009,0.6522452921294061,0.5160535828194769,5244,1300
2010,0.6738308794494275,0.5658518097403827,5307,1323
2011,0.7023075568081734,0.5776219317819573,6196,1423
2012,0.7349931512368061,0.5432409739714525,6399,1583
2013,0.7401520387007602,0.5342430812396378,8106,1724
2014,0.7178072625698324,0.5672395144814325,8126,1800
2015,0.7297033839298148,0.5850974763784237,8056,1761
2016,0.7449989758995016,0.5109260060579836,9593,1773
2017,0.7357844404238821,0.5229447585906916,9031,1846
2018,0.7625328126000385,0.5786007341826819,9349,2109
2019,0.7584062936175612,0.5747285501383862,8917,1922
2020,0.8238324175824175,0.6876101737597582,6864,1520
2021,0.7896820236178419,0.6143099312887781,7845,1592
2022,0.7556225504974374,0.6231896778723778,8805,1811
2023,0.7730496453900709,0.625556004852406,8742,1685
2024,0.7980273729705768,0.6384257774927862,8875,1764
2025,0.8194158347858237,0.6653854682533816,8836,1882
