prov,provincia,cdi_1981,cdi_1993,cdi_2007,cdi_2017,cdi_cambio
0101,Chachapoyas,62.4,57.5,33.3,20.3,-42.1
0102,Bagua,79.0,67.8,50.2,38.8,-40.2
0103,Bongara,71.1,61.8,45.3,26.4,-44.6
0104,Condorcanqui,77.7,96.5,75.8,66.6,-11.2
0105,Luya,61.5,75.1,57.9,33.7,-27.7
0106,Rodriguez De Mendoza,62.4,67.3,49.6,33.9,-28.5
0107,Utcubamba,62.4,72.4,53.5,33.6,-28.8
0201,Huaraz,58.2,48.0,25.5,15.7,-42.5
0202,Aija,71.7,66.8,53.5,37.9,-33.8
0203,Antonio Raymondi,72.5,74.1,46.7,35.8,-36.6
0204,Asuncion,71.6,73.4,48.8,28.9,-42.7
0205,Bolognesi,69.3,62.3,46.1,29.7,-39.6
0206,Carhuaz,77.0,66.2,39.1,29.7,-47.3
0207,Carlos Fermin Fitzcarrald,54.5,76.8,68.2,41.1,-13.4
0208,Casma,66.6,52.9,40.4,36.8,-29.8
0209,Corongo,67.6,62.3,41.9,30.1,-37.5
0210,Huari,76.9,72.3,44.6,29.7,-47.2
0211,Huarmey,69.4,49.6,35.1,31.7,-37.7
0212,Huaylas,31.0,60.4,44.6,31.3,0.3
0213,Mariscal Luzuriaga,73.0,77.6,65.7,50.7,-22.3
0214,Ocros,78.7,68.2,51.6,44.4,-34.3
0215,Pallasca,77.2,66.9,58.7,32.8,-44.4
0216,Pomabamba,41.4,72.5,58.8,39.4,-2.0
0217,Recuay,58.2,63.8,44.6,33.0,-25.3
0218,Santa,58.2,28.6,21.2,21.4,-36.8
0219,Sihuas,58.2,74.0,57.1,38.5,-19.7
0220,Yungay,58.2,70.1,49.7,35.6,-22.6
0301,Abancay,,53.8,36.1,18.5,
0302,Andahuaylas,,70.8,44.9,32.5,
0303,Antabamba,,78.7,68.0,41.1,
0304,Aymaraes,,75.6,58.3,34.2,
0305,Cotabambas,,80.4,68.0,42.6,
0306,Chincheros,,76.0,58.7,35.1,
0307,Grau,,73.5,62.4,39.5,
0401,Arequipa,28.0,22.7,15.3,12.9,-15.2
0402,Camana,67.7,60.9,41.1,24.8,-42.9
0403,Caraveli,55.8,57.2,45.8,28.9,-27.0
0404,Castilla,77.9,62.9,37.7,25.5,-52.3
0405,Caylloma,78.5,77.4,57.3,35.1,-43.4
0406,Condesuyos,74.6,65.6,59.7,49.5,-25.1
0407,Islay,36.7,34.4,26.5,18.6,-18.1
0408,La Union,14.5,82.1,62.5,40.9,26.4
0501,Huamanga,62.1,49.5,34.4,21.0,-41.0
0502,Cangallo,82.8,80.5,63.9,41.6,-41.2
0503,Huanca Sancos,79.2,79.9,70.4,35.8,-43.3
0504,Huanta,81.9,67.2,55.0,30.9,-51.0
0505,La Mar,76.2,75.5,67.5,33.4,-42.8
0506,Lucanas,78.1,70.5,57.7,37.6,-40.5
0507,Parinacochas,56.7,69.7,52.4,34.1,-22.6
0508,Paucar Del Sara Sara,62.1,71.5,46.7,30.2,-31.9
0509,Sucre,62.1,81.2,56.8,34.7,-27.3
0510,Victor Fajardo,62.1,76.0,54.8,34.3,-27.7
0511,Vilcas Huaman,62.1,77.4,63.6,40.7,-21.3
0601,Cajamarca,67.9,57.0,35.2,23.1,-44.8
0602,Cajabamba,75.6,70.9,53.3,38.2,-37.4
0603,Celendin,75.7,71.1,55.9,42.2,-33.5
0604,Chota,68.9,74.3,57.7,40.3,-28.6
0605,Contumaza,84.0,64.2,50.4,36.4,-47.7
0606,Cutervo,79.6,77.0,64.3,42.4,-37.2
0607,Hualgayoc,77.6,72.1,60.2,42.1,-35.5
0608,Jaen,73.6,61.1,43.2,28.4,-45.2
0609,San Ignacio,80.2,78.5,57.5,38.8,-41.4
0610,San Marcos,78.9,72.9,56.2,39.5,-39.4
0611,San Miguel,68.9,75.6,62.3,44.5,-24.5
0612,San Pablo,67.9,75.3,61.2,42.0,-25.9
0613,Santa Cruz,67.9,76.2,67.9,41.8,-26.1
0701,Callao,,22.7,16.5,14.5,
0801,Cusco,31.9,23.9,12.8,7.6,-24.3
0802,Acomayo,76.3,67.6,48.0,33.5,-42.8
0803,Anta,76.8,68.2,48.5,33.3,-43.5
0804,Calca,76.9,68.4,52.1,34.9,-42.0
0805,Canas,78.6,75.5,63.6,50.5,-28.1
0806,Canchis,69.1,57.9,36.2,29.0,-40.1
0807,Chumbivilcas,85.9,83.7,69.6,48.7,-37.2
0808,Espinar,80.5,68.9,57.3,39.2,-41.2
0809,La Convencion,72.6,72.9,54.9,34.1,-38.5
0810,Paruro,78.8,74.8,56.9,38.8,-40.0
0811,Paucartambo,80.6,76.7,57.6,45.2,-35.4
0812,Quispicanchi,74.6,68.1,49.9,34.9,-39.7
0813,Urubamba,60.7,60.4,38.0,25.2,-35.5
0901,Huancavelica,73.0,68.1,51.4,30.2,-42.7
0902,Acobamba,80.3,76.4,61.3,39.9,-40.4
0903,Angaraes,77.2,74.3,59.4,40.2,-37.0
0904,Castrovirreyna,75.4,74.0,68.8,47.2,-28.3
0905,Churcampa,56.9,75.6,62.3,41.6,-15.3
0906,Huaytara,,80.1,66.2,52.3,
0907,Tayacaja,,72.8,62.0,38.3,
1001,Huanuco,61.5,51.8,39.6,26.6,-34.8
1002,Ambo,74.2,71.2,63.7,37.4,-36.8
1003,Dos De Mayo,74.1,75.6,62.3,44.1,-30.0
1004,Huacaybamba,76.7,78.3,59.5,42.8,-33.9
1005,Huamalies,79.3,73.7,63.9,43.3,-36.0
1006,Leoncio Prado,74.8,49.1,44.3,32.0,-42.9
1007,Marañon,58.1,78.2,74.3,52.1,-6.0
1008,Pachitea,,74.8,70.1,51.5,
1009,Puerto Inca,,79.6,61.2,47.7,
1010,Lauricocha,61.5,,68.5,52.2,-9.2
1011,Yarowilca,61.5,,71.2,53.3,-8.2
1101,Ica,38.9,30.2,27.9,15.6,-23.4
1102,Chincha,45.6,36.2,35.5,15.5,-30.0
1103,Nasca,31.2,34.1,23.7,23.6,-7.6
1104,Palpa,39.9,55.7,32.9,23.2,-16.7
1105,Pisco,24.7,33.6,40.6,15.3,-9.4
1201,Huancayo,47.8,36.5,20.1,11.4,-36.4
1202,Concepcion,59.5,58.2,46.2,31.0,-28.5
1203,Chanchamayo,53.9,60.2,45.3,27.5,-26.4
1204,Jauja,55.9,47.5,41.5,26.9,-29.1
1205,Junin,28.8,51.5,49.9,24.2,-4.6
1206,Satipo,64.6,74.7,63.0,47.4,-17.2
1207,Tarma,76.1,46.6,34.7,22.2,-53.9
1208,Yauli,57.0,29.2,20.0,10.7,-46.4
1209,Chupaca,47.8,,45.6,29.3,-18.5
1301,Trujillo,29.6,23.9,16.8,10.7,-19.0
1302,Ascope,78.1,35.7,29.6,13.3,-64.9
1303,Bolivar,76.7,75.7,66.8,42.1,-34.6
1304,Chepen,75.6,39.0,30.3,17.0,-58.6
1305,Julcan,47.1,79.4,69.5,49.8,2.6
1306,Otuzco,78.6,70.8,55.1,38.4,-40.2
1307,Pacasmayo,46.7,38.2,29.1,15.6,-31.1
1308,Pataz,,74.5,62.5,37.9,
1309,Sanchez Carrion,,73.7,67.5,40.9,
1310,Santiago De Chuco,,68.0,61.5,42.0,
1311,Gran Chimu,29.6,,58.1,42.4,12.8
1312,Viru,29.6,,43.5,28.8,-0.9
1401,Chiclayo,34.0,28.3,20.1,10.6,-23.3
1402,Ferreñafe,68.0,51.7,46.8,30.8,-37.3
1403,Lambayeque,52.8,59.4,49.9,31.9,-20.9
1501,Lima,15.5,20.1,13.8,11.5,-4.0
1502,Barranca,62.0,31.7,22.6,12.9,-49.1
1503,Cajatambo,59.4,70.1,48.0,36.2,-23.2
1504,Canta,52.1,49.4,44.7,26.6,-25.6
1505,Cañete,41.5,46.6,36.9,22.9,-18.6
1506,Huaral,56.0,40.3,28.1,17.2,-38.8
1507,Huarochiri,64.1,50.4,40.9,24.4,-39.8
1508,Huaura,42.4,38.3,26.9,19.0,-23.3
1509,Oyon,,54.1,37.8,18.8,
1510,Yauyos,,62.7,56.4,37.8,
1601,Maynas,,37.5,32.7,21.8,
1602,Alto Amazonas,,61.0,50.6,37.9,
1603,Loreto,,59.2,52.9,47.1,
1604,Mariscal Ramon Castilla,,55.9,53.1,43.9,
1605,Requena,,55.9,49.9,44.2,
1606,Ucayali,,55.8,46.8,43.4,
1607,Datem Del Marañon,,37.5,63.9,57.2,
1608,Putumayo,,37.5,32.7,48.5,
1701,Tambopata,53.6,46.0,27.6,20.5,-33.1
1702,Manu,61.7,64.6,52.0,34.5,-27.2
1703,Tahuamanu,32.0,50.1,37.6,27.4,-4.6
1801,Mariscal Nieto,41.7,32.9,31.4,20.5,-21.2
1802,General Sanchez Cerro,74.9,70.0,58.8,48.8,-26.0
1803,Ilo,24.8,28.4,12.7,12.9,-11.9
1901,Pasco,42.5,42.2,33.1,16.1,-26.4
1902,Daniel Alcides Carrion,69.9,69.5,58.8,44.0,-25.9
1903,Oxapampa,58.9,60.2,48.7,35.1,-23.8
2001,Piura,51.0,47.2,39.7,31.8,-19.3
2002,Ayabaca,81.1,77.8,69.0,51.8,-29.3
2003,Huancabamba,82.7,77.3,68.9,49.6,-33.1
2004,Morropon,73.8,66.1,47.0,35.3,-38.5
2005,Paita,62.0,51.8,42.3,30.1,-31.9
2006,Sullana,62.5,48.2,37.4,27.2,-35.3
2007,Talara,55.3,23.0,17.1,16.3,-39.0
2008,Sechura,51.0,,41.1,30.8,-20.2
2101,Puno,68.1,58.8,40.8,34.4,-33.7
2102,Azangaro,77.8,76.8,63.6,51.8,-26.0
2103,Carabaya,82.9,78.8,65.9,54.7,-28.2
2104,Chucuito,77.3,76.5,60.8,52.7,-24.6
2105,El Collao,79.7,73.2,59.8,51.8,-27.9
2106,Huancane,76.8,76.6,62.9,50.2,-26.6
2107,Lampa,74.9,77.0,65.7,52.8,-22.1
2108,Melgar,88.1,70.8,55.5,41.5,-46.6
2109,Moho,49.1,77.6,55.8,43.9,-5.2
2110,San Antonio De Putina,,81.1,74.5,53.0,
2111,San Roman,,45.1,28.1,25.1,
2112,Sandia,,86.6,71.8,64.9,
2113,Yunguyo,,67.3,47.9,38.1,
2201,Moyobamba,,63.3,47.6,26.9,
2202,Bellavista,,78.8,65.2,45.8,
2203,El Dorado,,80.2,62.7,40.8,
2204,Huallaga,,59.6,55.6,35.7,
2205,Lamas,,72.1,59.9,36.8,
2206,Mariscal Caceres,,59.0,45.6,30.2,
2207,Picota,,81.6,58.2,38.0,
2208,Rioja,,68.5,50.0,30.2,
2209,San Martin,,38.6,28.4,14.3,
2210,Tocache,,64.3,50.8,32.1,
2301,Tacna,26.9,26.4,24.6,18.0,-8.9
2302,Candarave,30.4,59.1,54.0,42.3,11.9
2303,Jorge Basadre,,26.7,34.7,24.1,
2304,Tarata,,51.9,46.0,38.1,
2401,Tumbes,60.4,44.7,34.3,24.5,-35.9
2402,Contralmirante Villar,72.7,63.3,50.9,31.6,-41.1
2403,Zarumilla,49.0,46.6,40.1,28.9,-20.1
2501,Coronel Portillo,54.6,45.4,38.1,29.2,-25.4
2502,Atalaya,49.8,61.6,55.5,47.0,-2.7
2503,Padre Abad,,64.5,56.0,32.6,
2504,Purus,,72.6,75.6,73.5,
