dep,originaria_1981,originaria_1993,originaria_2007,originaria_2017
Amazonas,10.7,12.0,14.9,15.3
Ancash,46.0,36.6,31.5,31.1
Apurimac,,77.4,70.9,70.5
Arequipa,27.3,19.4,16.7,19.7
Ayacucho,88.8,71.3,63.4,63.3
Cajamarca,0.7,1.3,0.5,1.4
Callao,7.1,6.8,4.9,6.3
Cusco,83.4,64.9,53.0,57.1
Huancavelica,82.4,67.3,64.3,64.9
Huanuco,41.3,31.8,28.9,30.8
Ica,8.8,6.9,4.7,7.1
Junin,25.2,15.2,13.3,18.4
La Libertad,0.4,0.6,0.3,0.8
Lambayeque,2.5,3.0,2.4,2.7
Lima,11.2,10.2,6.4,8.8
Loreto,,5.5,7.4,10.0
Madre de Dios,34.4,28.9,19.7,22.9
Moquegua,27.9,23.8,20.5,21.9
Pasco,32.0,14.2,9.6,19.0
Piura,0.3,0.4,0.3,1.5
Puno,90.4,76.5,65.1,70.8
San Martin,,3.1,1.8,2.2
Tacna,26.7,24.5,19.1,24.2
Tumbes,0.2,0.6,0.3,0.8
Ucayali,10.1,12.6,12.3,14.2
