year,gas,biomasa
2004,60.54542369893801,47.21935348452364
2005,59.45046605232687,47.18092047753799
2006,61.12095222037686,46.856041448081356
2007,60.18673358178568,47.16836925561439
2008,63.73819565619813,47.364376372551796
2009,66.14631081100232,48.08354755698242
2010,69.54972910387544,48.34160002875521
2011,71.07451432601613,49.101310246437485
2012,72.52488274724968,45.961710878563196
2013,75.35084680581268,46.765105622474735
2014,78.56379286096774,45.08539373123816
2015,81.67877895938759,43.7549967374078
2016,83.65265564265827,42.74914160533625
2017,84.55648492742864,41.287969433066074
2018,84.96899563950949,40.49319842719053
2019,86.5055462349677,39.254541927596485
2020,85.76026469679977,44.77556831028316
2021,85.94335077198524,46.12451239592726
2022,86.3189946166886,44.40657889824781
2023,87.10626295726397,43.601034231220375
2024,88.71721329487234,41.96804463363172
2025,89.15509771382338,40.723038053408935
