year,18-34,35-54,55+
2007,28.80325643402129,27.762876729841306,24.88786581937667
2008,27.574213088771337,25.78670226894105,22.23141968522924
2009,29.195825745815352,26.780436482165822,24.427618310731678
2010,27.81979843546723,24.82636267044719,22.35624334571811
2011,29.29040615151815,26.893349042363635,24.205638655514278
2014,27.45817361590041,24.347853819503122,21.80840399237018
2015,27.43754574536173,25.173187338034037,22.462566928468657
2016,26.667689065167522,24.339754325282925,21.013222651615514
2017,25.295390196736005,21.88781307306968,18.313591217586527
2018,22.558493017662204,18.99692436057176,16.81009635017945
2019,23.64247107402485,19.224517906033366,17.29587321057107
2020,33.17225773368009,31.885698146183223,28.97093683596794
2021,26.114742023772873,20.838161822016986,19.26697626135044
2022,24.36483992386691,17.927877743362686,16.66609605294123
2023,24.409037796365656,17.452034820334156,16.251059486524632
2024,24.310796053147826,16.758965151568997,14.801597929698437
2025,22.20276706907758,15.041506411568406,13.042588216717007
