year,Primaria o menos,Secundaria,Superior
2007,23.532536707245676,28.631578590588852,30.98900984233487
2008,21.850164328322403,26.577747142765816,29.09317794892522
2009,22.94966539497757,28.232068668481553,30.620751291861094
2010,21.858700046107753,26.475597431916427,28.141301485939323
2011,23.287006484749053,27.907874452384878,30.970923180732978
2014,21.217455383846755,25.594172135178976,27.86775959231117
2015,21.910795144801114,25.130883521888215,29.442323790462478
2016,20.768963353942542,24.693285284381478,27.810547430380435
2017,18.20767777727867,22.475977296532005,25.86468061805473
2018,17.115226334450696,19.48039821896733,22.235629222367027
2019,17.084240738644745,19.529935091791017,23.82003989755473
2020,27.659226958390228,32.074480794493596,34.44399426655441
2021,17.5275495521387,22.45764731396129,26.884996059052696
2022,15.911112364768215,19.487854420422778,23.18552729155049
2023,15.484151629594137,18.97938411372374,23.057335326994224
2024,14.822399583996242,17.905224904027875,22.171440163637637
2025,13.164646599380509,15.563997610122978,19.786450372878615
