year,cob_peso,Policia Nacional,Poder Judicial,Congreso,Partidos politicos,Iglesia catolica
2007,1.0,21.44278477033835,14.47533084646849,12.673896315939329,6.774667114469865,62.528487136426655
2008,1.0,19.72613512761418,14.880937889739265,10.283695423733773,5.903001123281175,60.18648695267637
2009,1.0,19.56952738114371,17.056694863650982,11.313921695345766,5.884907609654756,59.29189791845664
2010,1.0,19.05614476191461,15.994685260039937,10.649100571305196,5.6239323485555675,57.812068663321426
2011,1.0,20.171857654857366,17.237161868470846,12.665025728390006,7.491956050924855,57.8126600855822
2014,1.0,18.282382472801547,15.38941615345944,10.12731248917237,6.149520919697283,55.15906044805667
2015,1.0,19.39561537294908,15.110400027917695,10.789684959480448,6.516865299255277,55.26392709425465
2016,1.0,18.862367367995546,15.345348126660213,10.280593590987515,6.360056431568312,53.62073302514805
2017,1.0,18.529318571377463,13.810397221358281,7.96391013754541,4.876152710839611,50.29886044163943
2018,1.0,16.996047492667994,11.095836722856077,5.08388222663131,3.8555672574548714,47.920929555794764
2019,1.0,19.03530683797965,11.584247327799584,4.836198794664149,3.5769002289290586,47.83906641856074
2020,1.0,28.019409295535286,13.852588725372836,6.1175969346417425,3.913550252793449,47.660441493331106
2021,1.0,23.78212566755198,15.2093534134331,6.843401179531138,4.468781576609556,48.94754437807949
2022,1.0,20.488252029023457,13.068870218611512,5.010913744767744,3.3197672323025196,46.34270679927554
2023,1.0,20.010372917698856,13.374421089755279,4.509680422396112,3.1041253177438555,43.59277743891803
2024,1.0,17.588555787734535,12.524744494104276,4.2467454961196465,3.1119029855179927,43.062016469252534
2025,1.0,13.186395784390017,10.862004148036496,3.528183869316644,2.819456673156051,44.169378765968034
