year,Costa,Sierra,Selva
2007,30.224701828742923,21.440716265461855,31.01888605044237
2008,28.096167486770728,20.565914590295247,28.03057198991108
2009,30.865554408240158,20.61508363187274,27.10132796031337
2010,28.245557471131455,19.954938197093988,27.860770635664174
2011,30.60468845890549,21.22945151727343,29.719022905268606
2014,27.652449389647142,20.021720069814776,25.966068728836227
2015,28.413242545455013,20.683372485977017,25.221725832319002
2016,27.270652198287376,20.159682864174897,24.267683840648033
2017,24.48965228848077,18.311930039365865,22.8532187372089
2018,21.680733942374733,16.554093729818327,20.317647502594703
2019,22.07799574140213,16.999000976991923,20.628944286548062
2020,34.795771288012325,26.495429075661914,30.830809753572623
2021,25.38169427154956,17.546364368661227,21.24347132360627
2022,21.462501987999648,15.927307379282428,20.619681999941644
2023,21.112128112420496,15.484261142573178,20.446446936501133
2024,19.397631541989618,15.471375580533609,20.612740252937037
2025,16.95130459054531,13.80614907195703,18.254505477065276
