year,std_log,cv,min,max,media
2004,0.3821852481853654,0.3768156404950855,311.61476141397145,1173.444178286764,716.8714653607727
2005,0.39385448127483447,0.3867304171740979,291.8413831922764,1171.3641359192416,717.6514623428574
2006,0.3978544416002562,0.38618679991498817,304.9856948285588,1301.5271936458334,782.3432632132026
2007,0.3685601516711688,0.3476381044949698,372.6461208530705,1393.5574973709524,885.109540067919
2008,0.3371748934741835,0.32448231040042236,415.6882586567785,1445.6178688843163,916.5656240140594
2009,0.3232831959280744,0.3080718919699577,479.75123369159934,1485.1211601793818,970.422148270891
2010,0.2926569942085808,0.2927116372395509,567.1087576102759,1727.2376282633222,1035.4134594588586
2011,0.28345366279370887,0.28322364884164813,598.299449193873,1737.6838690800123,1071.4087875396053
2012,0.29657900296881284,0.30372522261449125,637.1296048548026,1995.2896655046625,1121.8358045043217
2013,0.2842154464719356,0.29188342992071764,669.9069387861043,1903.8124676988969,1134.8180861327162
2014,0.29182771728965234,0.29348904090257155,581.8075795733249,1907.609009299181,1126.8215291723918
2015,0.26786163124075124,0.27267012830850773,628.7377370158467,1845.0070494987524,1121.2685724100054
2016,0.2648671782448295,0.26485727041432616,657.8334521020072,1766.6013298872986,1139.3485233249635
2017,0.2590794726220515,0.2563206358435487,629.7515990922798,1664.2202663222592,1124.0287963021144
2018,0.2469052870367222,0.24746490477287234,695.57996303424,1694.5322821306668,1158.4228963449546
2019,0.23422174005177673,0.23497916203259162,709.6809631961552,1733.491835759523,1182.5514016479042
2020,0.2072746783239133,0.21588182553225996,621.253931916124,1561.8186213163483,979.3963049172787
2021,0.21322385309914155,0.21822825261286555,721.0780302791575,1770.133877238948,1114.4312132562156
2022,0.22172285412946868,0.22962347040313835,749.3823316638504,1816.326409974121,1135.0380750849854
2023,0.20810700857300513,0.2178262423133811,786.1717788157758,1747.6611635357158,1111.0954198537756
2024,0.20293372676100574,0.21060059572847026,805.730253581867,1716.5970253601654,1131.0289476030252
2025,0.19856426790607964,0.20908514870346928,822.3740232519167,1839.409386929941,1179.3828744034759
