UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,left21,left26
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,55.52459857760833,50.47880533047613
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,79.60526315789474,67.44186046511628
010103,AMAZONAS,CHACHAPOYAS,BALSAS,58.69218500797448,59.150805270863835
010104,AMAZONAS,CHACHAPOYAS,CHETO,69.73684210526316,59.810874704491724
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,46.49859943977591,41.935483870967744
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,47.77265745007681,49.845201238390096
010107,AMAZONAS,CHACHAPOYAS,GRANADA,67.7536231884058,68.82022471910112
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,50.1577287066246,45.13422818791946
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,82.30358504958048,82.05666316894019
010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,54.91591203104787,53.674698795180724
010111,AMAZONAS,CHACHAPOYAS,LEVANTO,55.4364471669219,47.40834386852086
010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,66.53696498054475,59.19854280510018
010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,52.40963855421687,50.46040515653775
010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,59.770114942528735,53.91608391608391
010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,71.50127226463104,64.0552995391705
010116,AMAZONAS,CHACHAPOYAS,OLLEROS,73.44398340248962,68.36363636363636
010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,82.4074074074074,72.70270270270271
010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,54.87179487179487,55.51470588235294
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,62.14099216710183,51.888667992047715
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,65.97938144329896,58.686440677966104
010121,AMAZONAS,CHACHAPOYAS,SONCHE,52.406417112299465,52.43445692883895
010201,AMAZONAS,BAGUA,BAGUA,59.70287121853591,58.643248240062576
010202,AMAZONAS,BAGUA,ARAMANGO,65.13246954167472,64.9132837812083
010203,AMAZONAS,BAGUA,COPALLIN,69.11293195582472,67.81029263370333
010204,AMAZONAS,BAGUA,EL PARCO,73.40425531914893,73.87717690192484
010205,AMAZONAS,BAGUA,IMAZA,91.14302235929067,91.74109286468837
010206,AMAZONAS,BAGUA,LA PECA,62.015677491601345,61.56716417910448
010301,AMAZONAS,BONGARA,JUMBILLA,68.28358208955224,63.39869281045752
010302,AMAZONAS,BONGARA,CHISQUILLA,62.4113475177305,58.80149812734082
010303,AMAZONAS,BONGARA,CHURUJA,46.44351464435147,41.70403587443946
010304,AMAZONAS,BONGARA,COROSHA,79.16666666666667,72.49417249417249
010305,AMAZONAS,BONGARA,CUISPES,76.49880095923261,67.27605118829982
010306,AMAZONAS,BONGARA,FLORIDA,62.09568733153639,57.75451950523311
010307,AMAZONAS,BONGARA,JAZAN,53.40699815837937,49.56546929316338
010308,AMAZONAS,BONGARA,RECTA,77.29729729729729,71.30044843049328
010309,AMAZONAS,BONGARA,SAN CARLOS,66.44736842105263,59.24050632911393
010310,AMAZONAS,BONGARA,SHIPASBAMBA,69.18671248568155,62.42299794661191
010311,AMAZONAS,BONGARA,VALERA,48.722316865417376,41.4985590778098
010312,AMAZONAS,BONGARA,YAMBRASBAMBA,65.7506011679835,59.67741935483871
010401,AMAZONAS,CONDORCANQUI,NIEVA,86.90067404298614,87.5057365764112
010402,AMAZONAS,CONDORCANQUI,EL CENEPA,97.61963798661047,97.51499571550985
010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,91.0464465584779,93.86517943743938
010501,AMAZONAS,LUYA,LAMUD,65.62795089707271,55.68592057761733
