year,Hombres,Mujeres
2004,9.29010823178321,7.718590185074504
2005,9.24292611833475,7.800598436229001
2006,9.436949392912226,7.975521535803688
2007,9.694487609077509,8.205681389569712
2008,9.713353933694721,8.219305023232243
2009,9.792334776156249,8.311542525434547
2010,9.810918769572906,8.278787657977258
2011,9.72186357286502,8.332843205440032
2012,9.901546912075457,8.543456159131964
2013,9.874042645822545,8.486387257649035
2014,9.854278071387306,8.475271113101016
2015,9.89782240197475,8.628130690949936
2016,9.96454691506079,8.630469431641297
2017,10.004097454184757,8.683369138229294
2018,10.12218371424311,8.719519824606067
2019,10.167929814224749,8.882827803751477
2020,10.115237722148438,8.879216665268356
2021,10.033197868402013,8.824706361658752
2022,10.179747249450214,8.965524001807951
2023,10.278920436718877,9.10039297548841
2024,10.355110780060578,9.179742709596855
2025,10.380158966397595,9.196796586265512
