year,Hombres,Mujeres
2004,26.32008046886702,21.2754977571165
2005,25.182357819087603,21.516369996716598
2006,27.181923638599464,22.86105123748374
2007,29.577535702690266,24.474135645125187
2008,29.86118908592213,24.867811959182013
2009,30.599562960478977,26.10812617785092
2010,30.767198368254583,25.367434389547633
2011,30.287384523108084,25.874052636396282
2012,30.867852646616463,26.88943625763425
2013,30.24047765090018,26.24259518867673
2014,29.003835118249537,25.74544659507929
2015,28.318368902545387,26.06443385029431
2016,29.828807690069564,26.756136202861963
2017,29.846069720378765,26.561065286607764
2018,30.732682586123723,26.543989328358403
2019,31.393705100328905,28.180316978671925
2020,29.57694457306172,26.323290461240813
2021,28.938992541623765,26.36657902904015
2022,30.108314068379734,26.881650804470645
2023,30.512772644115778,28.56853428507451
2024,31.693358412373584,28.48148894730324
2025,31.15406670041422,28.296456985203868
