year,rev,pond,sector,n,peso,share
2001,3,False,Aloj./Restaurantes,3828,3828,11.48
2001,3,False,Comercio,15816,15816,47.42
2001,3,False,Construccion,651,651,1.95
2001,3,False,Electricidad/Agua,43,43,0.13
2001,3,False,Manufactura,6336,6336,19.0
2001,3,False,Mineria,25,25,0.07
2001,3,False,Otros servicios,5185,5185,15.55
2001,3,False,Transp./Comunic.,1470,1470,4.41
2002,3,False,Aloj./Restaurantes,3252,3252,14.83
2002,3,False,Comercio,8032,8032,36.63
2002,3,False,Construccion,771,771,3.52
2002,3,False,Electricidad/Agua,77,77,0.35
2002,3,False,Manufactura,4668,4668,21.29
2002,3,False,Mineria,26,26,0.12
2002,3,False,Otros servicios,3402,3402,15.51
2002,3,False,Transp./Comunic.,1700,1700,7.75
2003,3,False,Aloj./Restaurantes,816,816,6.49
2003,3,False,Comercio,5964,5964,47.43
2003,3,False,Construccion,385,385,3.06
2003,3,False,Electricidad/Agua,66,66,0.52
2003,3,False,Manufactura,1664,1664,13.23
2003,3,False,Mineria,14,14,0.11
2003,3,False,Otros servicios,2290,2290,18.21
2003,3,False,Transp./Comunic.,1376,1376,10.94
2004,3,False,Aloj./Restaurantes,358,358,4.6
2004,3,False,Comercio,1520,1520,19.52
2004,3,False,Construccion,913,913,11.72
2004,3,False,Electricidad/Agua,83,83,1.07
2004,3,False,Manufactura,2128,2128,27.32
2004,3,False,Mineria,18,18,0.23
2004,3,False,Otros servicios,2255,2255,28.95
2004,3,False,Transp./Comunic.,513,513,6.59
2005,3,False,Aloj./Restaurantes,955,955,7.5
2005,3,False,Comercio,2677,2677,21.01
2005,3,False,Construccion,803,803,6.3
2005,3,False,Electricidad/Agua,91,91,0.71
2005,3,False,Manufactura,4624,4624,36.3
2005,3,False,Mineria,20,20,0.16
2005,3,False,Otros servicios,2083,2083,16.35
2005,3,False,Transp./Comunic.,1487,1487,11.67
2006,3,False,Aloj./Restaurantes,410,410,4.78
2006,3,False,Comercio,2788,2788,32.54
2006,3,False,Construccion,175,175,2.04
2006,3,False,Electricidad/Agua,86,86,1.0
2006,3,False,Manufactura,2586,2586,30.18
2006,3,False,Mineria,21,21,0.25
2006,3,False,Otros servicios,1675,1675,19.55
2006,3,False,Transp./Comunic.,828,828,9.66
2007,3,False,Aloj./Restaurantes,725,725,5.83
2007,3,False,Comercio,5207,5207,41.84
2007,3,False,Construccion,455,455,3.66
2007,3,False,Electricidad/Agua,30,30,0.24
2007,3,False,Manufactura,2295,2295,18.44
2007,3,False,Mineria,33,33,0.27
2007,3,False,Otros servicios,2330,2330,18.72
2007,3,False,Transp./Comunic.,1369,1369,11.0
2008,4,False,Aloj./Restaurantes,530,530,3.45
2008,4,False,Comercio,5194,5194,33.81
2008,4,False,Construccion,342,342,2.23
2008,4,False,Electricidad/Agua,103,103,0.67
2008,4,False,Manufactura,5473,5473,35.63
2008,4,False,Otros servicios,2496,2496,16.25
2008,4,False,Transp./Comunic.,1224,1224,7.97
2009,4,False,Aloj./Restaurantes,860,860,5.9
2009,4,False,Comercio,6063,6063,41.6
2009,4,False,Construccion,296,296,2.03
2009,4,False,Electricidad/Agua,61,61,0.42
2009,4,False,Manufactura,3545,3545,24.32
2009,4,False,Otros servicios,2631,2631,18.05
2009,4,False,Transp./Comunic.,1120,1120,7.68
2010,4,False,Aloj./Restaurantes,5142,5142,25.98
2010,4,False,Comercio,5653,5653,28.56
2010,4,False,Construccion,499,499,2.52
2010,4,False,Electricidad/Agua,126,126,0.64
2010,4,False,Manufactura,4365,4365,22.05
2010,4,False,Otros servicios,2829,2829,14.29
2010,4,False,Transp./Comunic.,1180,1180,5.96
2011,4,False,Aloj./Restaurantes,6084,6084,28.95
2011,4,False,Comercio,5849,5849,27.83
2011,4,False,Construccion,670,670,3.19
2011,4,False,Electricidad/Agua,132,132,0.63
2011,4,False,Manufactura,4334,4334,20.62
2011,4,False,Otros servicios,2642,2642,12.57
2011,4,False,Transp./Comunic.,1308,1308,6.22
2012,4,True,Aloj./Restaurantes,1067,1766,3.01
2012,4,True,Comercio,2565,25914,44.24
2012,4,True,Construccion,692,4475,7.64
2012,4,True,Electricidad/Agua,149,317,0.54
2012,4,True,Manufactura,4161,7814,13.34
2012,4,True,Otros servicios,1965,12211,20.85
2012,4,True,Transp./Comunic.,874,6073,10.37
2013,4,True,Aloj./Restaurantes,1357,1928,3.15
2013,4,True,Comercio,2371,28099,45.86
2013,4,True,Construccion,648,4782,7.8
2013,4,True,Electricidad/Agua,116,331,0.54
2013,4,True,Manufactura,3699,8041,13.12
2013,4,True,Otros servicios,1549,11403,18.61
2013,4,True,Transp./Comunic.,733,6691,10.92
2014,4,True,Aloj./Restaurantes,1459,2329,3.46
2014,4,True,Comercio,2413,28119,41.73
2014,4,True,Construccion,632,5008,7.43
2014,4,True,Electricidad/Agua,141,223,0.33
2014,4,True,Manufactura,4417,10260,15.23
2014,4,True,Otros servicios,1965,14603,21.67
2014,4,True,Transp./Comunic.,884,6837,10.15
2015,4,True,Aloj./Restaurantes,1410,2540,3.35
2015,4,True,Comercio,2976,32954,43.48
2015,4,True,Construccion,666,5415,7.14
2015,4,True,Electricidad/Agua,177,395,0.52
2015,4,True,Manufactura,3606,9674,12.76
2015,4,True,Otros servicios,2291,15625,20.61
2015,4,True,Transp./Comunic.,1097,9196,12.13
2016,4,True,Aloj./Restaurantes,1840,2670,3.47
2016,4,True,Comercio,3278,30779,40.03
2016,4,True,Construccion,756,6915,8.99
2016,4,True,Electricidad/Agua,182,348,0.45
2016,4,True,Manufactura,3886,9337,12.14
2016,4,True,Otros servicios,2500,17062,22.19
2016,4,True,Transp./Comunic.,1102,9775,12.71
