year,ag_share,n_emp,ag_men,ag_women
2004,33.32976404229315,41483,35.92222357660263,29.921001518539793
2005,32.90633991759675,40793,35.60147519893349,29.328630258879045
2006,31.9982420947524,43441,34.631225256901885,28.532416453176722
2007,28.234214031238423,46582,31.175623939989826,24.428980967728165
2008,27.48316342383969,45357,30.369824005985972,23.728152835505917
2009,26.878788049611934,46516,29.33263253598416,23.721208143998602
2010,25.60050721833892,45984,27.864397172320494,22.714178712188307
2011,25.734333274311677,52314,28.374895385280652,22.36000912985039
2012,24.579590373777958,52147,27.266869844052234,21.097364262602408
2013,24.465217480809205,62384,26.916739188134684,21.29701358123119
2014,24.72306477888395,61726,27.280422213076726,21.404250534955228
2015,25.494802729850658,61498,27.954028515114814,22.291928415658305
2016,25.196419141129745,67827,27.794784087063018,21.84005368162852
2017,24.614113240323285,64915,27.536103908230242,20.906752263589162
2018,24.68036462845324,70036,27.726732116838427,20.814451400723012
2019,24.186261944671337,64954,26.588060869193754,21.145007475063068
2020,32.05030352415546,56615,34.277921676613225,28.993054096770148
2021,28.03844762239347,59935,29.833424393478776,25.70217063360444
2022,24.57775017525849,61181,26.518262794344803,22.059911989848537
2023,24.338642298210488,59447,27.158863654232785,20.700872415751064
2024,22.95363019935084,58579,25.861713878952763,19.147564737583725
2025,23.327300622052157,57716,25.691632543978947,20.303227181845568
