periodo,origen,destino,personas,n
2007-2011,Agropecuario/Pesca,Agropecuario/Pesca,154609,727
2007-2011,Comercio,Comercio,82111,246
2007-2011,Manufactura,Manufactura,35438,82
2007-2011,Educacion,Educacion,29149,84
2007-2011,Transporte,Transporte,23978,68
2007-2011,Otros Servicios,Otros Servicios,23768,62
2007-2011,Construccion,Construccion,20751,48
2007-2011,Restaurantes/Hoteles,Restaurantes/Hoteles,19540,66
2007-2011,Adm. Publica,Adm. Publica,14114,42
2007-2011,Salud,Salud,13604,33
2007-2011,Agropecuario/Pesca,Comercio,11986,45
2007-2011,Comercio,Otros Servicios,8361,25
2007-2011,Comercio,Agropecuario/Pesca,6643,26
2007-2011,Manufactura,Comercio,5720,18
2007-2011,Comercio,Manufactura,5661,16
2007-2011,Otros Servicios,Comercio,5492,16
2007-2011,Manufactura,Agropecuario/Pesca,4852,18
2007-2011,Agropecuario/Pesca,Manufactura,4818,17
2007-2011,Restaurantes/Hoteles,Otros Servicios,4583,13
2007-2011,Manufactura,Otros Servicios,4486,10
2007-2011,Otros Servicios,Transporte,4432,10
2007-2011,Agropecuario/Pesca,Otros Servicios,4210,15
2007-2011,Agropecuario/Pesca,Construccion,4176,12
2007-2011,Transporte,Comercio,4148,11
2007-2011,Agropecuario/Pesca,Restaurantes/Hoteles,4014,12
2007-2011,Comercio,Restaurantes/Hoteles,3914,15
2007-2011,Transporte,Agropecuario/Pesca,3767,10
2007-2011,Comercio,Transporte,3667,9
2007-2011,Otros Servicios,Manufactura,3454,7
2007-2011,Restaurantes/Hoteles,Agropecuario/Pesca,3363,12
2007-2011,Construccion,Otros Servicios,3279,6
2007-2011,Agropecuario/Pesca,Transporte,3245,12
2007-2011,Construccion,Agropecuario/Pesca,3186,9
2007-2011,Otros Servicios,Educacion,2844,5
2007-2011,Comercio,Educacion,2820,5
2007-2011,Adm. Publica,Comercio,2776,4
2007-2011,Agropecuario/Pesca,Adm. Publica,2703,13
2007-2011,Otros Servicios,Construccion,2419,6
2007-2011,Manufactura,Restaurantes/Hoteles,2302,8
2007-2011,Adm. Publica,Construccion,2284,7
2007-2011,Educacion,Adm. Publica,2159,3
2007-2011,Otros Servicios,Salud,2085,5
2007-2011,Otros Servicios,Agropecuario/Pesca,2081,7
2007-2011,Restaurantes/Hoteles,Comercio,2063,12
2007-2011,Manufactura,Educacion,1949,4
2007-2011,Comercio,Construccion,1901,7
2007-2011,Adm. Publica,Agropecuario/Pesca,1771,12
2007-2011,Agropecuario/Pesca,Mineria,1748,7
2007-2011,Otros Servicios,Adm. Publica,1688,8
2007-2011,Otros Servicios,Restaurantes/Hoteles,1624,6
2007-2011,Mineria,Mineria,1598,6
2007-2011,Comercio,Adm. Publica,1567,4
2007-2011,Salud,Comercio,1545,5
2007-2011,Transporte,Otros Servicios,1460,5
2007-2011,Salud,Otros Servicios,1337,2
2007-2011,Transporte,Educacion,1293,3
2007-2011,Transporte,Construccion,1203,4
2007-2011,Construccion,Transporte,1162,4
2007-2011,Manufactura,Construccion,1080,3
2007-2011,Adm. Publica,Manufactura,1064,3
2007-2011,Restaurantes/Hoteles,Educacion,1023,2
2007-2011,Mineria,Comercio,991,1
2007-2011,Mineria,Transporte,933,4
2007-2011,Restaurantes/Hoteles,Construccion,895,2
2007-2011,Salud,Adm. Publica,875,6
2007-2011,Construccion,Comercio,866,3
2007-2011,Adm. Publica,Mineria,808,1
2007-2011,Manufactura,Transporte,767,5
2007-2011,Construccion,Manufactura,726,1
2007-2011,Construccion,Adm. Publica,716,2
2007-2011,Comercio,Salud,682,1
2007-2011,Mineria,Manufactura,661,2
2007-2011,Educacion,Transporte,655,2
2007-2011,Educacion,Restaurantes/Hoteles,607,1
2007-2011,Agropecuario/Pesca,Salud,594,3
2007-2011,Comercio,Electricidad/Agua,574,1
2007-2011,Transporte,Adm. Publica,522,3
2007-2011,Educacion,Otros Servicios,517,2
2007-2011,Restaurantes/Hoteles,Transporte,472,3
2007-2011,Transporte,Manufactura,453,3
2007-2011,Construccion,Mineria,422,2
2007-2011,Restaurantes/Hoteles,Manufactura,413,2
2007-2011,Adm. Publica,Educacion,364,1
2007-2011,Agropecuario/Pesca,Educacion,349,2
2007-2011,Construccion,Restaurantes/Hoteles,347,1
2007-2011,Adm. Publica,Restaurantes/Hoteles,332,2
2007-2011,Comercio,Mineria,308,3
2007-2011,Agropecuario/Pesca,Electricidad/Agua,287,1
2007-2011,Adm. Publica,Electricidad/Agua,238,1
2007-2011,Adm. Publica,Salud,202,2
2007-2011,Adm. Publica,Transporte,183,1
2007-2011,Transporte,Restaurantes/Hoteles,178,1
2007-2011,Otros Servicios,Mineria,156,1
2007-2011,Manufactura,Adm. Publica,146,1
2007-2011,Mineria,Agropecuario/Pesca,144,2
2007-2011,Mineria,Adm. Publica,126,1
2007-2011,Educacion,Comercio,115,2
2007-2011,Mineria,Construccion,100,1
2007-2011,Construccion,Electricidad/Agua,98,1
2007-2011,Electricidad/Agua,Electricidad/Agua,53,1
2007-2011,Mineria,Restaurantes/Hoteles,33,1
2011-2015,Agropecuario/Pesca,Agropecuario/Pesca,274954,1441
2011-2015,Comercio,Comercio,121323,360
2011-2015,Otros Servicios,Otros Servicios,73766,150
2011-2015,Manufactura,Manufactura,58631,131
2011-2015,Educacion,Educacion,53981,161
2011-2015,Transporte,Transporte,49388,120
2011-2015,Construccion,Construccion,48694,121
2011-2015,Restaurantes/Hoteles,Restaurantes/Hoteles,34397,114
2011-2015,Adm. Publica,Adm. Publica,21006,66
2011-2015,Comercio,Otros Servicios,19956,40
2011-2015,Otros Servicios,Comercio,18382,48
2011-2015,Agropecuario/Pesca,Comercio,16945,66
2011-2015,Manufactura,Comercio,15105,35
2011-2015,Salud,Salud,14842,37
2011-2015,Comercio,Agropecuario/Pesca,13548,61
2011-2015,Agropecuario/Pesca,Manufactura,12819,46
2011-2015,Otros Servicios,Manufactura,11137,22
2011-2015,Comercio,Restaurantes/Hoteles,10189,32
2011-2015,Manufactura,Agropecuario/Pesca,9621,38
2011-2015,Manufactura,Otros Servicios,9030,16
2011-2015,Comercio,Manufactura,8877,23
2011-2015,Restaurantes/Hoteles,Otros Servicios,8772,25
2011-2015,Comercio,Transporte,8638,19
2011-2015,Agropecuario/Pesca,Construccion,8168,34
2011-2015,Agropecuario/Pesca,Restaurantes/Hoteles,8156,26
2011-2015,Restaurantes/Hoteles,Comercio,7735,26
2011-2015,Otros Servicios,Restaurantes/Hoteles,7712,26
2011-2015,Mineria,Mineria,7636,25
2011-2015,Otros Servicios,Construccion,6854,13
2011-2015,Agropecuario/Pesca,Otros Servicios,6478,27
2011-2015,Restaurantes/Hoteles,Agropecuario/Pesca,6144,26
2011-2015,Restaurantes/Hoteles,Manufactura,6113,13
2011-2015,Construccion,Agropecuario/Pesca,5665,25
2011-2015,Restaurantes/Hoteles,Transporte,5435,11
2011-2015,Otros Servicios,Educacion,5139,10
2011-2015,Transporte,Otros Servicios,4934,13
2011-2015,Transporte,Comercio,4743,14
2011-2015,Comercio,Educacion,4586,12
2011-2015,Agropecuario/Pesca,Transporte,4348,20
2011-2015,Adm. Publica,Otros Servicios,4183,8
2011-2015,Otros Servicios,Salud,4071,7
2011-2015,Comercio,Construccion,3987,10
2011-2015,Adm. Publica,Construccion,3933,14
2011-2015,Transporte,Agropecuario/Pesca,3846,15
2011-2015,Manufactura,Transporte,3517,10
2011-2015,Adm. Publica,Salud,3516,4
2011-2015,Otros Servicios,Adm. Publica,3232,10
2011-2015,Adm. Publica,Agropecuario/Pesca,3207,24
2011-2015,Salud,Adm. Publica,3181,7
2011-2015,Educacion,Otros Servicios,3164,8
2011-2015,Mineria,Agropecuario/Pesca,3052,8
2011-2015,Comercio,Adm. Publica,2725,9
2011-2015,Construccion,Manufactura,2609,5
2011-2015,Agropecuario/Pesca,Adm. Publica,2521,12
2011-2015,Salud,Agropecuario/Pesca,2476,5
2011-2015,Manufactura,Salud,2473,4
2011-2015,Educacion,Adm. Publica,2469,7
2011-2015,Manufactura,Construccion,2444,6
2011-2015,Comercio,Electricidad/Agua,2357,3
2011-2015,Restaurantes/Hoteles,Construccion,2354,4
2011-2015,Construccion,Restaurantes/Hoteles,2273,4
2011-2015,Construccion,Otros Servicios,2258,6
2011-2015,Otros Servicios,Agropecuario/Pesca,2211,9
2011-2015,Manufactura,Educacion,2113,2
2011-2015,Electricidad/Agua,Electricidad/Agua,2063,6
2011-2015,Mineria,Otros Servicios,2026,5
2011-2015,Educacion,Comercio,2005,3
2011-2015,Construccion,Comercio,1968,8
2011-2015,Construccion,Transporte,1968,9
2011-2015,Manufactura,Restaurantes/Hoteles,1902,8
2011-2015,Adm. Publica,Transporte,1832,5
2011-2015,Manufactura,Adm. Publica,1726,7
2011-2015,Otros Servicios,Transporte,1608,5
2011-2015,Mineria,Construccion,1591,5
2011-2015,Transporte,Construccion,1564,3
2011-2015,Comercio,Salud,1441,4
2011-2015,Transporte,Restaurantes/Hoteles,1392,6
2011-2015,Adm. Publica,Educacion,1351,5
2011-2015,Adm. Publica,Manufactura,1349,2
2011-2015,Agropecuario/Pesca,Educacion,1286,4
2011-2015,Otros Servicios,Electricidad/Agua,1267,3
2011-2015,Educacion,Manufactura,1265,2
2011-2015,Electricidad/Agua,Construccion,1263,2
2011-2015,Transporte,Manufactura,1225,4
2011-2015,Mineria,Manufactura,1188,1
2011-2015,Salud,Manufactura,1143,1
2011-2015,Restaurantes/Hoteles,Educacion,1095,4
2011-2015,Salud,Comercio,1085,3
2011-2015,Agropecuario/Pesca,Salud,1034,4
2011-2015,Transporte,Adm. Publica,1019,5
