anio,Sin educacion,Primaria,Secundaria,Superior
2004,5.351,3.441,1.417,1.004
2005,4.832,3.532,1.443,1.016
2006,4.975,3.421,1.53,0.996
2007,4.907,3.511,1.553,0.972
2008,5.118,3.39,1.392,1.054
2009,4.809,3.324,1.403,1.108
2010,4.875,3.301,1.44,1.075
2011,4.726,3.306,1.431,1.063
2012,4.819,3.268,1.427,1.072
2013,4.569,3.203,1.457,1.054
2014,4.583,3.237,1.476,1.065
2015,4.418,3.244,1.513,1.12
2016,4.428,3.195,1.501,1.092
2017,4.296,3.156,1.533,1.056
2018,3.927,3.123,1.538,1.077
2019,4.057,3.159,1.514,1.038
2020,4.369,3.205,1.53,1.017
2021,4.247,3.214,1.488,1.087
2022,4.159,3.091,1.496,1.105
2023,3.85,3.265,1.507,1.111
2024,4.113,3.29,1.531,1.089
