anio,ccdd,departamento,rmv,salario_mediano,indice_kaitz,pct_bajo_rmv,p90_p10,gini_ingreso,brecha_genero,desempleo_joven
2022,1,Amazonas,1025,649,1.579,44.7,18.74,0.523,0.595,3.25
2022,2,Ancash,1025,903,1.135,35.2,16.67,0.48,0.674,5.43
2022,3,Apurimac,1025,708,1.448,36.2,14.72,0.492,0.609,3.56
2022,4,Arequipa,1025,1299,0.789,26.1,7.74,0.426,0.683,9.76
2022,5,Ayacucho,1025,800,1.281,38.3,17.37,0.488,0.808,6.52
2022,6,Cajamarca,1025,600,1.708,44.8,17.44,0.515,0.496,4.79
2022,8,Cusco,1025,970,1.057,28.8,13.46,0.467,0.667,6.02
2022,9,Huancavelica,1025,481,2.131,38.0,19.8,0.536,0.635,4.16
2022,10,Huanuco,1025,750,1.367,44.3,18.75,0.504,0.647,3.89
2022,11,Ica,1025,1359,0.754,19.2,6.58,0.366,0.774,7.13
2022,12,Junin,1025,1000,1.025,36.6,11.52,0.44,0.681,7.25
2022,13,La Libertad,1025,1050,0.976,29.3,13.1,0.446,0.694,7.56
2022,14,Lambayeque,1025,1025,1.0,35.3,11.96,0.448,0.685,9.15
2022,15,Lima,1025,1273,0.805,24.9,7.06,0.404,0.686,14.51
2022,16,Loreto,1025,882,1.162,28.7,16.67,0.484,0.857,5.94
2022,17,Madre de Dios,1025,1382,0.742,18.3,7.0,0.385,0.747,4.93
2022,18,Moquegua,1025,1299,0.789,21.5,10.72,0.432,0.66,14.06
2022,19,Pasco,1025,765,1.34,33.0,19.23,0.517,0.594,5.46
2022,20,Piura,1025,1000,1.025,30.7,14.45,0.457,0.575,6.34
2022,21,Puno,1025,500,2.05,48.0,21.28,0.539,0.559,8.38
2022,22,San Martin,1025,870,1.178,37.1,14.33,0.473,0.692,3.95
2022,23,Tacna,1025,1061,0.966,31.4,7.51,0.408,0.781,6.3
2022,24,Tumbes,1025,1030,0.995,32.5,8.68,0.395,0.843,6.43
2022,25,Ucayali,1025,1100,0.932,22.8,11.06,0.424,0.855,3.64
2023,1,Amazonas,1025,728,1.408,35.0,18.65,0.496,0.814,6.3
2023,2,Ancash,1025,1025,1.0,25.9,18.65,0.473,0.814,7.16
2023,3,Apurimac,1025,736,1.393,37.2,15.03,0.501,0.955,7.74
2023,4,Arequipa,1025,1386,0.74,18.7,7.11,0.39,0.682,13.15
2023,5,Ayacucho,1025,853,1.201,39.4,13.54,0.457,0.776,8.92
2023,6,Cajamarca,1025,681,1.505,37.4,16.45,0.503,0.654,9.72
2023,8,Cusco,1025,987,1.039,28.0,14.51,0.472,0.72,7.22
