anio,ccdd,departamento,n,tasa_desempleo,tasa_actividad,tasa_informalidad,ing_nominal
2022,1,Amazonas,11701,2.26,77.4,86.7,1002
2022,2,Ancash,18656,3.12,72.23,80.9,1156
2022,3,Apurimac,10114,1.81,80.54,87.2,1077
2022,4,Arequipa,14382,5.47,64.27,67.0,1741
2022,5,Ayacucho,10305,3.35,79.34,85.9,1092
2022,6,Cajamarca,10500,2.26,78.7,89.5,895
2022,8,Cusco,10541,2.76,78.31,81.0,1250
2022,9,Huancavelica,10322,2.21,83.51,89.3,842
2022,10,Huanuco,10385,2.84,74.57,85.7,1052
2022,11,Ica,12176,3.76,66.17,61.1,1602
2022,12,Junin,11776,3.6,72.06,80.2,1235
2022,13,La Libertad,14815,3.21,71.54,73.8,1347
2022,14,Lambayeque,13986,4.82,69.11,74.9,1306
2022,15,Lima,48971,7.04,66.45,63.0,1643
2022,16,Loreto,14167,3.14,74.3,83.9,1171
2022,17,Madre de Dios,11320,2.67,72.89,77.0,1712
2022,18,Moquegua,10150,7.49,65.98,65.5,1687
2022,19,Pasco,10063,2.73,76.37,82.6,1135
2022,20,Piura,15741,3.56,75.94,79.2,1223
2022,21,Puno,9781,3.31,80.34,89.4,859
2022,22,San Martin,21549,2.19,77.33,86.1,1137
2022,23,Tacna,10260,3.62,67.44,75.5,1363
2022,24,Tumbes,10850,3.96,68.68,77.4,1249
2022,25,Ucayali,12366,2.04,73.66,82.1,1364
2023,1,Amazonas,11166,3.52,71.4,85.8,1081
2023,2,Ancash,19068,3.97,70.48,78.2,1275
2023,3,Apurimac,9858,2.76,81.4,86.7,1128
2023,4,Arequipa,14285,6.6,61.5,63.6,1772
2023,5,Ayacucho,10545,4.01,79.11,86.1,1121
2023,6,Cajamarca,10689,4.12,73.8,86.6,1032
2023,8,Cusco,10381,4.29,76.84,80.2,1277
2023,9,Huancavelica,10272,3.71,77.49,86.4,988
2023,10,Huanuco,10057,4.92,73.48,83.2,1270
2023,11,Ica,12845,4.94,67.35,59.2,1681
2023,12,Junin,11335,5.09,73.54,78.7,1216
2023,13,La Libertad,15330,4.46,74.98,72.8,1408
2023,14,Lambayeque,13568,6.89,68.0,72.8,1351
2023,15,Lima,51669,6.39,66.45,59.4,1833
2023,16,Loreto,14191,5.0,70.87,80.3,1271
2023,17,Madre de Dios,10878,4.64,73.96,76.4,1654
2023,18,Moquegua,9359,10.18,67.6,63.0,1680
2023,19,Pasco,10059,3.0,75.16,81.1,1197
2023,20,Piura,15965,6.07,73.59,75.5,1258
2023,21,Puno,12400,3.78,77.68,89.3,921
2023,22,San Martin,21490,2.86,72.71,82.2,1234
2023,23,Tacna,10398,6.68,67.24,74.5,1467
2023,24,Tumbes,10948,4.83,71.15,76.8,1352
2023,25,Ucayali,11961,3.27,71.21,79.8,1344
2024,1,Amazonas,10934,3.77,74.84,86.1,1093
2024,2,Ancash,19598,3.92,70.05,78.3,1375
2024,3,Apurimac,9898,3.26,81.55,87.5,1153
2024,4,Arequipa,15034,6.82,61.71,62.2,1883
2024,5,Ayacucho,10819,4.23,78.01,85.5,1226
2024,6,Cajamarca,10618,4.15,73.79,87.0,1102
2024,8,Cusco,10657,4.62,77.68,79.1,1449
2024,9,Huancavelica,10407,4.44,77.93,85.3,1163
2024,10,Huanuco,10055,4.92,70.5,82.9,1264
2024,11,Ica,13646,7.68,66.29,59.0,1737
2024,12,Junin,11192,5.26,70.52,79.0,1257
2024,13,La Libertad,15662,3.15,75.55,73.9,1468
2024,14,Lambayeque,13704,7.4,68.19,74.8,1278
2024,15,Lima,53757,6.32,66.72,59.1,1959
2024,16,Loreto,14119,5.03,71.42,80.5,1293
2024,17,Madre de Dios,11097,6.5,73.58,76.3,1735
2024,18,Moquegua,10079,9.18,69.03,59.4,1889
2024,19,Pasco,9772,4.09,71.29,79.8,1279
2024,20,Piura,16779,6.98,70.96,76.7,1267
2024,21,Puno,15209,4.7,74.84,87.7,1018
2024,22,San Martin,21049,3.13,74.69,83.7,1266
2024,23,Tacna,10746,6.74,67.24,71.6,1587
2024,24,Tumbes,11758,5.85,70.2,77.4,1484
2024,25,Ucayali,11761,4.08,71.11,79.4,1419
2025,1,Amazonas,17032,3.26,73.4,86.4,1230
2025,2,Ancash,19615,4.3,68.41,78.8,1366
2025,3,Apurimac,9705,3.92,81.86,86.7,1207
2025,4,Arequipa,15529,5.38,63.24,63.5,1936
2025,5,Ayacucho,10419,3.81,77.43,84.8,1257
2025,6,Cajamarca,10527,3.18,76.4,88.6,1126
2025,8,Cusco,10377,4.79,77.08,80.1,1484
2025,9,Huancavelica,10299,3.81,79.29,85.6,1125
2025,10,Huanuco,9715,3.86,70.62,84.1,1268
2025,11,Ica,13712,6.67,67.76,58.3,1864
2025,12,Junin,11225,4.45,67.63,76.8,1458
2025,13,La Libertad,16037,2.81,75.05,72.6,1580
2025,14,Lambayeque,13804,5.87,68.15,73.6,1358
2025,15,Lima,57214,5.69,65.5,57.0,2141
2025,16,Loreto,13927,3.11,72.47,80.8,1412
2025,17,Madre de Dios,11056,3.92,74.63,74.0,1993
2025,18,Moquegua,10340,6.31,69.68,58.5,2163
2025,19,Pasco,9762,5.94,71.98,80.5,1218
2025,20,Piura,16953,5.99,71.27,77.0,1282
2025,21,Puno,14200,4.13,75.54,88.0,989
2025,22,San Martin,20495,2.93,75.33,83.0,1394
2025,23,Tacna,10667,5.1,67.76,71.1,1678
2025,24,Tumbes,12158,6.88,69.7,77.5,1579
2025,25,Ucayali,11626,3.05,73.44,79.5,1511
