ccdd,departamento,n,retorno_educ_pct,penal_informal_pct
1,Amazonas,27270,9.7,-55.8
2,Ancash,36987,9.3,-49.2
3,Apurimac,21244,9.7,-57.8
4,Arequipa,27966,7.1,-28.9
5,Ayacucho,21482,10.0,-55.8
6,Cajamarca,21048,10.9,-58.0
8,Cusco,21449,10.3,-47.0
9,Huancavelica,20737,11.7,-63.5
10,Huanuco,20320,10.2,-55.4
11,Ica,27524,5.5,-31.0
12,Junin,22967,9.1,-44.7
13,La Libertad,34170,9.6,-39.8
14,Lambayeque,27342,7.4,-43.0
15,Lima,100267,9.9,-28.3
16,Loreto,27776,10.3,-50.8
17,Madre de Dios,23752,6.6,-32.7
18,Moquegua,20108,7.6,-38.8
19,Pasco,18258,8.4,-59.6
20,Piura,33447,8.0,-44.5
21,Puno,25321,11.3,-61.2
22,San Martin,47660,9.1,-47.7
23,Tacna,20973,7.7,-38.7
24,Tumbes,23312,6.3,-39.8
25,Ucayali,25239,8.1,-42.8
