anio,ccdd,departamento,actividad_h,actividad_m,brecha_participacion,tcompleto_bajo_min,pct_agricola
2022,1,Amazonas,84.7,69.7,15.0,44.0,55.5
2022,2,Ancash,80.7,63.7,16.9,39.0,41.1
2022,3,Apurimac,85.4,75.5,9.9,42.3,48.9
2022,4,Arequipa,73.5,55.4,18.1,21.9,13.5
2022,5,Ayacucho,85.2,73.2,12.0,46.0,43.7
2022,6,Cajamarca,84.4,73.1,11.3,50.9,59.4
2022,8,Cusco,82.6,73.9,8.7,37.6,38.9
2022,9,Huancavelica,86.6,80.3,6.3,53.6,63.3
2022,10,Huanuco,80.4,68.7,11.7,49.2,44.3
2022,11,Ica,76.7,55.7,21.0,18.5,20.7
2022,12,Junin,79.3,64.9,14.4,36.5,30.5
2022,13,La Libertad,80.5,62.9,17.6,33.4,26.7
2022,14,Lambayeque,79.4,59.6,19.9,33.3,23.3
2022,15,Lima,75.2,58.4,16.7,22.1,5.4
2022,16,Loreto,82.7,65.2,17.5,40.9,29.6
2022,17,Madre de Dios,81.2,61.7,19.5,22.9,18.4
2022,18,Moquegua,74.4,56.1,18.3,24.9,21.3
2022,19,Pasco,85.5,66.6,18.9,44.4,42.3
2022,20,Piura,83.9,67.9,16.0,31.4,34.2
2022,21,Puno,83.8,77.0,6.7,50.7,48.1
2022,22,San Martin,86.3,67.1,19.2,42.0,45.3
2022,23,Tacna,74.3,60.3,14.1,33.6,20.8
2022,24,Tumbes,80.4,54.7,25.7,35.9,20.3
2022,25,Ucayali,83.2,63.0,20.2,33.3,26.2
2023,1,Amazonas,83.7,58.3,25.4,45.3,53.5
2023,2,Ancash,79.8,61.0,18.8,35.6,38.8
2023,3,Apurimac,87.4,75.1,12.3,45.8,51.2
2023,4,Arequipa,71.4,52.0,19.4,17.7,14.2
2023,5,Ayacucho,85.5,72.4,13.2,44.1,45.6
2023,6,Cajamarca,80.5,67.2,13.3,50.2,52.2
2023,8,Cusco,81.8,71.8,10.0,36.2,39.5
2023,9,Huancavelica,81.9,73.0,8.9,47.3,58.4
2023,10,Huanuco,79.8,67.0,12.8,39.7,44.5
2023,11,Ica,77.4,57.4,20.0,14.5,20.0
2023,12,Junin,79.5,67.8,11.7,36.9,30.0
2023,13,La Libertad,81.6,68.6,13.0,30.3,27.6
2023,14,Lambayeque,77.4,59.3,18.1,29.9,24.7
2023,15,Lima,74.9,58.8,16.1,14.0,4.3
