anio,ccdd,departamento,theil,informal_urb,informal_rur,ing_urb,ing_rur
2022,1,Amazonas,0.473,76.4,94.8,1304,718
2022,2,Ancash,0.411,72.0,95.2,1394,660
2022,3,Apurimac,0.418,78.0,96.0,1301,826
2022,4,Arequipa,0.349,64.8,92.8,1765,1412
2022,5,Ayacucho,0.415,77.9,97.5,1309,695
2022,6,Cajamarca,0.469,74.2,97.7,1342,608
2022,8,Cusco,0.378,72.5,94.5,1459,827
2022,9,Huancavelica,0.503,75.4,96.2,1283,578
2022,10,Huanuco,0.459,76.3,98.0,1306,644
2022,11,Ica,0.242,60.2,74.6,1618,1347
2022,12,Junin,0.331,74.6,95.7,1346,863
2022,13,La Libertad,0.35,67.7,96.2,1517,657
2022,14,Lambayeque,0.37,72.4,85.6,1388,917
2022,15,Lima,0.295,62.5,90.9,1654,854
2022,16,Loreto,0.418,79.1,97.1,1300,687
2022,17,Madre de Dios,0.266,75.6,87.9,1739,1487
2022,18,Moquegua,0.328,60.2,93.8,1806,824
2022,19,Pasco,0.483,76.0,93.8,1299,805
2022,20,Piura,0.369,75.8,93.3,1329,722
2022,21,Puno,0.507,81.8,97.9,1095,520
2022,22,San Martin,0.407,82.4,95.6,1242,824
2022,23,Tacna,0.298,73.3,94.2,1406,906
2022,24,Tumbes,0.27,76.6,91.0,1264,997
2022,25,Ucayali,0.32,78.3,97.6,1456,876
2023,1,Amazonas,0.419,75.1,94.9,1419,748
2023,2,Ancash,0.389,69.0,93.8,1495,764
2023,3,Apurimac,0.438,77.3,96.2,1418,774
2023,4,Arequipa,0.264,61.2,90.9,1811,1276
2023,5,Ayacucho,0.353,78.3,97.5,1354,689
2023,6,Cajamarca,0.441,68.4,96.6,1540,689
2023,8,Cusco,0.377,71.9,93.7,1499,827
2023,9,Huancavelica,0.456,70.2,94.6,1437,716
2023,10,Huanuco,0.398,73.3,97.2,1547,811
2023,11,Ica,0.214,57.8,78.8,1701,1384
2023,12,Junin,0.408,72.8,94.7,1366,768
2023,13,La Libertad,0.32,66.9,94.7,1578,720
2023,14,Lambayeque,0.318,69.6,85.3,1443,972
2023,15,Lima,0.325,58.9,89.1,1843,1114
2023,16,Loreto,0.381,75.5,94.1,1424,731
2023,17,Madre de Dios,0.266,74.6,88.4,1698,1353
2023,18,Moquegua,0.286,58.5,91.6,1820,655
2023,19,Pasco,0.405,76.6,88.5,1300,1003
2023,20,Piura,0.355,72.0,90.9,1362,709
2023,21,Puno,0.515,82.5,97.0,1202,568
2023,22,San Martin,0.468,78.1,94.0,1356,852
2023,23,Tacna,0.273,72.9,89.2,1505,1085
2023,24,Tumbes,0.244,76.6,79.5,1363,1148
2023,25,Ucayali,0.292,75.7,96.5,1460,753
2024,1,Amazonas,0.474,77.0,94.2,1387,788
2024,2,Ancash,0.392,69.0,94.1,1607,797
2024,3,Apurimac,0.424,77.4,97.5,1459,763
2024,4,Arequipa,0.263,60.0,89.7,1915,1453
2024,5,Ayacucho,0.42,77.8,97.4,1476,757
2024,6,Cajamarca,0.452,70.5,96.5,1623,715
2024,8,Cusco,0.335,70.1,94.6,1685,921
2024,9,Huancavelica,0.533,71.0,93.4,1562,894
2024,10,Huanuco,0.432,73.3,96.5,1572,744
2024,11,Ica,0.206,58.3,70.0,1761,1360
2024,12,Junin,0.397,73.5,94.8,1429,725
2024,13,La Libertad,0.283,68.5,95.0,1632,790
2024,14,Lambayeque,0.327,70.6,91.7,1370,898
2024,15,Lima,0.328,58.7,84.6,1969,1180
2024,16,Loreto,0.376,75.1,95.6,1444,731
2024,17,Madre de Dios,0.253,74.8,88.5,1778,1396
2024,18,Moquegua,0.272,55.9,83.6,1991,1085
2024,19,Pasco,0.43,72.7,91.1,1462,948
2024,20,Piura,0.38,73.2,92.6,1370,717
2024,21,Puno,0.492,78.9,97.1,1306,640
2024,22,San Martin,0.43,79.4,95.9,1418,821
2024,23,Tacna,0.252,70.3,82.9,1622,1234
2024,24,Tumbes,0.237,76.8,88.7,1503,1148
2024,25,Ucayali,0.207,75.6,96.3,1509,939
2025,1,Amazonas,0.439,76.3,95.2,1546,897
2025,2,Ancash,0.361,70.4,94.4,1593,787
2025,3,Apurimac,0.423,76.9,97.1,1528,773
2025,4,Arequipa,0.254,61.8,84.8,1956,1662
2025,5,Ayacucho,0.401,77.2,96.9,1523,721
2025,6,Cajamarca,0.441,73.3,97.4,1649,708
2025,8,Cusco,0.328,72.1,94.7,1695,988
2025,9,Huancavelica,0.518,74.2,92.6,1462,870
2025,10,Huanuco,0.445,76.0,96.7,1548,761
2025,11,Ica,0.206,57.7,68.0,1886,1491
2025,12,Junin,0.375,70.6,95.1,1637,862
2025,13,La Libertad,0.267,66.4,96.4,1754,854
2025,14,Lambayeque,0.314,70.8,85.7,1443,989
2025,15,Lima,0.316,56.6,88.5,2153,1180
2025,16,Loreto,0.368,75.8,95.2,1576,807
2025,17,Madre de Dios,0.256,72.2,89.5,2024,1709
2025,18,Moquegua,0.292,55.0,84.3,2259,1333
2025,19,Pasco,0.464,71.5,94.6,1452,787
2025,20,Piura,0.37,73.2,94.2,1381,733
2025,21,Puno,0.523,79.1,98.0,1331,527
2025,22,San Martin,0.427,78.5,95.2,1479,1139
2025,23,Tacna,0.239,69.8,84.2,1708,1336
2025,24,Tumbes,0.227,77.0,87.3,1600,1176
2025,25,Ucayali,0.21,76.0,96.3,1598,1031
