,Agropecuario,Mineria,Manufactura,Construccion,Comercio,Servicios
Lima,86.47269346559685,15.326429669170134,55.66269445656697,65.504347137244,62.72649558701743,52.16886552393678
Ica,38.97267889119306,24.26485268928514,51.343153193810345,86.3688198649898,73.09229110656437,58.95889013192234
Moquegua,99.11341930610621,1.928626904972832,46.75424113764336,65.76222674620112,58.17770390195528,50.67031040173355
Arequipa,96.27039526977984,19.680589705225813,58.95722820893126,77.99851679867514,66.816167630514,53.84686876267706
Tacna,99.44646576097283,5.738502257680595,70.59726500645202,79.87393815929846,76.88762345000181,58.62616200785105
La Libertad,83.53365931916899,67.51339640755606,70.82877320119091,81.32408416388137,74.68643645420171,60.87666912111951
Lambayeque,80.70446439840975,,77.10876206874717,80.33628668054362,76.69767467820269,66.26293120300089
Madre de Dios,98.16598048407192,92.56733879953663,68.8200086932233,90.77404274849918,69.12193799652756,63.22688611687708
Junin,99.90577337040631,14.064747708990641,77.70786541438139,80.47456041798984,75.9566461497172,62.79529643145667
Piura,86.23804031172831,,77.08850611642936,72.03175280322864,82.44548875000159,67.4064982588919
Tumbes,91.39714169690185,,75.348616742963,89.78122649038355,81.8715487874162,68.9129947828788
Ancash,95.35760409103278,18.36439191666096,65.23280295341726,86.48575696245409,77.98029171265442,62.692076689911914
Ucayali,97.29952246107702,,75.4828746042005,90.06885420190648,78.18555536445868,68.54849327787954
Cusco,100.0,,80.95420737744662,87.60177307160785,78.00494755367959,58.02895909282282
Pasco,99.94245852678388,5.109396003653804,79.14324392474325,84.35429230162448,78.86999466793176,63.87578552523343
Loreto,98.75363746346963,,76.22390951686332,79.29454770095239,85.37040313489643,65.03926753565081
San Martin,99.2641017987692,,72.8020950837354,84.28713546311727,76.44442222069937,64.53499338220884
Huanuco,99.94467183764998,,91.11784520503393,93.24626416274545,79.00148570541238,61.889833862729354
Ayacucho,99.57690499420781,66.53096700720047,88.78250230041,89.31959366609706,87.42065235963926,60.97980709603819
Huancavelica,99.08168373419758,24.27035377580083,88.4213641398582,83.5842552006751,80.92108969332021,60.847653816672796
Amazonas,99.79155774764784,,80.57671278534472,80.9039091857289,82.3490003562958,59.848203430019446
Apurimac,99.86593357839354,82.94554665407773,87.29401625601692,87.06914398374914,85.82568231593908,61.32171055236829
Puno,99.97224518144242,76.05634813301441,91.83022313777857,93.99776086804435,88.67311460100943,66.33005920687975
Cajamarca,99.87115091688075,29.018265330069816,89.06017772624267,89.83109177159005,86.27076680163408,63.12618638892019
