ym,tasa_desempleo,fuente
200110,9.72,microdatos EPE (rep. INEI/BCRP 0.00pp)
200111,9.45,microdatos EPE (rep. INEI/BCRP 0.00pp)
200112,8.86,microdatos EPE (rep. INEI/BCRP 0.00pp)
200201,9.32,microdatos EPE (rep. INEI/BCRP 0.00pp)
200202,9.97,microdatos EPE (rep. INEI/BCRP 0.00pp)
200203,10.62,microdatos EPE (rep. INEI/BCRP 0.00pp)
200204,10.68,microdatos EPE (rep. INEI/BCRP 0.00pp)
200205,10.19,microdatos EPE (rep. INEI/BCRP 0.00pp)
200206,9.88,microdatos EPE (rep. INEI/BCRP 0.00pp)
200207,8.95,microdatos EPE (rep. INEI/BCRP 0.00pp)
200208,8.72,microdatos EPE (rep. INEI/BCRP 0.00pp)
200209,8.52,microdatos EPE (rep. INEI/BCRP 0.00pp)
200210,8.49,microdatos EPE (rep. INEI/BCRP 0.00pp)
200211,8.46,microdatos EPE (rep. INEI/BCRP 0.00pp)
200212,8.65,microdatos EPE (rep. INEI/BCRP 0.00pp)
200301,9.26,microdatos EPE (rep. INEI/BCRP 0.00pp)
200302,9.48,microdatos EPE (rep. INEI/BCRP 0.00pp)
200303,10.03,microdatos EPE (rep. INEI/BCRP 0.00pp)
200304,9.87,microdatos EPE (rep. INEI/BCRP 0.00pp)
200305,9.79,microdatos EPE (rep. INEI/BCRP 0.00pp)
200306,9.27,microdatos EPE (rep. INEI/BCRP 0.00pp)
200307,8.87,microdatos EPE (rep. INEI/BCRP 0.00pp)
200308,9.26,microdatos EPE (rep. INEI/BCRP 0.00pp)
200309,8.97,microdatos EPE (rep. INEI/BCRP 0.00pp)
200310,9.25,microdatos EPE (rep. INEI/BCRP 0.00pp)
200311,8.89,microdatos EPE (rep. INEI/BCRP 0.00pp)
200312,9.4,microdatos EPE (rep. INEI/BCRP 0.00pp)
200401,10.1,microdatos EPE (rep. INEI/BCRP 0.00pp)
200402,10.49,microdatos EPE (rep. INEI/BCRP 0.00pp)
200403,10.64,microdatos EPE (rep. INEI/BCRP 0.00pp)
200404,10.5,microdatos EPE (rep. INEI/BCRP 0.00pp)
200405,10.0,microdatos EPE (rep. INEI/BCRP 0.00pp)
200406,9.46,microdatos EPE (rep. INEI/BCRP 0.00pp)
200407,8.59,microdatos EPE (rep. INEI/BCRP 0.00pp)
