ym,ing_real_prim,ing_real_sec,ing_real_sup_no_univ,ing_real_sup_univ
202210,581,711,854,1433
202211,545,698,871,1445
202212,543,684,884,1462
202301,527,698,882,1450
202302,543,716,884,1456
202303,528,710,892,1448
202304,562,716,907,1474
202305,567,717,925,1499
202306,572,723,918,1536
202307,572,717,891,1553
202308,573,730,891,1532
202309,580,723,879,1526
202310,553,723,909,1538
202311,550,711,894,1526
202312,546,715,880,1524
202401,590,721,881,1513
202402,656,722,893,1560
202403,650,720,880,1526
202404,645,725,881,1553
202405,588,738,876,1552
202406,553,738,885,1564
202407,566,730,881,1566
202408,564,732,878,1566
202409,591,746,893,1581
202410,606,755,919,1599
202411,583,768,931,1597
202412,606,775,935,1663
202501,598,792,935,1657
202502,602,789,922,1649
202503,608,792,911,1591
202504,598,792,896,1578
202505,607,797,913,1652
202506,571,788,912,1695
202507,575,775,933,1711
202508,572,786,961,1724
202509,576,790,976,1742
202510,596,807,969,1740
202511,587,794,964,1700
202512,618,816,983,1727
202604,604,805,955,1568
202605,618,791,975,1627
