trim_start,trim_label,anio,n,pet,pea,ocupados,desocupados,tasa_actividad,tasa_desempleo,ratio_empleo_pob,tasa_informalidad_proxy,ing_lab_prom,tasa_desempleo_h,tasa_actividad_h,tasa_desempleo_m,tasa_actividad_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor
200108,2001 Ago-Set-Oct,2001,15045,5741944,3780305,3412998,367307,65.84,9.72,59.44,65.65,777.0,8.88,76.69,10.79,55.7,15.27,7.87,7.97
200109,2001 Set-Oct-Nov,2001,14924,5750200,3807271,3447438,359833,66.21,9.45,59.95,65.51,782.0,8.58,77.17,10.57,55.98,14.68,7.83,7.63
200110,2001 Oct-Nov-Dic,2001,14882,5758458,3850242,3509056,341187,66.86,8.86,60.94,65.94,788.0,8.05,77.96,9.91,56.5,13.86,7.44,6.69
200111,2001 Nov-Dic-Ene,2001,14915,5766646,3879566,3517826,361741,67.28,9.32,61.0,66.16,787.0,8.23,78.57,10.73,56.73,14.63,7.61,7.25
200112,2001 Dic-Ene-Feb,2001,14885,5774840,3911059,3521118,389941,67.73,9.97,60.97,65.6,800.0,8.78,79.0,11.5,57.19,15.86,8.09,7.34
200201,2002 Ene-Feb-Mar,2002,16207,5783043,3946171,3526995,419176,68.24,10.62,60.99,66.35,778.0,9.4,79.38,12.19,57.83,17.11,8.36,8.03
200202,2002 Feb-Mar-Abr,2002,17218,5791329,3990830,3564686,426144,68.91,10.68,61.55,66.44,,9.27,79.56,12.45,58.96,17.09,8.34,8.51
200203,2002 Mar-Abr-May,2002,18337,5799628,3973721,3568664,405057,68.52,10.19,61.53,68.08,,9.13,78.92,11.53,58.8,15.41,8.01,9.3
200204,2002 Abr-May-Jun,2002,17198,5807938,3972092,3579704,392388,68.39,9.88,61.63,68.28,,8.63,78.15,11.42,59.28,14.37,7.99,9.33
200205,2002 May-Jun-Jul,2002,16544,5816342,3985097,3628517,356580,68.52,8.95,62.38,68.21,,7.85,77.9,10.28,59.76,13.09,7.35,8.11
200206,2002 Jun-Jul-Ago,2002,15707,5824840,4005379,3656255,349124,68.76,8.72,62.77,68.26,,7.54,77.6,10.13,60.51,13.73,6.76,7.77
200207,2002 Jul-Ago-Set,2002,15704,5833433,4007912,3666503,341409,68.71,8.52,62.85,68.49,,7.62,77.45,9.59,60.54,13.83,6.29,7.81
200208,2002 Ago-Set-Oct,2002,15623,5842039,3999251,3659648,339603,68.46,8.49,62.64,67.99,752.0,7.54,77.56,9.64,59.96,14.49,6.07,7.52
200209,2002 Set-Oct-Nov,2002,15575,5850657,3984305,3647064,337240,68.1,8.46,62.34,67.75,758.0,7.32,77.35,9.85,59.47,14.62,6.24,6.87
200210,2002 Oct-Nov-Dic,2002,15411,5859288,4011818,3664647,347171,68.47,8.65,62.54,67.46,790.0,7.52,78.19,10.05,59.39,15.19,6.34,6.69
200211,2002 Nov-Dic-Ene,2002,15117,5867980,4075961,3698428,377533,69.46,9.26,63.03,67.57,,8.04,79.24,10.77,60.33,15.66,6.77,7.53
200212,2002 Dic-Ene-Feb,2002,15794,5876733,4135928,3743901,392027,70.38,9.48,63.71,67.23,,8.19,80.14,11.05,61.26,15.77,7.31,6.84
200301,2003 Ene-Feb-Mar,2003,15539,5885548,4137718,3722854,414864,70.3,10.03,63.25,67.14,,8.51,80.19,11.88,61.07,16.17,8.11,7.01
200302,2003 Feb-Mar-Abr,2003,15346,5894376,4048280,3648846,399435,68.68,9.87,61.9,67.87,798.0,8.41,78.15,11.64,59.83,15.78,8.2,6.87
200303,2003 Mar-Abr-May,2003,15055,5903218,3975609,3586467,389142,67.35,9.79,60.75,67.87,787.0,8.77,77.16,11.04,58.18,14.52,8.46,7.61
200304,2003 Abr-May-Jun,2003,15012,5912073,3946565,3580604,365960,66.75,9.27,60.56,67.46,777.0,8.44,76.32,10.29,57.82,13.67,7.87,7.75
200305,2003 May-Jun-Jul,2003,14788,5920941,3961169,3609694,351474,66.9,8.87,60.96,66.95,780.0,8.27,76.35,9.61,58.08,13.16,7.66,7.1
200306,2003 Jun-Jul-Ago,2003,14511,5929823,3945274,3579795,365479,66.53,9.26,60.37,67.54,794.0,8.45,76.32,10.28,57.39,14.06,7.52,8.08
200307,2003 Jul-Ago-Set,2003,14538,5938718,3927303,3575186,352117,66.13,8.97,60.2,68.19,793.0,8.32,76.18,9.77,56.74,13.37,7.52,7.55
200308,2003 Ago-Set-Oct,2003,14515,5947626,3945314,3580520,364794,66.33,9.25,60.2,67.85,780.0,8.68,77.11,9.97,56.27,14.33,7.54,7.61
200309,2003 Set-Oct-Nov,2003,14585,5956547,3961256,3609109,352147,66.5,8.89,60.59,67.49,776.0,8.34,76.38,9.57,57.27,14.93,6.96,6.82
200310,2003 Oct-Nov-Dic,2003,14593,5965482,3961775,3589416,372359,66.41,9.4,60.17,66.97,793.0,8.64,76.01,10.34,57.45,15.75,7.2,7.67
200311,2003 Nov-Dic-Ene,2003,14583,5974430,3981777,3579604,402174,66.65,10.1,59.92,67.41,809.0,9.18,76.09,11.23,57.83,16.04,7.8,8.85
