trim_start,trim_label,anio,asalariado,empleado,obrero,independiente,empleador,tfnr,trab_hogar
200108,2001 Ago-Set-Oct,2001,52.15,33.01,19.14,29.58,5.84,6.0,6.2
200109,2001 Set-Oct-Nov,2001,51.74,32.68,19.06,29.68,6.13,6.12,6.1
200110,2001 Oct-Nov-Dic,2001,51.94,32.28,19.66,29.29,6.05,6.2,6.26
200111,2001 Nov-Dic-Ene,2001,51.46,31.58,19.88,29.37,6.02,6.53,6.35
200112,2001 Dic-Ene-Feb,2001,51.44,31.52,19.92,29.5,5.63,6.55,6.61
200201,2002 Ene-Feb-Mar,2002,50.44,30.32,20.12,30.39,5.59,6.82,6.49
200202,2002 Feb-Mar-Abr,2002,50.27,30.33,19.94,30.93,5.57,6.59,6.37
200203,2002 Mar-Abr-May,2002,50.07,30.25,19.82,31.24,5.54,6.4,6.48
200204,2002 Abr-May-Jun,2002,50.28,31.16,19.12,31.29,5.59,6.13,6.44
200205,2002 May-Jun-Jul,2002,50.61,32.15,18.46,31.29,5.15,6.01,6.75
200206,2002 Jun-Jul-Ago,2002,50.3,31.6,18.7,31.95,4.84,5.76,6.96
200207,2002 Jul-Ago-Set,2002,49.85,31.07,18.78,32.32,4.72,5.73,7.21
200208,2002 Ago-Set-Oct,2002,50.24,30.72,19.52,31.59,5.21,5.57,7.21
200209,2002 Set-Oct-Nov,2002,50.37,30.68,19.69,31.01,5.66,5.52,7.24
200210,2002 Oct-Nov-Dic,2002,50.6,30.8,19.8,30.25,6.03,6.09,6.84
200211,2002 Nov-Dic-Ene,2002,50.58,30.55,20.03,30.01,5.91,6.48,6.76
200212,2002 Dic-Ene-Feb,2002,50.23,30.93,19.3,30.19,5.77,7.02,6.53
200301,2003 Ene-Feb-Mar,2003,49.97,31.07,18.89,30.76,5.43,6.78,6.71
200302,2003 Feb-Mar-Abr,2003,49.26,31.29,17.98,31.78,5.36,6.67,6.67
200303,2003 Mar-Abr-May,2003,49.67,31.92,17.75,31.46,5.36,6.27,6.95
200304,2003 Abr-May-Jun,2003,49.7,32.33,17.37,31.47,5.51,6.13,7.03
200305,2003 May-Jun-Jul,2003,49.82,32.65,17.18,31.35,5.38,5.93,7.34
200306,2003 Jun-Jul-Ago,2003,49.85,32.71,17.14,31.46,5.1,5.9,7.47
200307,2003 Jul-Ago-Set,2003,49.96,32.04,17.92,31.31,5.07,6.08,7.35
200308,2003 Ago-Set-Oct,2003,50.41,31.98,18.43,30.57,5.38,5.92,7.5
200309,2003 Set-Oct-Nov,2003,50.18,31.47,18.71,30.61,5.74,5.85,7.47
200310,2003 Oct-Nov-Dic,2003,50.7,32.25,18.45,30.41,5.9,5.57,7.28
200311,2003 Nov-Dic-Ene,2003,50.49,32.05,18.44,30.42,5.43,6.44,7.08
200312,2003 Dic-Ene-Feb,2003,50.6,32.28,18.32,30.08,5.56,6.98,6.68
200401,2004 Ene-Feb-Mar,2004,50.67,31.94,18.73,29.59,5.22,7.52,6.81
200402,2004 Feb-Mar-Abr,2004,51.27,32.99,18.27,29.22,5.3,7.19,6.82
