trim_start,trim_label,anio,tasa_informalidad,tasa_informalidad_h,tasa_informalidad_m
200108,2001 Ago-Set-Oct,2001,61.74,57.75,66.98
200109,2001 Set-Oct-Nov,2001,61.96,58.02,67.16
200110,2001 Oct-Nov-Dic,2001,62.35,58.43,67.5
200111,2001 Nov-Dic-Ene,2001,62.83,58.89,68.07
200112,2001 Dic-Ene-Feb,2001,62.71,58.28,68.61
200201,2002 Ene-Feb-Mar,2002,63.44,58.77,69.63
200202,2002 Feb-Mar-Abr,2002,63.35,58.46,69.73
200203,2002 Mar-Abr-May,2002,63.8,58.79,70.25
200204,2002 Abr-May-Jun,2002,63.92,59.07,70.09
200205,2002 May-Jun-Jul,2002,63.37,58.15,69.9
200206,2002 Jun-Jul-Ago,2002,63.28,57.95,69.85
200207,2002 Jul-Ago-Set,2002,63.4,57.79,70.24
200208,2002 Ago-Set-Oct,2002,62.64,57.31,69.22
200209,2002 Set-Oct-Nov,2002,62.87,57.43,69.67
200210,2002 Oct-Nov-Dic,2002,61.58,56.19,68.4
200211,2002 Nov-Dic-Ene,2002,61.68,56.83,67.81
200212,2002 Dic-Ene-Feb,2002,61.65,57.02,67.49
200301,2003 Ene-Feb-Mar,2003,62.29,57.83,67.96
200302,2003 Feb-Mar-Abr,2003,63.58,58.88,69.52
200303,2003 Mar-Abr-May,2003,63.17,58.28,69.37
200304,2003 Abr-May-Jun,2003,64.03,59.31,69.97
200305,2003 May-Jun-Jul,2003,63.3,58.03,69.87
200306,2003 Jun-Jul-Ago,2003,63.69,58.76,69.95
200307,2003 Jul-Ago-Set,2003,62.85,57.99,69.05
200308,2003 Ago-Set-Oct,2003,62.62,58.34,68.17
200309,2003 Set-Oct-Nov,2003,62.95,58.51,68.57
200310,2003 Oct-Nov-Dic,2003,62.75,57.85,68.91
200311,2003 Nov-Dic-Ene,2003,63.01,58.23,69.02
200312,2003 Dic-Ene-Feb,2003,62.68,57.91,68.79
200401,2004 Ene-Feb-Mar,2004,62.37,57.5,68.65
