trim_start,trim_label,anio,ing_real_prim,ing_real_sec,ing_real_sup_no_univ,ing_real_sup_univ,ing_h,ing_m,ratio_m_h,brecha_pct
200108,2001 Ago-Set-Oct,2001,,,,,908.0,598.0,0.6582,34.2
200109,2001 Set-Oct-Nov,2001,,,,,904.0,613.0,0.6786,32.1
200110,2001 Oct-Nov-Dic,2001,,,,,915.0,612.0,0.6685,33.1
200111,2001 Nov-Dic-Ene,2001,,,,,914.0,607.0,0.6643,33.6
200112,2001 Dic-Ene-Feb,2001,,,,,934.0,611.0,0.654,34.6
200201,2002 Ene-Feb-Mar,2002,,,,,911.0,592.0,0.6492,35.1
200202,2002 Feb-Mar-Abr,2002,,,,,,,,
200203,2002 Mar-Abr-May,2002,,,,,,,,
200204,2002 Abr-May-Jun,2002,,,,,,,,
200205,2002 May-Jun-Jul,2002,,,,,,,,
200206,2002 Jun-Jul-Ago,2002,,,,,,,,
200207,2002 Jul-Ago-Set,2002,,,,,,,,
200208,2002 Ago-Set-Oct,2002,409.0,542.0,796.0,1525.0,889.0,575.0,0.6471,35.3
200209,2002 Set-Oct-Nov,2002,416.0,540.0,802.0,1527.0,907.0,563.0,0.6207,37.9
200210,2002 Oct-Nov-Dic,2002,439.0,559.0,829.0,1620.0,940.0,590.0,0.6273,37.3
200211,2002 Nov-Dic-Ene,2002,,,,,,,,
200212,2002 Dic-Ene-Feb,2002,,,,,,,,
200301,2003 Ene-Feb-Mar,2003,,,,,,,,
200302,2003 Feb-Mar-Abr,2003,437.0,563.0,729.0,1646.0,941.0,605.0,0.6427,35.7
200303,2003 Mar-Abr-May,2003,449.0,572.0,757.0,1545.0,923.0,605.0,0.6557,34.4
200304,2003 Abr-May-Jun,2003,436.0,566.0,762.0,1495.0,910.0,602.0,0.6621,33.8
200305,2003 May-Jun-Jul,2003,426.0,571.0,801.0,1496.0,919.0,600.0,0.653,34.7
200306,2003 Jun-Jul-Ago,2003,421.0,569.0,796.0,1599.0,932.0,610.0,0.6546,34.5
200307,2003 Jul-Ago-Set,2003,444.0,559.0,794.0,1610.0,930.0,610.0,0.6553,34.5
200308,2003 Ago-Set-Oct,2003,448.0,555.0,765.0,1581.0,916.0,596.0,0.6512,34.9
200309,2003 Set-Oct-Nov,2003,446.0,558.0,758.0,1538.0,915.0,592.0,0.6467,35.3
200310,2003 Oct-Nov-Dic,2003,429.0,553.0,751.0,1666.0,948.0,588.0,0.6203,38.0
200311,2003 Nov-Dic-Ene,2003,425.0,561.0,756.0,1675.0,957.0,613.0,0.6412,35.9
