ym,tasa_desempleo,tasa_desempleo_h,tasa_desempleo_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor,tasa_actividad,tasa_actividad_h,tasa_actividad_m,ing_nominal,fuente
200110,9.72,8.88,10.79,15.27,7.87,7.97,65.84,76.69,55.7,777.0,EPE legacy
200111,9.45,8.58,10.57,14.68,7.83,7.63,66.21,77.17,55.98,782.0,EPE legacy
200112,8.86,8.05,9.91,13.86,7.44,6.69,66.86,77.96,56.5,788.0,EPE legacy
200201,9.32,8.23,10.73,14.63,7.61,7.25,67.28,78.57,56.73,787.0,EPE legacy
200202,9.97,8.78,11.5,15.86,8.09,7.34,67.73,79.0,57.19,800.0,EPE legacy
200203,10.62,9.4,12.19,17.11,8.36,8.03,68.24,79.38,57.83,778.0,EPE legacy
200204,10.68,9.27,12.45,17.09,8.34,8.51,68.91,79.56,58.96,,EPE legacy
200205,10.19,9.13,11.53,15.41,8.01,9.3,68.52,78.92,58.8,,EPE legacy
200206,9.88,8.63,11.42,14.37,7.99,9.33,68.39,78.15,59.28,,EPE legacy
200207,8.95,7.85,10.28,13.09,7.35,8.11,68.52,77.9,59.76,,EPE legacy
200208,8.72,7.54,10.13,13.73,6.76,7.77,68.76,77.6,60.51,,EPE legacy
200209,8.52,7.62,9.59,13.83,6.29,7.81,68.71,77.45,60.54,,EPE legacy
200210,8.49,7.54,9.64,14.49,6.07,7.52,68.46,77.56,59.96,752.0,EPE legacy
200211,8.46,7.32,9.85,14.62,6.24,6.87,68.1,77.35,59.47,758.0,EPE legacy
200212,8.65,7.52,10.05,15.19,6.34,6.69,68.47,78.19,59.39,790.0,EPE legacy
200301,9.26,8.04,10.77,15.66,6.77,7.53,69.46,79.24,60.33,,EPE legacy
200302,9.48,8.19,11.05,15.77,7.31,6.84,70.38,80.14,61.26,,EPE legacy
200303,10.03,8.51,11.88,16.17,8.11,7.01,70.3,80.19,61.07,,EPE legacy
200304,9.87,8.41,11.64,15.78,8.2,6.87,68.68,78.15,59.83,798.0,EPE legacy
200305,9.79,8.77,11.04,14.52,8.46,7.61,67.35,77.16,58.18,787.0,EPE legacy
200306,9.27,8.44,10.29,13.67,7.87,7.75,66.75,76.32,57.82,777.0,EPE legacy
200307,8.87,8.27,9.61,13.16,7.66,7.1,66.9,76.35,58.08,780.0,EPE legacy
200308,9.26,8.45,10.28,14.06,7.52,8.08,66.53,76.32,57.39,794.0,EPE legacy
200309,8.97,8.32,9.77,13.37,7.52,7.55,66.13,76.18,56.74,793.0,EPE legacy
200310,9.25,8.68,9.97,14.33,7.54,7.61,66.33,77.11,56.27,780.0,EPE legacy
200311,8.89,8.34,9.57,14.93,6.96,6.82,66.5,76.38,57.27,776.0,EPE legacy
200312,9.4,8.64,10.34,15.75,7.2,7.67,66.41,76.01,57.45,793.0,EPE legacy
200401,10.1,9.18,11.23,16.04,7.8,8.85,66.65,76.09,57.83,809.0,EPE legacy
200402,10.49,9.41,11.83,16.36,8.13,9.23,67.74,77.79,58.35,827.0,EPE legacy
200403,10.64,9.46,12.11,16.8,8.27,8.75,68.85,79.26,59.14,818.0,EPE legacy
200404,10.5,9.26,12.01,17.22,8.15,8.14,68.66,78.37,59.58,819.0,EPE legacy
200405,10.0,8.86,11.4,16.14,8.08,7.44,68.39,77.97,59.43,801.0,EPE legacy
200406,9.46,8.21,10.99,14.69,7.69,7.75,67.82,77.28,58.98,798.0,EPE legacy
200407,8.59,7.36,10.15,13.69,7.08,6.46,67.93,78.32,58.23,801.0,EPE legacy
200408,8.71,7.3,10.5,14.18,7.1,6.34,67.86,78.26,58.14,801.0,EPE legacy
200409,8.89,7.55,10.59,15.18,7.21,5.76,67.39,78.04,57.45,813.0,EPE legacy
200410,9.26,7.66,11.3,15.97,7.32,6.39,67.39,78.06,57.42,805.0,EPE legacy
200411,8.86,7.49,10.6,16.06,6.52,6.56,67.42,77.98,57.55,795.0,EPE legacy
200412,8.74,7.29,10.53,16.49,6.18,6.3,68.07,77.82,58.96,798.0,EPE legacy
200501,10.01,8.4,11.99,18.76,7.28,6.48,67.98,77.72,58.89,806.0,EPE legacy
200502,10.77,9.26,12.62,18.75,8.56,6.67,68.25,77.86,59.28,809.0,EPE legacy
200503,11.31,9.69,13.34,19.04,9.18,7.14,68.24,78.36,58.79,816.0,EPE legacy
200504,10.21,8.87,11.88,16.86,8.31,7.08,68.25,78.25,58.9,821.0,EPE legacy
200505,10.11,8.83,11.7,17.08,7.98,7.3,67.83,77.95,58.38,823.0,EPE legacy
