ym,code,tasa_desempleo,tasa_desempleo_h,tasa_desempleo_m,tasa_desempleo_joven,tasa_desempleo_adulto,tasa_desempleo_mayor,tasa_actividad,tasa_actividad_h,tasa_actividad_m,tasa_informalidad,ing_nominal,asalariado,independiente,empleador,trab_hogar,sub_visible,sobreempleo,horas_medias
202210,774,7.17,5.82,8.76,14.88,5.59,5.93,65.42,74.65,57.07,55.35,1770,57.29,31.38,4.64,2.72,11.62,34.85,45.0
202211,776,7.62,5.76,9.79,15.9,5.73,6.67,66.01,74.81,58.05,55.02,1776,58.28,30.53,4.48,3.3,10.69,33.83,44.7
202212,777,7.11,5.72,8.73,16.39,5.29,5.62,66.11,74.9,58.15,55.3,1800,58.79,29.96,4.58,3.07,9.55,33.54,44.8
202301,778,8.01,6.63,9.57,17.74,5.83,6.4,66.64,74.42,59.6,55.77,1803,58.67,29.07,4.81,3.36,9.29,33.11,44.5
202302,779,7.33,6.29,8.5,16.21,5.71,5.31,66.04,73.52,59.28,55.13,1833,58.63,28.9,4.7,3.27,9.07,33.91,44.7
202303,781,7.48,6.41,8.7,15.66,5.88,5.62,66.21,73.96,59.21,55.46,1841,57.48,29.77,4.78,3.34,9.46,34.19,44.8
202304,787,7.07,6.05,8.24,14.32,5.87,5.35,66.51,74.69,59.12,55.32,1873,57.0,29.81,4.76,3.67,9.13,33.93,44.6
202305,789,6.78,6.03,7.65,14.53,5.62,4.93,65.74,74.54,57.8,55.1,1905,56.65,29.63,5.0,4.0,8.89,32.99,44.3
202306,843,6.55,6.04,7.14,13.85,5.6,4.78,66.04,74.32,58.56,54.48,1925,57.16,29.32,5.01,4.03,8.78,32.67,44.1
202307,846,6.26,5.71,6.91,13.24,5.29,4.71,65.71,74.45,57.83,53.87,1937,58.08,28.97,5.03,3.92,8.84,33.52,44.4
202308,851,6.64,6.04,7.32,13.21,5.73,5.16,65.78,74.24,58.15,54.37,1951,57.98,28.98,4.89,4.06,8.71,34.43,44.6
202309,853,6.73,5.77,7.85,13.34,5.85,5.27,65.41,74.0,57.66,54.47,1943,57.36,30.24,5.02,4.07,8.18,34.87,44.7
202310,865,6.55,5.77,7.45,13.52,5.82,4.81,65.31,73.42,57.99,55.02,1955,57.1,30.94,4.9,3.89,8.15,34.29,44.6
202311,866,6.56,5.11,8.19,12.99,5.32,5.71,65.89,73.4,59.12,55.37,1916,57.03,31.81,4.65,3.64,8.72,34.04,44.4
202312,869,6.39,5.17,7.76,13.98,4.94,5.41,65.9,73.74,58.83,55.76,1928,56.86,31.83,4.21,3.67,9.01,33.79,44.4
202401,870,7.18,5.94,8.59,15.9,5.55,5.72,65.94,74.07,58.61,55.55,1926,56.85,31.37,4.28,4.01,8.58,34.67,44.8
202402,900,7.29,6.5,8.21,16.1,5.85,5.47,66.14,74.76,58.39,55.94,1982,56.72,31.18,4.14,3.93,8.61,34.88,45.0
202403,904,7.71,6.83,8.71,15.48,6.21,6.24,66.68,75.26,58.96,55.31,1979,57.58,30.37,3.9,3.91,8.91,35.2,45.2
202404,909,7.69,6.74,8.77,14.41,6.27,6.71,66.96,75.19,59.56,55.0,2006,57.33,30.83,3.76,3.84,10.32,34.13,44.7
202405,911,7.22,6.36,8.18,14.73,6.06,5.76,66.42,74.42,59.22,54.43,2007,57.67,30.75,4.03,3.97,10.25,33.36,44.5
202406,915,6.64,6.04,7.3,14.3,5.61,5.03,66.51,73.9,59.86,55.18,1991,57.12,31.2,4.19,4.32,10.46,32.82,44.0
