ym,desempleo,desempleo_h,desempleo_m,desempleo_joven,desempleo_adulto,desempleo_mayor,ingreso,fuente,desempleo_total
200110,9.72,8.88,10.79,15.27,7.87,7.97,777.0,micro_EPE,9.72
200111,9.45,8.58,10.57,14.68,7.83,7.63,782.0,micro_EPE,9.45
200112,8.86,8.05,9.91,13.86,7.44,6.69,788.0,micro_EPE,8.86
200201,9.32,8.23,10.73,14.63,7.61,7.25,787.0,micro_EPE,9.32
200202,9.97,8.78,11.5,15.86,8.09,7.34,800.0,micro_EPE,9.97
200203,10.62,9.4,12.19,17.11,8.36,8.03,778.0,micro_EPE,10.62
200204,10.68,9.27,12.45,17.09,8.34,8.51,,micro_EPE,10.68
200205,10.19,9.13,11.53,15.41,8.01,9.3,,micro_EPE,10.19
200206,9.88,8.63,11.42,14.37,7.99,9.33,,micro_EPE,9.88
200207,8.95,7.85,10.28,13.09,7.35,8.11,,micro_EPE,8.95
200208,8.72,7.54,10.13,13.73,6.76,7.77,,micro_EPE,8.72
200209,8.52,7.62,9.59,13.83,6.29,7.81,,micro_EPE,8.52
200210,8.49,7.54,9.64,14.49,6.07,7.52,752.0,micro_EPE,8.49
200211,8.46,7.32,9.85,14.62,6.24,6.87,758.0,micro_EPE,8.46
200212,8.65,7.52,10.05,15.19,6.34,6.69,790.0,micro_EPE,8.65
200301,9.26,8.04,10.77,15.66,6.77,7.53,,micro_EPE,9.26
200302,9.48,8.19,11.05,15.77,7.31,6.84,,micro_EPE,9.48
200303,10.03,8.51,11.88,16.17,8.11,7.01,,micro_EPE,10.03
200304,9.87,8.41,11.64,15.78,8.2,6.87,798.0,micro_EPE,9.87
200305,9.79,8.77,11.04,14.52,8.46,7.61,787.0,micro_EPE,9.79
200306,9.27,8.44,10.29,13.67,7.87,7.75,777.0,micro_EPE,9.27
200307,8.87,8.27,9.61,13.16,7.66,7.1,780.0,micro_EPE,8.87
200308,9.26,8.45,10.28,14.06,7.52,8.08,794.0,micro_EPE,9.26
200309,8.97,8.32,9.77,13.37,7.52,7.55,793.0,micro_EPE,8.97
200310,9.25,8.68,9.97,14.33,7.54,7.61,780.0,micro_EPE,9.25
200311,8.89,8.34,9.57,14.93,6.96,6.82,776.0,micro_EPE,8.89
200312,9.4,8.64,10.34,15.75,7.2,7.67,793.0,micro_EPE,9.4
200401,10.1,9.18,11.23,16.04,7.8,8.85,809.0,micro_EPE,10.1
200402,10.49,9.41,11.83,16.36,8.13,9.23,827.0,micro_EPE,10.49
200403,10.64,9.46,12.11,16.8,8.27,8.75,818.0,micro_EPE,10.64
200404,10.5,9.26,12.01,17.22,8.15,8.14,819.0,micro_EPE,10.5
200405,10.0,8.86,11.4,16.14,8.08,7.44,801.0,micro_EPE,10.0
200406,9.46,8.21,10.99,14.69,7.69,7.75,798.0,micro_EPE,9.46
200407,8.59,7.36,10.15,13.69,7.08,6.46,801.0,micro_EPE,8.59
200408,8.71,7.3,10.5,14.18,7.1,6.34,801.0,micro_EPE,8.71
200409,8.89,7.55,10.59,15.18,7.21,5.76,813.0,micro_EPE,8.89
200410,9.26,7.66,11.3,15.97,7.32,6.39,805.0,micro_EPE,9.26
200411,8.86,7.49,10.6,16.06,6.52,6.56,795.0,micro_EPE,8.86
200412,8.74,7.29,10.53,16.49,6.18,6.3,798.0,micro_EPE,8.74
200501,10.01,8.4,11.99,18.76,7.28,6.48,806.0,micro_EPE,10.01
200502,10.77,9.26,12.62,18.75,8.56,6.67,809.0,micro_EPE,10.77
200503,11.31,9.69,13.34,19.04,9.18,7.14,816.0,micro_EPE,11.31
200504,10.21,8.87,11.88,16.86,8.31,7.08,821.0,micro_EPE,10.21
