ccdd,departamento,Agropecuario/pesca,Mineria,Manufactura,Construccion,Comercio,Servicios
1,Amazonas,56.4,0.2,3.6,4.6,10.0,25.1
2,Ancash,37.8,0.9,5.8,6.3,16.6,32.6
3,Apurimac,50.6,1.2,3.7,5.7,13.0,25.9
4,Arequipa,12.5,3.0,10.9,9.0,20.4,44.1
5,Ayacucho,44.1,2.2,4.3,5.2,15.1,29.1
6,Cajamarca,55.7,0.8,5.2,5.3,10.9,22.0
8,Cusco,38.3,0.6,5.7,6.1,14.0,35.3
9,Huancavelica,56.6,2.7,3.7,4.7,9.8,22.4
10,Huanuco,43.3,0.4,3.6,6.4,15.6,30.7
11,Ica,20.6,1.2,9.7,7.5,18.3,42.7
12,Junin,27.9,2.5,6.2,8.0,19.1,36.3
13,La Libertad,31.1,2.2,8.4,5.9,17.8,34.7
14,Lambayeque,23.9,0.1,8.1,6.5,21.0,40.4
15,Lima,3.7,0.5,13.7,7.3,21.8,52.9
16,Loreto,29.4,0.5,5.5,4.5,22.8,37.2
17,Madre de Dios,17.5,3.4,7.0,7.1,21.3,43.7
18,Moquegua,15.9,4.5,6.7,9.5,15.6,47.9
19,Pasco,43.1,5.4,6.0,7.5,11.6,26.4
20,Piura,30.5,0.3,7.7,5.6,19.7,36.2
21,Puno,44.1,2.0,6.0,6.7,14.7,26.6
22,San Martin,43.0,0.0,7.0,4.6,16.9,28.5
23,Tacna,17.1,1.8,6.8,8.2,21.5,44.6
24,Tumbes,17.5,0.1,6.5,5.7,23.8,46.4
25,Ucayali,24.4,0.2,7.6,5.7,23.7,38.4
