ccdd,anio,lw_mean,tasa_desempleo,ln_u
1,2022,1.3901799614829746,2.26,0.8153648132841944
1,2023,1.4079194311204117,3.52,1.2584609896100056
1,2024,1.415144442807596,3.77,1.3270750014599193
1,2025,1.5620410675838499,3.26,1.1817271953786161
2,2022,1.4921586759062289,3.12,1.1378330018213911
2,2023,1.5817201713504068,3.97,1.3787660946990992
2,2024,1.63404579373709,3.92,1.366091653802371
2,2025,1.6459952358951195,4.3,1.4586150226995167
3,2022,1.4154053428377638,1.81,0.5933268452777344
3,2023,1.442649062275145,2.76,1.0152306797290584
3,2024,1.4600146115024952,3.26,1.1817271953786161
3,2025,1.4814937119974396,3.92,1.366091653802371
4,2022,1.9823931135231976,5.47,1.6992786164338898
4,2023,2.0198071010544543,6.6,1.8870696490323797
4,2024,2.0959843645881,6.82,1.9198594718553708
4,2025,2.1169504574067854,5.38,1.682688374173693
5,2022,1.3794273147694078,3.35,1.208960345836975
5,2023,1.452404300968905,4.01,1.3887912413184778
5,2024,1.5214069417037799,4.23,1.4422019930581866
5,2025,1.5778820553923334,3.81,1.3376291891386096
6,2022,1.2638718636617239,2.26,0.8153648132841944
6,2023,1.3472393696435163,4.12,1.415853163361435
6,2024,1.3795716662621176,4.15,1.423108334242607
6,2025,1.3803562201147574,3.18,1.1568811967920856
8,2022,1.5260994948805902,2.76,1.0152306797290584
8,2023,1.5404539985083163,4.29,1.4562867329399256
8,2024,1.678016930294962,4.62,1.5303947050936475
8,2025,1.7261085818663593,4.79,1.5665304114228238
9,2022,1.09417634801142,2.21,0.7929925155296614
9,2023,1.2281549827457827,3.71,1.3110318766193438
9,2024,1.2943877583823653,4.44,1.4906543764441336
9,2025,1.2868592383918878,3.81,1.3376291891386096
10,2022,1.3444467632989412,2.84,1.0438040521731147
10,2023,1.5582354463321264,4.92,1.5933085305042167
10,2024,1.5124338769856938,4.92,1.5933085305042167
10,2025,1.5297246504347175,3.86,1.3506671834767394
11,2022,1.943995223224684,3.76,1.324418957401803
11,2023,1.9832610381918927,4.94,1.5973653311998313
11,2024,2.0170454041498593,7.68,2.038619547159581
11,2025,2.076423995632917,6.67,1.8976198599275322
12,2022,1.5942104303899431,3.6,1.2809338454620642
12,2023,1.4957007409603513,5.09,1.6272778305624314
12,2024,1.570107638334598,5.26,1.6601310267496185
12,2025,1.7508381153133026,4.45,1.4929040961781488
13,2022,1.664326059030547,3.21,1.1662709371419244
13,2023,1.6520229676918765,4.46,1.4951487660319727
13,2024,1.73820417202827,3.15,1.1474024528375417
13,2025,1.8257925680839948,2.81,1.0331844833456545
14,2022,1.6793475333804393,4.82,1.572773928062509
14,2023,1.7205931994896924,6.89,1.9300710850255671
14,2024,1.7208671163080167,7.4,2.0014800002101243
14,2025,1.7524816769804499,5.87,1.7698546338400052
15,2022,1.9379520518907714,7.04,1.951608170169951
15,2023,2.0227055604918336,6.39,1.8547342683894434
15,2024,2.079987566705076,6.32,1.843719208158766
15,2025,2.1628193062592063,5.69,1.7387102481382397
16,2022,1.4564085924958525,3.14,1.144222799920162
16,2023,1.5478828348616824,5.0,1.6094379124341003
16,2024,1.5735272835885767,5.03,1.6154199841116479
16,2025,1.6612742320563065,3.11,1.1346227261911428
17,2022,1.9174631322903588,2.67,0.9820784724121582
17,2023,1.888904640567432,4.64,1.534714366238164
17,2024,1.9363411758684035,6.5,1.8718021769015913
17,2025,2.0378788405097827,3.92,1.366091653802371
18,2022,1.9174052563971165,7.49,2.0135687975291283
18,2023,1.9689814540666262,10.18,2.3204250111223765
18,2024,2.0493442645806077,9.18,2.217027204632399
18,2025,2.145250907718481,6.31,1.8421356765531218
19,2022,1.375673458244745,2.73,1.0043016091968684
19,2023,1.397653343935995,3.0,1.0986122886681098
19,2024,1.4687154461047216,4.09,1.4085449700547104
19,2025,1.2931746645684845,5.94,1.7817091333745536
20,2022,1.700312253169739,3.56,1.269760544863939
20,2023,1.6004970372139222,6.07,1.803358605071407
20,2024,1.5926282186181224,6.98,1.9430489167742813
20,2025,1.597052963265461,5.99,1.7900914121273581
21,2022,1.124990647143505,3.31,1.1969481893889715
21,2023,1.1524997521450786,3.78,1.3297240096314962
21,2024,1.2889761012202843,4.7,1.547562508716013
21,2025,1.2218975501299278,4.13,1.4182774069729414
22,2022,1.5057479313168545,2.19,0.7839015438284094
22,2023,1.4836192110225601,2.86,1.0508216248317612
22,2024,1.4813839927529624,3.13,1.1410330045520618
22,2025,1.5920987739298211,2.93,1.075002423028976
23,2022,1.775775352740429,3.62,1.2864740258376797
23,2023,1.8570270803058937,6.68,1.8991179875485542
23,2024,1.954903090707961,6.74,1.9080599249242156
23,2025,1.9913045361470507,5.1,1.62924053973028
24,2022,1.713599458533656,3.96,1.3762440252663892
24,2023,1.752409042161263,4.83,1.5748464676644813
24,2024,1.8624887203898526,5.85,1.766441661243765
24,2025,1.9150162680025815,6.88,1.9286186519452522
25,2022,1.6657007934413721,2.04,0.712949807856125
25,2023,1.6665909234913359,3.27,1.184789984909162
25,2024,1.7817894782765087,4.08,1.4060969884160703
25,2025,1.8401655695456824,3.05,1.1151415906193203
