sexo,evt,emp,ref
mujer,0,53.45488020989418,76.10418824083764
mujer,1,61.06728015354164,76.10418824083764
mujer,2,65.40600617561546,76.10418824083764
mujer,3,68.11209646829712,76.10418824083764
mujer,4,69.09967537078565,76.10418824083764
mujer,5,70.20146942756203,76.10418824083764
mujer,6,70.6179311905664,76.10418824083764
mujer,7,72.94977054633544,76.10418824083764
mujer,8,73.24726719766632,76.10418824083764
mujer,9,74.71208891727808,76.10418824083764
mujer,10,75.68173959375632,76.10418824083764
mujer,11,75.79412166851584,76.10418824083764
mujer,12,77.26884832200372,76.10418824083764
hombre,0,94.05296175524505,84.12145463352742
hombre,1,93.90477752096783,84.12145463352742
hombre,2,94.13691001757444,84.12145463352742
hombre,3,94.55007963318936,84.12145463352742
hombre,4,93.28691718200136,84.12145463352742
hombre,5,93.35197281120834,84.12145463352742
hombre,6,94.94354709597472,84.12145463352742
hombre,7,93.12277880639661,84.12145463352742
hombre,8,92.80112511642915,84.12145463352742
hombre,9,92.94929485342399,84.12145463352742
hombre,10,91.7946489216524,84.12145463352742
hombre,11,92.3936672635165,84.12145463352742
hombre,12,91.2897269392904,84.12145463352742
