percentil,crec_2004_2025,crec_2004_2013,crec_2013_2019,crec_2019_2025
5,4.24,6.35,4.32,1.08
10,3.94,6.6,3.33,0.67
15,3.74,6.5,3.04,0.41
20,3.6,6.67,2.56,0.16
25,3.45,6.57,2.29,0.05
30,3.23,6.35,1.96,-0.05
35,3.05,6.23,1.76,-0.29
40,2.88,6.03,1.64,-0.47
45,2.78,5.88,1.63,-0.61
50,2.67,5.74,1.58,-0.7
55,2.57,5.61,1.46,-0.77
60,2.48,5.54,1.33,-0.82
65,2.39,5.45,1.2,-0.88
70,2.29,5.26,1.19,-0.93
75,2.18,4.91,1.3,-0.92
80,2.06,4.8,1.13,-1.0
85,1.88,4.51,1.09,-1.16
90,1.75,4.28,0.86,-1.06
95,1.4,3.8,0.68,-1.39
