anio,dep,gini
2004,1,0.4854
2004,2,0.4401
2004,3,0.4712
2004,4,0.4426
2004,5,0.4333
2004,6,0.4693
2004,8,0.462
2004,9,0.5012
2004,10,0.5004
2004,11,0.4501
2004,12,0.4423
2004,13,0.468
2004,14,0.4218
2004,15,0.45
2004,16,0.4805
2004,17,0.3605
2004,18,0.461
2004,19,0.4774
2004,20,0.4604
2004,21,0.465
2004,22,0.4568
2004,23,0.4466
2004,24,0.3839
2004,25,0.4699
2005,1,0.464
2005,2,0.4819
2005,3,0.4659
2005,4,0.4245
2005,5,0.4517
2005,6,0.4753
2005,8,0.4792
2005,9,0.5115
2005,10,0.4916
2005,11,0.4261
2005,12,0.478
2005,13,0.4551
2005,14,0.4366
2005,15,0.4989
2005,16,0.4745
2005,17,0.4477
2005,18,0.4622
2005,19,0.4748
2005,20,0.4467
2005,21,0.4631
2005,22,0.4637
2005,23,0.4879
2005,24,0.3672
2005,25,0.4788
2006,1,0.4609
2006,2,0.4295
2006,3,0.5028
2006,4,0.3972
2006,5,0.4474
2006,6,0.4753
2006,8,0.5011
2006,9,0.5038
2006,10,0.5489
2006,11,0.4242
2006,12,0.4654
2006,13,0.4727
2006,14,0.4213
2006,15,0.4618
2006,16,0.5054
2006,17,0.4324
2006,18,0.478
2006,19,0.4539
2006,20,0.44
2006,21,0.4518
2006,22,0.467
2006,23,0.4737
2006,24,0.3733
2006,25,0.4546
2007,1,0.4947
2007,2,0.4589
2007,3,0.4807
2007,4,0.446
2007,5,0.5027
2007,6,0.5196
2007,8,0.5055
2007,9,0.5311
2007,10,0.5174
2007,11,0.3347
2007,12,0.4601
2007,13,0.5397
2007,14,0.4507
2007,15,0.4569
2007,16,0.5154
2007,17,0.3952
2007,18,0.5119
2007,19,0.4889
2007,20,0.4646
2007,21,0.4643
2007,22,0.5042
2007,23,0.4155
2007,24,0.381
2007,25,0.4538
2008,1,0.4854
2008,2,0.4569
2008,3,0.4653
2008,4,0.4317
2008,5,0.4656
2008,6,0.5367
2008,8,0.4921
2008,9,0.515
2008,10,0.5038
2008,11,0.3323
2008,12,0.4936
2008,13,0.4622
2008,14,0.4211
2008,15,0.4267
2008,16,0.5043
2008,17,0.409
2008,18,0.5138
2008,19,0.5096
2008,20,0.4356
2008,21,0.4463
2008,22,0.4925
2008,23,0.4305
2008,24,0.3478
2008,25,0.431
2009,1,0.5066
2009,2,0.4181
2009,3,0.4427
2009,4,0.4291
2009,5,0.466
2009,6,0.5118
2009,8,0.4868
2009,9,0.5161
2009,10,0.4699
2009,11,0.3379
2009,12,0.4181
2009,13,0.4681
2009,14,0.3901
2009,15,0.4399
2009,16,0.5465
2009,17,0.3921
2009,18,0.4926
2009,19,0.4792
2009,20,0.429
2009,21,0.4482
2009,22,0.5126
2009,23,0.4176
2009,24,0.3484
2009,25,0.404
2010,1,0.4986
