anio,gini,gini_urbano,gini_rural,p90_p10
2004,0.4901,0.4454,0.4286,9.69
2005,0.5058,0.4695,0.4333,9.61
2006,0.4934,0.4494,0.4291,10.0
2007,0.4986,0.4531,0.4384,10.68
2008,0.4751,0.4295,0.4414,9.97
2009,0.4714,0.4316,0.4298,9.15
2010,0.4557,0.4173,0.4173,8.42
2011,0.4478,0.4083,0.4331,8.25
2012,0.4453,0.4061,0.4329,8.36
2013,0.4396,0.4026,0.4244,7.95
2014,0.4345,0.3999,0.4138,7.73
2015,0.4335,0.3996,0.4135,7.67
2016,0.4351,0.4009,0.4086,7.69
2017,0.4318,0.3974,0.4039,7.56
2018,0.4228,0.3928,0.3925,7.15
2019,0.4148,0.3869,0.3934,6.87
2020,0.4487,0.4381,0.4001,8.21
2021,0.4091,0.394,0.3959,6.23
2022,0.414,0.4009,0.382,6.4
2023,0.4119,0.399,0.3869,6.57
2024,0.4079,0.3938,0.3872,6.36
2025,0.3991,0.3864,0.383,6.19
