prov,DEPARTAMEN,PROVINCIA,income_2021,income_2025,chg_pct,nhh_min
1608,LORETO,PUTUMAYO,1936.8658461382024,625.4859255592796,-67.70628555372602,5.0
1305,LA LIBERTAD,JULCAN,1307.7359790562596,594.6989305177972,-54.5245416473922,39.0
2303,TACNA,JORGE BASADRE,2554.660615388443,1609.1260599933134,-37.01213968303804,46.0
0204,ANCASH,ASUNCION,1137.494021208339,767.5311328223712,-32.52438091876413,8.0
1308,LA LIBERTAD,PATAZ,1152.495896267484,801.751226965595,-30.43348531112551,63.0
1311,LA LIBERTAD,GRAN CHIMU,1370.605763401934,982.8062603916412,-28.29402249467775,21.0
0511,AYACUCHO,VILCAS HUAMAN,898.154221897461,658.0749278177169,-26.73029733941985,58.0
0609,CAJAMARCA,SAN IGNACIO,1101.689735830579,820.1916767835557,-25.551482408502057,87.0
1208,JUNIN,YAULI,1690.091236993412,1291.076178331138,-23.60908393159305,44.0
0607,CAJAMARCA,HUALGAYOC,1128.0590623985158,864.0734219355893,-23.40175698793924,107.0
1307,LA LIBERTAD,PACASMAYO,1415.679847298294,1123.1894698012968,-20.66077143467081,95.0
1001,HUANUCO,HUANUCO,1111.4305673425283,890.5333550416792,-19.87503482372476,451.0
0502,AYACUCHO,CANGALLO,737.1872144809595,592.8693552856887,-19.576826125081737,70.0
0405,AREQUIPA,CAYLLOMA,1379.7825082124905,1128.5021745399986,-18.211590027911416,148.0
1302,LA LIBERTAD,ASCOPE,1512.1602138499256,1236.9539518918202,-18.199543900010205,103.0
1005,HUANUCO,HUAMALIES,955.6605142198237,792.614582517064,-17.061072344907547,100.0
0103,AMAZONAS,BONGARA,1215.9272381276792,1023.0246246053644,-15.864651064100844,62.0
0503,AYACUCHO,HUANCA SANCOS,1216.075983137814,1027.1726874150131,-15.533839853935582,35.0
0306,APURIMAC,CHINCHEROS,995.191091981769,842.0407698390044,-15.38903667614121,103.0
1304,LA LIBERTAD,CHEPEN,1699.6334429650328,1446.8975386801496,-14.87002420027592,54.0
0605,CAJAMARCA,CONTUMAZA,583.6178796260045,497.3266124271768,-14.78557635248,37.0
0603,CAJAMARCA,CELENDIN,893.779235942366,765.3217475040585,-14.37239569599834,109.0
1504,LIMA,CANTA,1217.5629227631648,1050.2890753216896,-13.738415018573347,33.0
1009,HUANUCO,PUERTO INCA,1086.2696810086238,940.4872053789688,-13.42046806409004,47.0
1306,LA LIBERTAD,OTUZCO,789.1569682933614,687.0391813943852,-12.940110903388092,105.0
1008,HUANUCO,PACHITEA,806.7380297858718,702.3979792291544,-12.933572820957984,78.0
1312,LA LIBERTAD,VIRU,1439.408310839549,1255.760383679844,-12.758570711085484,48.0
2401,TUMBES,TUMBES,1293.0618359399668,1143.054869907356,-11.60091202626563,541.0
0611,CAJAMARCA,SAN MIGUEL,761.5410560864706,681.8066018151618,-10.470145192310577,58.0
0809,CUSCO,LA CONVENCION,992.9725710508808,889.1731760768881,-10.45340002334001,153.0
2002,PIURA,AYABACA,761.7726586772408,682.4043246392218,-10.41890032858831,111.0
0408,AREQUIPA,LA UNION,935.7865427959354,845.1136668684925,-9.689482780606273,35.0
1011,HUANUCO,YAROWILCA,804.1372997823727,728.2356084700737,-9.438896981005684,51.0
0602,CAJAMARCA,CAJABAMBA,953.5228484134296,870.6565506336733,-8.690541387407524,61.0
0806,CUSCO,CANCHIS,1062.0803098973213,972.4446427736818,-8.439631757442633,104.0
0608,CAJAMARCA,JAEN,1078.0045150022493,988.1814550600176,-8.332345430115783,173.0
2006,PIURA,SULLANA,1309.4286124635703,1203.352212949258,-8.100968506770235,266.0
0214,ANCASH,OCROS,1317.8922406218437,1217.006812720173,-7.655058948830917,22.0
0509,AYACUCHO,SUCRE,923.5406898731228,853.6978887931024,-7.562503942258958,23.0
0307,APURIMAC,GRAU,828.0557033057842,766.87725841288,-7.388204036113278,45.0
2007,PIURA,TALARA,1310.7799835209648,1219.8463047383002,-6.937371635657897,106.0
1403,LAMBAYEQUE,LAMBAYEQUE,1067.740513453356,994.4976473990664,-6.8596129051432975,353.0
0805,CUSCO,CANAS,602.5903969691174,564.2596627214912,-6.36099321204261,46.0
0217,ANCASH,RECUAY,1134.788103647576,1075.492752183491,-5.22523555485741,15.0
1309,LA LIBERTAD,SANCHEZ CARRION,909.9369916615548,863.7838583862421,-5.072124080925288,102.0
1702,MADRE DE DIOS,MANU,1150.0603937549158,1091.7984617737736,-5.0659889078449645,84.0
0510,AYACUCHO,VICTOR FAJARDO,804.4623012446757,767.2083467340868,-4.630913649147884,71.0
0507,AYACUCHO,PARINACOCHAS,1000.63657081745,954.5939773081192,-4.60133027835643,47.0
0403,AREQUIPA,CARAVELI,1398.42820569862,1344.1861098284376,-3.87879017665298,81.0
1603,LORETO,LORETO,451.40315638121575,434.024095611438,-3.850008694910612,74.0
1204,JUNIN,JAUJA,1074.8589162015132,1034.0007326748062,-3.8012601385024047,154.0
