year,p10,p25,mediana,p75,p90,promedio,ratio_p90_p10
2004,170.3,294.5,545.6,962.9,1649.7,829.3,9.69
2005,162.9,276.1,512.1,922.6,1565.1,810.5,9.61
2006,178.9,316.8,584.0,1052.8,1789.3,898.7,10.0
2007,192.7,347.8,657.5,1185.5,2058.4,1014.3,10.68
2008,210.2,387.3,714.8,1238.1,2096.8,1038.6,9.97
2009,233.7,414.3,753.1,1309.5,2138.0,1095.1,9.15
2010,261.1,459.1,799.3,1352.9,2197.4,1136.3,8.42
2011,270.3,472.1,846.2,1388.6,2229.9,1166.4,8.25
2012,283.8,508.0,898.4,1478.9,2374.3,1229.6,8.36
2013,302.8,522.1,901.5,1482.1,2405.8,1239.7,7.95
2014,313.5,533.5,922.6,1513.6,2423.9,1252.0,7.73
2015,316.6,549.3,914.1,1498.5,2427.9,1254.9,7.67
2016,327.3,556.2,937.3,1563.7,2518.2,1295.2,7.69
2017,326.0,549.6,932.7,1548.4,2463.9,1275.7,7.56
2018,354.7,573.7,952.0,1591.6,2537.2,1304.2,7.15
2019,368.6,597.9,990.1,1601.8,2532.1,1320.8,6.87
2020,254.6,430.9,733.1,1259.5,2091.2,1046.8,8.21
2021,358.1,548.9,877.8,1419.0,2232.0,1182.3,6.23
2022,354.7,550.7,882.4,1441.1,2271.5,1198.7,6.4
2023,347.1,544.4,876.2,1435.5,2279.8,1186.2,6.57
2024,362.2,567.2,908.5,1452.8,2303.2,1212.9,6.36
2025,383.7,599.8,949.6,1515.4,2375.2,1252.3,6.19
