year,informal_reconstruido,informal_oficial,concordancia_%,cobertura_registro,cobertura_contrato,fuente
2004,,,,1.0,0.49,NO construible (faltan insumos)
2005,84.56546502854901,,,1.0,0.98,reconstruido confiable (insumos OK)
2006,83.53064273526245,,,1.0,0.98,reconstruido confiable (insumos OK)
2007,81.75703158091895,80.06347095187317,92.18152934609935,1.0,0.98,ocupinf oficial
2008,80.8807761707769,79.25194340351666,92.46202350243622,1.0,0.99,ocupinf oficial
2009,80.06042860023112,77.25531921418425,92.53375182732823,1.0,0.98,ocupinf oficial
2010,80.4492268704913,77.10218111387687,92.45172233820459,1.0,0.99,ocupinf oficial
2011,78.72231532858629,75.13405128228486,92.04610620484,1.0,0.98,ocupinf oficial
2012,71.96066300754904,74.4428807195506,94.59796344947937,1.0,0.99,ocupinf oficial
2013,71.1157867706641,73.84281589871189,94.64446011797897,1.0,0.99,ocupinf oficial
2014,70.2974148159773,73.01889563409247,94.73803583579043,1.0,0.99,ocupinf oficial
2015,70.47412653791018,73.25897542842212,94.88926469153468,1.0,0.99,ocupinf oficial
2016,69.18466999555451,72.0659829353032,94.8427617320536,1.0,0.99,ocupinf oficial
2017,69.67587739648872,72.64107817900663,95.38627435877686,1.0,0.98,ocupinf oficial
2018,70.8304227060773,72.44513759256216,96.63601576332172,1.0,0.99,ocupinf oficial
2019,71.38476850842538,72.74429360033892,96.63454136773717,1.0,0.99,ocupinf oficial
2020,82.39201606550674,75.34471180718606,90.99178662898525,1.0,0.59,ocupinf oficial
2021,76.18783056387052,76.82769090702605,96.56294318845416,1.0,0.95,ocupinf oficial
2022,74.24257038275007,75.71876405081245,96.95003350713456,1.0,0.99,ocupinf oficial
2023,73.1336798231027,73.9353073638171,97.45824011304187,1.0,0.99,ocupinf oficial
2024,72.49575122527074,,,1.0,0.99,reconstruido confiable (insumos OK)
2025,71.82057209343746,,,1.0,0.99,reconstruido confiable (insumos OK)
