year,share_fem,pov_fem,pov_male
2004,21.837583118791468,44.327884098948644,52.899227984072226
2005,23.182796754795156,42.03433853693707,49.47837051440626
2006,22.47273901270632,37.09180027502378,43.51021736404197
2007,22.86825068319026,31.794294140923917,37.41410764022611
2008,23.610017419586697,26.919087199769248,32.61517140317151
2009,23.98677108538829,24.51637858482485,29.490246371267833
2010,24.97277017915475,22.09311559408924,26.83749512323661
2011,25.384173326241157,19.85595757210419,24.15334300990361
2012,25.819718516663386,18.262778602595105,22.397550300786587
2013,26.466911030512527,16.33984933331995,20.749287662535913
2014,27.614197275471884,15.188149695799689,19.572191184166833
2015,27.995128424945147,15.171543149993905,18.844193888273054
2016,28.241245397680174,12.679649581754232,18.267975998064106
2017,29.50616726092255,13.699295626276484,18.905128139393522
2018,30.2890975210116,13.29655338261998,18.030699410722356
2019,31.162184846569808,12.863445018602238,17.645384955396462
2020,31.82002111864013,19.856020470571895,24.85959655410655
2021,35.94147459320515,17.429801415330783,21.468389663420265
2022,36.454181655639395,19.707694164645112,23.15559527466243
2023,37.67394956940615,21.035283993549672,24.43172540400983
2024,37.30129969916653,19.94935169192605,22.982189164541726
2025,38.69951681929731,18.326103630891996,21.27472614808512
