year,overall,5-17,18-29,30-49,50+
2016,6.6985405167300085,6.05021498359552,10.902465042751352,7.596568879838672,3.288844250828023
2017,5.834265774703068,5.313667906330384,10.007666855732026,6.480853448680767,2.7468042082596478
2018,5.7560216320760125,5.140200223696867,9.876105985930698,6.674399315782897,2.7415543618957874
2019,5.710325726301698,5.0435542513132825,9.828033471200703,6.755512358565571,2.7000442217806064
2020,5.156674018976286,4.683705474868438,8.337368038605641,6.2307636702421165,2.4534972541857707
2021,6.836420754299409,6.683876404481329,10.771465860936955,7.978251806238538,3.375604836316423
2022,7.159194350806402,6.977066343130898,11.290059008348262,8.057915101578951,3.840752005095832
2023,6.888737443572419,6.664088511874846,10.314387769942922,8.329562206962262,3.6095768791083658
2024,6.318645219301815,6.644269654747466,9.226269665148918,7.577768802270474,3.292608864793252
2025,5.209159866791295,5.237061863871173,7.6774462292812755,6.292093027731077,2.9910692153563563
