anio,origen,destino,personas,n
2018,Junin,Lima,31312,46
2018,Ancash,Lima,20752,37
2018,Piura,Lima,20522,42
2018,Loreto,Lima,19568,40
2018,Lima,Junin,19523,79
2018,Lima,Lambayeque,18520,70
2018,Lambayeque,Lima,17604,31
2018,Lima,Piura,16632,74
2018,Cajamarca,Lima,15860,23
2018,Lima,Huanuco,13859,67
2018,Lima,San Martin,12228,81
2018,San Martin,Lima,12001,14
2018,La Libertad,Lima,11057,28
2018,Arequipa,Lima,10883,14
2018,Lima,Arequipa,10836,59
2018,Lima,Ancash,9703,56
2018,Ica,Lima,9367,14
2018,Ucayali,Lima,9363,14
2018,Cusco,Lima,8682,15
2018,Lima,Loreto,8677,53
2018,Lima,La Libertad,8597,25
2018,Huanuco,Lima,7860,12
2018,Ayacucho,Lima,7808,16
2018,Amazonas,Lima,7542,11
2018,Tacna,Lima,7318,9
2018,Lima,Ucayali,7169,53
2018,Puno,Arequipa,7151,38
2018,Cajamarca,Lambayeque,6918,33
2018,Arequipa,Cusco,6768,16
2018,Lima,Ayacucho,6160,30
2018,Loreto,Ucayali,6037,49
2018,Lima,Apurimac,5811,32
2018,Lima,Cusco,5307,17
2018,San Martin,Amazonas,5276,37
2018,Huancavelica,Junin,5243,14
2018,Cusco,Arequipa,5173,31
2018,Loreto,San Martin,5110,40
2018,Pasco,Lima,4861,7
2018,Lambayeque,San Martin,4778,27
2018,Lima,Amazonas,4773,45
2018,Lambayeque,Cajamarca,4664,13
2018,La Libertad,Ancash,4511,20
2018,San Martin,Huanuco,4372,21
2018,Piura,La Libertad,4278,9
2018,Huanuco,Ucayali,4200,31
2018,Tumbes,Lima,4141,10
2018,Lambayeque,La Libertad,4119,10
2018,Huancavelica,Lima,4091,7
2018,Amazonas,Lambayeque,3989,13
2018,Ucayali,San Martin,3921,8
2018,Lima,Puno,3878,14
2018,Lima,Pasco,3863,59
2018,Cusco,Puno,3737,10
2018,Ayacucho,Cusco,3679,11
2018,Ucayali,Loreto,3648,21
2018,Arequipa,Puno,3588,15
