year,prim,sec,sup,gap
2004,24.61625869707962,30.41909410442758,46.197946518530316,21.581687821450696
2005,24.1714284209743,29.1961244343337,40.231910794199905,16.060482373225604
2006,25.21003806845783,32.213514520592994,47.554538477486204,22.344500409028374
2007,26.204454448109992,31.035777357050012,50.214333767870116,24.009879319760124
2008,25.928491488158848,32.03307590743859,50.74326154460751,24.814770056448666
2009,27.083056914968576,33.30058137845895,53.174650911189524,26.091593996220947
2010,27.973452479305323,35.57766331962999,50.91495516374863,22.941502684443307
2011,29.10085125312017,34.11627359039314,52.07931161148088,22.978460358360714
2012,28.910209631043834,34.71804951134421,50.4355854557306,21.52537582468677
2013,31.608165899146833,37.273900630537014,51.740630490986845,20.132464591840012
2014,33.25802096768752,36.50841064961374,51.591563190782594,18.333542223095073
2015,32.68546351516102,36.07228927412062,51.05065409226064,18.365190577099625
2016,35.032118046525994,38.00404785234183,52.96451929352978,17.93240124700379
2017,35.17082458931302,39.50391073053453,51.57897181638793,16.408147227074906
2018,32.90835657641515,38.900771384739684,52.81350544386497,19.905148867449817
2019,32.154527977490396,38.25133319993548,56.91894687618182,24.764418898691424
2020,24.85236432440277,26.18687976168234,39.41383567980761,14.56147135540484
2021,28.09414528426695,33.614439019516226,51.600683016689544,23.506537732422593
2022,32.11629012308546,36.483649996998096,48.678715909350885,16.562425786265422
2023,32.91137657672456,39.35497687805753,49.02365777991796,16.112281203193405
2024,36.53022188208045,41.29053567604721,56.14891947219393,19.618697590113484
2025,35.34953170944105,43.67311624821372,54.450596202371024,19.10106449292997
