epoca,origen,destino,pct,n
2004-2011,primaria,primaria,19.7,5173
2004-2011,primaria,secundaria,49.0,10903
2004-2011,primaria,superior,31.3,7149
2004-2011,secundaria,primaria,3.2,509
2004-2011,secundaria,secundaria,40.8,5528
2004-2011,secundaria,superior,56.0,8620
2004-2011,superior,primaria,0.9,88
2004-2011,superior,secundaria,15.8,1189
2004-2011,superior,superior,83.3,6884
2018-2025,primaria,primaria,10.6,2520
2018-2025,primaria,secundaria,44.3,8428
2018-2025,primaria,superior,45.1,8002
2018-2025,secundaria,primaria,2.3,647
2018-2025,secundaria,secundaria,31.9,6882
2018-2025,secundaria,superior,65.8,15046
2018-2025,superior,primaria,0.7,132
2018-2025,superior,secundaria,11.4,1461
2018-2025,superior,superior,88.0,12947
