year,Total,Hombres,Mujeres
2004,25.018571541308738,19.41096816408866,30.693369613337307
2005,28.61257507257356,22.81090078064378,34.62236783721053
2006,22.863246581118286,16.518878838780623,29.45769828265164
2007,21.764945874045893,15.542885793356188,27.885260462032118
2008,21.236791343863818,15.245075666975142,27.192721472855375
2009,20.941283308210885,15.998318579266579,26.169871519864895
2010,20.232940134915665,15.627751071680587,24.96446220932386
2011,20.713805005976848,15.866972120080497,25.755171525640563
2012,20.504523468059325,15.698726626678718,25.52358428667644
2013,21.129822015827056,17.133016100147593,25.300291415244182
2014,21.74295108852715,17.21165995212384,26.50590375227634
2015,22.997765961402422,19.134631227804785,27.01995177261577
2016,22.256873252124524,18.21374885440659,26.429076274149942
2017,22.513434024479242,18.324011288741865,26.84095167624933
2018,23.481799832956604,19.2458892453967,27.692421456536376
2019,21.853901487646606,17.92917565996259,25.76481325980205
2020,33.16590877071727,29.145901697839456,37.39504441398361
2021,24.178622795759296,20.384396915787356,28.149131751407186
2022,23.76479747328363,19.799046017801277,27.985454972691777
2023,24.559859161078673,21.42165223104322,28.046932600035234
2024,22.440835335507554,18.876305483973667,26.096247240373554
2025,22.362643547289107,19.608992485220796,25.161120746414678
