year,Argentina,Bolivia,Brasil,Chile,Colombia,Ecuador,Mexico,Peru
2000,30.9,58.8,,44.5,65.4,76.6,55.1,67.6
2001,34.3,54.2,50.3,,71.5,,,68.4
2002,49.1,56.4,49.8,,62.5,,52.9,64.5
2003,33.1,,50.9,43.2,63.3,58.7,,64.0
2004,28.6,49.3,49.5,,62.4,59.7,50.4,64.3
2005,24.5,49.5,47.5,,59.1,51.9,48.4,66.2
2006,19.9,44.6,43.7,32.0,,46.8,45.9,60.6
2007,18.9,42.7,41.2,,,45.9,,55.2
2008,16.7,36.6,38.2,,53.2,43.4,46.0,50.9
2009,15.2,31.9,36.3,27.6,52.2,44.4,,49.1
2010,13.6,,,,50.0,39.7,46.3,45.7
2011,11.3,25.3,32.2,23.5,47.0,35.9,,42.4
2012,10.3,25.9,30.4,,46.3,32.6,44.1,39.8
2013,10.4,23.6,27.9,14.4,44.1,32.5,,39.3
2014,11.7,22.6,26.4,,41.9,28.7,46.6,38.0
2015,,23.0,27.4,11.7,41.3,29.8,,37.5
2016,11.5,23.7,29.1,,41.4,29.3,37.8,36.4
2017,9.8,23.1,29.3,9.0,41.0,28.3,,37.3
2018,12.5,21.3,28.7,,41.1,28.9,35.3,35.2
2019,14.9,17.8,28.0,,41.8,30.6,,33.6
2020,18.3,19.5,20.8,11.3,48.6,36.0,36.5,48.1
2021,14.2,17.1,30.6,,44.0,33.5,,39.5
2022,13.9,18.5,25.3,6.1,40.2,30.9,27.4,37.8
2023,16.4,16.5,23.3,,39.1,30.8,,38.3
2024,15.2,17.4,20.6,4.5,37.0,32.6,21.4,36.2
2025,,,,,,30.1,,
