release,group,cong,vivi,p201p,e,emp,w
2016_614,madre,000026,006,201100260061102,0.0,1.0,2032.2502829360603
2016_614,madre,000026,083,201100260831102,-2.0,0.0,2032.2502829360603
2016_614,madre,000093,113,201100931131102,0.0,1.0,3680.131504243439
2016_614,madre,000094,097,201100940971102,0.0,0.0,3680.131504243439
2016_614,madre,000094,108,201100941081102,0.0,1.0,3680.131504243439
2016_614,madre,000187,021,201101870211102,-1.0,0.0,9765.520779133632
2016_614,madre,000214,045,201202140451102,-1.0,1.0,5415.930227857596
2016_614,madre,000322,109,201103221091102,-1.0,0.0,4037.0751798128304
2016_614,madre,000335,094,201103350941102,-2.0,1.0,4037.0751798128304
2016_614,madre,000579,080,201105790801102,-2.0,0.0,5142.114006403934
2016_614,madre,000579,152,201105791521102,0.0,0.0,5142.114006403934
2016_614,madre,000602,098,201106020981102,-2.0,1.0,5142.114006403934
2016_614,madre,000602,099,201106020991102,0.0,1.0,5142.114006403934
2016_614,madre,000646,025,201106460251102,-2.0,0.0,20274.052329996033
2016_614,madre,000647,043,201106470431102,-1.0,1.0,8109.573086498036
2016_614,madre,000647,074,201106470741102,0.0,1.0,8109.573086498036
2016_614,madre,000759,122,201107591221102,0.0,1.0,14406.778616871157
2016_614,madre,000937,090,201209370901101,0.0,1.0,3885.06851878208
2016_614,madre,000972,046,201109720461102,-1.0,1.0,3885.06851878208
2016_614,madre,000985,004,201109850041102,-1.0,1.0,3885.06851878208
2016_614,madre,001021,017,201110210171102,0.0,1.0,20832.17009190051
2016_614,madre,001021,104,201110211041101,0.0,1.0,20832.17009190051
2016_614,madre,001028,032,201110280321102,-2.0,1.0,4079.817935745661
2016_614,madre,001028,093,201110280931102,-2.0,1.0,4079.817935745661
2016_614,madre,001077,034,201110770341101,0.0,1.0,4079.817935745661
2016_614,madre,001077,109,201110771091102,0.0,1.0,4079.817935745661
2016_614,madre,001150,100,201111501001102,-1.0,1.0,5093.115819510461
2016_614,madre,001446,102,201114461021101,0.0,0.0,16553.144849465545
2016_614,madre,001506,090,201115060901102,0.0,1.0,7313.241776193423
2016_614,madre,001517,123,201115171231102,0.0,1.0,7313.241776193423
2016_614,madre,002271,004,201222710041102,0.0,1.0,7786.1204583396175
2016_614,madre,002271,015,201122710151102,0.0,0.0,7786.1204583396175
2016_614,madre,002299,004,201122990041102,-1.0,1.0,7349.527224197604
2016_614,madre,002613,012,201126130121102,-2.0,0.0,5590.746719120301
2016_614,madre,002673,058,201126730581103,-1.0,1.0,12813.92479162564
2016_614,madre,002797,075,201127970751102,-1.0,1.0,8713.835054717587
2016_614,madre,002814,099,201128140991102,-1.0,1.0,6245.5481561511415
2016_614,madre,002815,049,201128150491102,0.0,1.0,6245.5481561511415
2016_614,madre,002815,050,201128150501102,-1.0,1.0,6245.5481561511415
2016_614,madre,002941,100,201129411001102,-2.0,1.0,15077.835384660491
2016_614,madre,002962,104,201129621041102,-1.0,0.0,5407.173544034104
2016_614,madre,002997,017,201129970171102,0.0,1.0,8908.396955697244
2016_614,madre,003037,024,201130370241101,0.0,1.0,5885.399230084583
2016_614,madre,003168,027,201131680271102,-1.0,1.0,2832.0702471881323
2016_614,madre,003277,002,201132770021102,0.0,0.0,3400.1628768586475
2016_614,madre,003325,078,201133250781103,-2.0,0.0,4261.459146042925
2016_614,madre,003348,070,201133480701102,-2.0,0.0,4261.459146042925
2016_614,madre,003412,040,201134120401102,-1.0,0.0,5142.114006403934
2016_614,madre,003412,061,201134120611102,-1.0,0.0,5142.114006403934
2016_614,madre,003415,020,201134150201102,-1.0,1.0,5142.114006403934
2016_614,madre,003443,024,201234430241102,-2.0,0.0,3680.131504243439
2016_614,madre,003444,149,201234441491102,0.0,0.0,3680.131504243439
2016_614,madre,003444,150,201234441501102,-2.0,1.0,3680.131504243439
2016_614,madre,003456,014,201234560141102,-1.0,0.0,8870.959363563059
2016_614,madre,003659,059,201236590591102,-1.0,1.0,7818.274950745878
2016_614,madre,003756,154,201237561541102,-2.0,1.0,4419.644535267655
2016_614,madre,003800,084,201238000841102,-2.0,1.0,12538.635245599577
2016_614,madre,003852,197,201238521971102,-1.0,1.0,1414.3038183235308
2016_614,madre,003872,063,201238720631102,0.0,1.0,1566.1645996411992
2016_614,madre,003898,087,201238980871102,0.0,1.0,8713.835054717587
2016_614,madre,003911,380,201239113801102,0.0,1.0,15077.835384660491
2016_614,madre,004005,032,201240050321101,-1.0,1.0,4261.459146042925
2016_614,madre,004005,105,201240051051102,-1.0,1.0,4261.459146042925
2016_614,madre,000026,006,201100260061102,1.0,1.0,2032.2502829360603
2016_614,madre,000026,083,201100260831102,-1.0,0.0,2032.2502829360603
2016_614,madre,000093,113,201100931131102,1.0,1.0,3680.131504243439
2016_614,madre,000094,097,201100940971102,1.0,1.0,3680.131504243439
2016_614,madre,000094,108,201100941081102,1.0,1.0,3680.131504243439
2016_614,madre,000187,021,201101870211102,0.0,0.0,9765.520779133632
2016_614,madre,000214,045,201202140451102,0.0,1.0,5415.930227857596
2016_614,madre,000322,109,201103221091102,0.0,1.0,4037.0751798128304
2016_614,madre,000335,094,201103350941102,-1.0,1.0,4037.0751798128304
2016_614,madre,000579,080,201105790801102,-1.0,0.0,5142.114006403934
2016_614,madre,000579,152,201105791521102,1.0,1.0,5142.114006403934
2016_614,madre,000602,098,201106020981102,-1.0,1.0,5142.114006403934
2016_614,madre,000602,099,201106020991102,1.0,1.0,5142.114006403934
2016_614,madre,000646,025,201106460251102,-1.0,0.0,20274.052329996033
2016_614,madre,000647,043,201106470431102,0.0,1.0,8109.573086498036
2016_614,madre,000647,074,201106470741102,1.0,1.0,8109.573086498036
