release,code,module,file,layout,n_rows_total,n_cols,waves,anchor_key,has_codperso,hpan_windows,longest_balanced_hh,fac_panel_vars
2011,302,01,enaho01_2007_2011_100_panel.dta,wide,113995,1511,2007;2008;2009;2010;2011,cong+vivi+num_hog,False,0711;0811;0710;0709;0810;0911;1011;0910;0809;0708,1129,fac_panel0709;fac_panel0710;fac_panel0711;fac_panel0810;fac_panel0811;fac_panel0911
2011,302,03,enaho01a_2007_2011_300_panel.dta,wide,374629,1308,2007;2008;2009;2010;2011,,False,0711;0811;0710;0709;0810;0911;1011;0910;0809;0708,4075,fac_panel0709;fac_panel0710;fac_panel0711;fac_panel0810;fac_panel0811;fac_panel0911
2011,302,04,enaho01A-2007-2011-400-panel.dta,wide,374629,2154,2007;2008;2009;2010;2011,,False,0711;0811;0710;0709;0810;0911;1011;0910;0809;0708,4075,fac_panel0709;fac_panel0710;fac_panel0711;fac_panel0810;fac_panel0811;fac_panel0911
2011,302,05,enaho01A-2007-2011-500-panel.dta,wide,374629,2761,2007;2008;2009;2010;2011,,False,0711;0811;0710;0709;0810;0911;1011;0910;0809;0708,4075,fac_panel0709;fac_panel0710;fac_panel0711;fac_panel0810;fac_panel0811;fac_panel0911
2011,302,34,sumaria_2007_2011_panel.dta,wide,113995,820,2007;2008;2009;2010;2011,cong+vivi+num_hog,False,0711;0811;0710;0709;0810;0911;1011;0910;0809;0708,1129,fac_panel0709;fac_panel0710;fac_panel0711;fac_panel0810;fac_panel0811;fac_panel0911
2015,529,01,enaho01-2011-2015-100.dta,wide,153095,1529,2011;2012;2013;2014;2015,,False,1115;1114;1215;1113;1315;1214;1314;1112;1213;1415,2174,fac_panel1112;fac_panel1213;fac_panel1314;fac_panel1415;fac_panel1113;fac_panel1214
2015,529,03,enaho01a-2011-2015-300.dta,wide,414939,1310,2011;2012;2013;2014;2015,,False,1115;1114;1215;1113;1315;1214;1314;1112;1213;1415,8609,fac_panel1112;fac_panel1314;fac_panel1415;fac_panel1113;fac_panel1214;fac_panel1315
2015,529,04,enaho01a-2011-2015-400.dta,wide,436369,2155,2011;2012;2013;2014;2015,,False,1115;1114;1215;1113;1315;1214;1314;1112;1213;1415,9014,fac_panel1112;fac_panel1314;fac_panel1415;fac_panel1113;fac_panel1214;fac_panel1315
2015,529,05,enaho01a-2011-2015-500.dta,wide,323918,3384,2011;2012;2013;2014;2015,,False,1115;1114;1215;1113;1315;1214;1314;1112;1213;1415,6675,fac_panel1112;fac_panel1314;fac_panel1415;fac_panel1113;fac_panel1214;fac_panel1315
2015,529,34,sumaria-2011-2015.dta,wide,111755,796,2011;2012;2013;2014;2015,,False,1115;1114;1215;1113;1315;1214;1314;1112;1213;1415,2174,fac_panel1112;fac_panel1314;fac_panel1415;fac_panel1113;fac_panel1214;fac_panel1315
2016,614,01,enaho01_2012_2016_100_panel.dta,wide,163462,1538,2012;2013;2014;2015;2016,,False,1216;1215;1316;1416;1315;1214;1314;1516;1213;1415,1006,fac_panel1213;fac_panel1314;fac_panel1415;fac_panel1516;fac_panel1214;fac_panel1315
2016,614,03,enaho01a_2012_2016_300_panel.dta,wide,442541,1523,2012;2013;2014;2015;2016,,False,1216;1215;1316;1416;1315;1214;1314;1516;1213;1415,3641,fac_panel1213;fac_panel1314;fac_panel1415;fac_panel1516;fac_panel1214;fac_panel1315
