t,edad_aprox,grupo,n,matricula_pct,lo,hi
0,15,jefe_superior,785,72.12115035793087,67.7060788185927,76.55764407538548
0,15,jefe_no_superior,3361,70.181480129926,67.91426794457448,72.72596645215916
1,16,jefe_superior,785,65.76495036392728,60.7349331502225,70.76229886352574
1,16,jefe_no_superior,3361,61.216294262245356,58.68727425385293,63.68680007881339
2,17,jefe_superior,785,61.72253777209814,56.74393583389022,66.73473299167084
2,17,jefe_no_superior,3361,54.19923576088871,51.66988873668591,56.77725687992532
3,18,jefe_superior,785,54.42842871042759,49.09094698498378,59.324232686922116
3,18,jefe_no_superior,3361,45.87291849498703,43.613505662246446,48.66332738991505
4,19,jefe_superior,785,53.444074745764134,48.54243885699831,58.579132923729695
4,19,jefe_no_superior,3361,39.3966529263168,36.97992002928745,41.87539161280075
