year,Hombres,Mujeres
2004,84.03688060638149,66.2603073450653
2005,83.62257836519515,64.91776005456482
2006,84.09866268327731,66.51124140125127
2007,84.28000627041594,67.63988431007746
2008,83.721551197815,66.75837936659757
2009,83.94961956908122,66.85291464100207
2010,83.64702473677215,67.3449759702809
2011,83.07696692853649,66.389337399895
2012,82.88598084950448,65.7825385174774
2013,82.11178532102636,65.17829827788238
2014,81.81202885646061,63.89234108265944
2015,80.94497392327743,62.85950087785649
2016,81.32678978624665,63.8493577361548
2017,81.23682301128437,64.66748413446427
2018,81.02394648995507,64.892132358375
2019,81.3978771537802,65.12319391859627
2020,76.60493415462494,56.604570798165085
2021,81.95238355847394,64.67294366772379
2022,81.73491101429796,64.69267623677406
2023,80.81252301253076,64.41356162334449
2024,80.96861647025572,63.68036578451933
2025,79.78384231803466,63.57879283027518
